accession	plsdb_mpf_type	replicons	n_cds	dual_system	dual_system_both_tierA	family_call_mode	mpft_admitted	mpft_VirB1	mpft_VirB2	mpft_VirB3	mpft_VirB4	mpft_VirB4b	mpft_VirB5	mpft_VirB6	mpft_VirB7	mpft_VirB8	mpft_VirB9	mpft_VirB10	mpft_VirB11	mpft_VirD4	mpft_TraN	mpft_tier	mpft_core_completeness_ga	mpft_architecture	mpft_slot_ready__virb5_virb6	mpft_fused_virB3_virB4	mpft_virB7_status	mpft_n_gap_genes_le10kb	mpft_carries_novel84	mpff_admitted	mpff_TraU	mpff_TraH	mpff_TraF	mpff_TraC_F_IV	mpff_TraG_N	mpff_TrbI	mpff_P-loop_TraG	mpff_TraE	mpff_TrbC_Ftype	mpff_F_T4SS_TraN	mpff_TrwB_AAD_bind	mpff_TraV	mpff_TraG-D_C	mpff_tier	mpff_core_completeness_fspecific	mpff_layout	mpff_anchor_span_bp	mpff_slot_ready__traG	mpff_traN_present	mpff_slot_occupant
LC623896.1	MPF_T	IncP1	62	0	0	GA	1	47;43259;43894;-;23.5	58;53747;54211;-;63.5	57;53432;53743;-;49.8	56;50877;53435;-;91.0	56;50877;53435;-;112.1		49;44513;46231;-;143.0		55;50098;50880;-;145.8	54;49181;50080;-;186.5	52;47264;48685;-;223.3	59;54228;55190;-;127.6	36;29130;31043;+;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623897.1	MPF_T	IncP1	48	0	0	GA	1	33;25524;26159;-;23.5	44;36012;36476;-;63.5	43;35697;36008;-;49.8	42;33142;35700;-;91.0	42;33142;35700;-;112.1		35;26778;28496;-;143.0		41;32363;33145;-;145.8	40;31446;32345;-;186.5	38;29529;30950;-;223.3	45;36493;37455;-;127.6	21;16348;18261;+;525.1		A	7/7	canonical	0	0	unscoreable	15	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623898.1	MPF_T	IncP1	55	0	0	GA	1	40;39074;39709;-;23.5	51;49562;50026;-;63.5	50;49247;49558;-;49.8	49;46692;49250;-;91.0	49;46692;49250;-;112.1		42;40328;42046;-;143.0		48;45913;46695;-;145.8	47;44996;45895;-;186.5	45;43079;44500;-;223.3	52;50043;51005;-;127.6	21;16348;18261;+;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623899.1	MPF_T	-	54	0	0	GA	1	41;34722;35486;-;43.8	39;31881;32186;-;77.7	38;31542;31865;-;84.6	37;28998;31532;-;207.9	37;28998;31532;-;102.7	36;28274;28993;-;231.8	34;26755;27840;-;165.9		33;25711;26442;-;198.9	32;24836;25714;-;202.0	31;23703;24839;-;198.2	30;22655;23725;-;101.2	29;19839;22433;-;330.4		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623900.1	MPF_T	IncP1	74	0	0	GA	1		70;61782;62219;-;64.3	69;61468;61779;-;48.5	68;58913;61471;-;97.7	68;58913;61471;-;115.5		61;52764;54350;-;137.1		67;58158;58916;-;143.6	66;57253;58146;-;181.5	64;55371;56762;-;219.9	71;62232;63191;-;126.1	40;35658;37565;+;560.8		A	7/7	canonical	0	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623901.1	MPF_T	IncP1	84	0	0	GA	1		80;66361;66798;-;64.3	79;66047;66358;-;48.5	78;63492;66050;-;97.7	78;63492;66050;-;115.5		71;57343;58929;-;137.1		77;62737;63495;-;143.6	76;61832;62725;-;181.5	74;59950;61341;-;219.9	81;66811;67770;-;126.1	50;40237;42144;+;560.8		A	7/7	canonical	0	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623902.1	MPF_T	-	56	0	0	GA	1	42;35190;35795;-;25.1	53;45629;46057;-;64.5	52;45315;45626;-;48.8	51;42781;45318;-;103.2	51;42781;45318;-;109.8		44;36422;38167;-;138.5		50;42008;42784;-;151.2	49;41090;41995;-;179.5	47;39220;40614;-;220.4	54;46069;47031;-;138.6	21;15852;17765;+;517.2		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623903.1	MPF_T	IncP1	53	0	0	GA	1	38;38483;39124;-;23.4	49;48992;49456;-;63.6	48;48677;48988;-;49.8	47;46122;48680;-;91.0	47;46122;48680;-;112.1		40;39740;41476;-;141.9		46;45343;46125;-;144.6	45;44426;45325;-;185.3	43;42506;43927;-;223.1	50;49473;50435;-;127.4	21;16202;18115;+;525.5		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623904.1	MPF_T	-	53	0	0	GA	1	40;34919;35683;-;44.6	38;32079;32384;-;77.7	37;31740;32063;-;84.6	36;29196;31730;-;207.9	36;29196;31730;-;102.7	35;28472;29191;-;231.8	33;26953;28038;-;165.9		32;25909;26640;-;198.9	31;25034;25912;-;202.0	30;23901;25037;-;198.2	29;22853;23923;-;101.2	28;20037;22631;-;330.4		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623905.1	MPF_T	-	52	0	0	GA	1	35;33723;34484;-;34.2	33;30925;31233;-;73.1	32;30592;30915;-;79.8	31;28105;30585;-;199.3	31;28105;30585;-;106.8	30;27376;28098;-;231.5	27;25598;26680;-;170.0		25;24581;25291;-;204.9	24;23712;24584;-;184.0	23;22552;23712;-;191.6	22;21501;22568;-;91.8	20;18449;20953;-;350.1		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623906.1	MPF_T	-	50	0	0	GA	1	32;33070;33834;-;36.4	30;30271;30582;-;71.7	29;29932;30255;-;84.0	28;27445;29925;-;198.6	28;27445;29925;-;100.1	27;26723;27439;-;218.2	25;25247;26326;-;161.3		23;23972;24682;-;203.7	22;23103;23975;-;177.9	21;21949;23103;-;193.8	20;20898;21965;-;92.4	19;17933;20404;-;350.0		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623907.1	MPF_T	-	51	0	0	GA	1	33;32942;33703;-;34.2	31;30144;30452;-;73.1	30;29811;30134;-;79.8	29;27324;29804;-;199.3	29;27324;29804;-;108.6	28;26596;27318;-;234.1	26;25102;26184;-;170.0		24;23827;24537;-;204.9	23;22958;23830;-;184.0	22;21798;22958;-;190.7	21;20747;21814;-;91.7	19;17593;20199;-;349.2		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623908.1	MPF_T	-	50	0	0	GA	1	34;33282;34043;-;34.2	32;30484;30792;-;73.1	31;30151;30474;-;79.8	30;27664;30144;-;199.3	30;27664;30144;-;108.6	29;26936;27658;-;234.1	27;25442;26524;-;170.0		25;24425;25135;-;205.4	24;23556;24428;-;184.0	23;22396;23556;-;190.7	22;21345;22412;-;91.5	20;18293;20797;-;350.1		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623909.1	MPF_T	-	49	0	0	GA	1	32;33415;34176;-;34.2	30;30617;30925;-;73.1	29;30284;30607;-;79.8	28;27797;30277;-;199.3	28;27797;30277;-;106.8	27;27068;27790;-;232.4	25;25575;26657;-;170.0		23;24558;25268;-;204.9	22;23689;24561;-;184.0	21;22529;23689;-;190.7	20;21478;22545;-;91.8	19;18426;20930;-;350.1		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623910.1	MPF_T	IncP1	49	0	0	GA	1	33;29444;30034;-;22.9	45;40153;40581;-;63.6	44;39838;40149;-;50.9	43;37283;39841;-;93.0	43;37283;39841;-;114.4		35;30677;32518;-;152.5		42;36498;37286;-;141.7	41;35587;36480;-;181.1	39;33724;35118;-;220.7	46;40603;41568;-;130.5	22;16220;18124;+;524.0		A	7/7	canonical	0	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623911.1	-	-	69	0	0	GA	1	55;56836;57492;-;24.0	66;66768;67202;-;65.4	65;66451;66762;-;45.1	64;63902;66454;-;82.1	64;63902;66454;-;112.6		57;57813;59348;-;110.5		63;63174;63905;-;82.9	62;62257;63153;-;160.8	60;60381;61790;-;213.9	67;67214;68176;-;137.1	20;15895;17838;+;462.0		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623912.1	MPF_T	-	49	0	0	GA	1	32;33414;34175;-;34.2	30;30616;30924;-;73.1	29;30283;30606;-;79.8	28;27796;30276;-;199.3	28;27796;30276;-;106.8	27;27067;27789;-;232.4	25;25574;26656;-;170.0		23;24557;25267;-;204.9	22;23688;24560;-;184.0	21;22528;23688;-;190.7	20;21477;22544;-;91.8	19;18425;20929;-;350.1		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623913.1	MPF_T	IncP1	58	0	0	GA	1	43;45667;46302;-;23.5	54;56155;56619;-;63.5	53;55840;56151;-;49.8	52;53285;55843;-;91.0	52;53285;55843;-;112.1		45;46921;48639;-;143.0		51;52506;53288;-;145.8	50;51589;52488;-;186.5	48;49672;51093;-;223.3	55;56636;57598;-;127.6	27;25037;26950;+;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623914.1	MPF_T	IncP1	60	0	0	GA	1	45;47020;47655;-;23.5	56;57508;57972;-;63.5	55;57193;57504;-;49.8	54;54638;57196;-;91.0	54;54638;57196;-;112.1		47;48274;49992;-;143.0		53;53859;54641;-;145.8	52;52942;53841;-;186.5	50;51025;52446;-;221.2	57;57989;58951;-;127.6	26;23778;25691;+;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623915.1	MPF_T	IncP1	56	0	0	GA	1	41;38444;39034;-;24.3	52;48872;49336;-;62.5	51;48557;48868;-;51.1	50;46002;48560;-;96.2	50;46002;48560;-;116.8		43;39677;41413;-;148.1		49;45217;46005;-;144.7	48;44306;45199;-;181.0	46;42446;43837;-;221.2	53;49358;50323;-;129.5	30;25486;27390;+;528.6		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623916.1	MPF_T	-	51	0	0	GA	1	33;33786;34547;-;34.2	31;30988;31296;-;73.1	30;30655;30978;-;79.8	29;28168;30648;-;199.3	29;28168;30648;-;106.8	28;27439;28161;-;231.5	26;25945;27027;-;170.0		24;24928;25638;-;204.9	23;24059;24931;-;184.0	22;22899;24059;-;190.7	21;21848;22915;-;91.8	19;18371;20875;-;350.1		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623917.1	-	-	51	0	0	GA	1	37;31563;32219;-;25.2	48;41487;41921;-;62.4	47;41170;41481;-;48.8	46;38621;41173;-;90.4	46;38621;41173;-;113.2		39;32541;34034;-;117.5		45;37893;38624;-;96.0	44;36978;37874;-;159.2	42;35081;36511;-;216.3	49;41932;42894;-;130.4	21;16417;18360;+;460.5		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623918.1	MPF_T	-	53	0	0	GA	1	35;35472;36233;-;34.2	33;32674;32982;-;73.1	32;32341;32664;-;79.8	31;29854;32334;-;199.3	31;29854;32334;-;108.6	30;29126;29848;-;234.1	28;27632;28714;-;170.0		26;26615;27325;-;205.4	25;25746;26618;-;184.0	24;24586;25746;-;190.7	23;23535;24602;-;91.5	21;20483;22987;-;350.1		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623919.1	MPF_T	-	72	0	0	GA	1	57;51614;52243;-;23.4	68;61983;62408;-;62.6	67;61669;61980;-;53.3	66;59135;61672;-;91.7	66;59135;61672;-;116.7		59;52859;54517;-;145.6		65;58350;59138;-;136.6	64;57439;58332;-;176.9	62;55547;56950;-;217.7	69;62430;63389;-;134.7	22;16938;18842;+;532.3		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623920.1	MPF_T	-	52	0	0	GA	1	34;33243;34004;-;34.2	32;30445;30753;-;73.1	31;30112;30435;-;79.8	30;27625;30105;-;199.3	30;27625;30105;-;108.6	29;26897;27619;-;234.1	27;25403;26485;-;170.0		25;24386;25096;-;205.4	24;23517;24389;-;184.0	23;22357;23517;-;190.7	22;21306;22373;-;91.5	20;18254;20758;-;350.1		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623921.1	MPF_T	-	53	0	0	GA	1	40;34450;35214;-;43.1	38;31610;31915;-;77.7	37;31271;31594;-;84.6	36;28727;31261;-;207.8	36;28727;31261;-;102.7	35;28003;28722;-;232.8	33;26484;27569;-;165.9		32;25440;26171;-;197.7	31;24565;25443;-;202.0	30;23432;24568;-;198.2	29;22384;23454;-;101.2	28;19577;22162;-;330.4		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623922.1	MPF_T	IncP1	51	0	0	GA	1	35;29129;29758;-;24.1	47;39923;40387;-;65.0	46;39608;39919;-;47.0	45;37053;39611;-;98.2	45;37053;39611;-;122.1		37;30398;32311;-;155.8		44;36283;37056;-;145.4	43;35372;36265;-;185.7	41;33507;34910;-;222.0	48;40401;41363;-;134.7	20;14722;16626;+;521.1		A	7/7	canonical	0	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623923.1	MPF_T	-	55	0	0	GA	1	42;35038;35802;-;43.8	40;32197;32502;-;77.7	39;31858;32181;-;84.6	38;29314;31848;-;207.9	38;29314;31848;-;102.8	37;28590;29309;-;231.5	34;26812;27897;-;165.9		33;25768;26499;-;198.5	32;24893;25771;-;202.0	31;23760;24896;-;198.2	30;22712;23782;-;101.2	29;19896;22490;-;330.4		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623924.1	MPF_T	IncP1	61	0	0	GA	1	46;42577;43212;-;22.8	57;52975;53439;-;63.0	56;52660;52971;-;51.3	55;50105;52663;-;94.6	55;50105;52663;-;113.3		48;43811;45529;-;148.0		54;49320;50108;-;148.7	53;48409;49302;-;181.3	51;46562;47941;-;218.3	58;53461;54426;-;133.8	23;16411;18315;+;528.8		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623925.1	MPF_T	-	55	0	0	GA	1	40;32965;33582;-;23.5	51;43322;43747;-;61.9	50;43008;43319;-;53.3	49;40474;43011;-;91.7	49;40474;43011;-;116.7		42;34198;35856;-;145.6		48;39689;40477;-;136.6	47;38778;39671;-;176.9	45;36886;38289;-;217.7	52;43769;44728;-;134.8	22;17077;18981;+;532.3		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623926.1	MPF_T	-	52	0	0	GA	1	34;33276;34037;-;34.2	32;30478;30786;-;73.1	31;30145;30468;-;79.8	30;27658;30138;-;199.3	30;27658;30138;-;108.6	29;26930;27652;-;234.1	27;25436;26518;-;170.0		25;24419;25129;-;205.4	24;23550;24422;-;184.0	23;22390;23550;-;190.7	22;21339;22406;-;91.5	20;18287;20791;-;350.1		A	7/7	canonical	1	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623927.1	MPF_T	IncP1	56	0	0	GA	1	41;40082;40717;-;23.5	52;50570;51034;-;63.5	51;50255;50566;-;49.8	50;47700;50258;-;91.0	50;47700;50258;-;112.1		43;41336;43054;-;143.0		49;46921;47703;-;147.6	48;46004;46903;-;186.5	46;44087;45508;-;223.3	53;51051;52013;-;127.6	31;27189;29102;+;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623928.1	MPF_T	-	59	0	0	GA	1	44;33445;34062;-;22.4	55;43827;44252;-;62.0	54;43513;43824;-;53.3	53;40979;43516;-;91.2	53;40979;43516;-;116.6		46;34686;36359;-;153.8		52;40194;40982;-;142.0	51;39283;40176;-;175.5	49;37391;38794;-;217.5	56;44266;45225;-;135.3	23;17086;18990;+;523.0		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623929.1	MPF_T	-	61	0	0	GA	1		57;46825;47232;-;60.8	56;46511;46822;-;52.7	55;43956;46514;-;100.2	55;43956;46514;-;110.9		48;37646;39379;-;142.9		54;43234;43959;-;123.5	53;42332;43222;-;175.9	51;40432;41856;-;227.0	58;47264;48232;-;134.9	21;16171;18087;+;510.6		A	7/7	canonical	0	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623930.1	MPF_T	-	50	0	0	GA	1	34;33470;34234;-;37.0	32;30666;30977;-;71.7	31;30328;30651;-;84.2	30;27841;30321;-;199.6	30;27841;30321;-;100.7	29;27122;27835;-;216.3	27;25643;26722;-;167.1		25;24367;25077;-;206.1	24;23498;24370;-;177.4	23;22347;23498;-;195.0	22;21296;22363;-;92.1	21;18331;20802;-;350.1		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623931.1	MPF_T	IncP1	61	0	0	GA	1	46;44507;45142;-;23.5	57;55004;55468;-;63.5	56;54689;55000;-;49.8	55;52134;54692;-;91.0	55;52134;54692;-;112.1		48;45761;47488;-;143.0		54;51355;52137;-;147.6	53;50438;51337;-;186.5	51;48521;49942;-;223.3	58;55485;56447;-;127.6	36;31614;33527;+;525.1		A	7/7	canonical	0	0	unscoreable	4	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623932.1	MPF_T	-	54	0	0	GA	1	41;34722;35486;-;43.8	39;31881;32186;-;77.7	38;31542;31865;-;84.6	37;28998;31532;-;207.9	37;28998;31532;-;102.7	36;28274;28993;-;231.8	34;26755;27840;-;165.9		33;25711;26442;-;198.9	32;24836;25714;-;202.0	31;23703;24839;-;198.2	30;22655;23725;-;101.2	29;19839;22433;-;330.4		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC623933.1	MPF_F	Col(pHAD28);IncFII(pBK30683)	150	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	83;66403;67392;+;363.8	96;74965;76332;+;380.7	92;72956;73708;+;233.7	79;62321;64960;+;261.6	97;76332;79154;+;346.6	69;57076;58500;+;89.2	79;62321;64960;+;87.8	67;55783;56349;+;168.5	87;69423;70070;+;66.0	88;70129;72084;+;259.7	102;81979;84291;+;393.1	72;59317;59901;+;53.9	102;81979;84291;+;66.6	A	9/9	contiguous	26196	1	1	79178..79780+;200;TraS;0
LC663721.1	-	-	44	0	0	GA	1	14;12111;13007;+;45.1	41;35477;35968;-;68.0	40;35163;35477;-;51.1	39;32642;35149;-;96.8	39;32642;35149;-;113.1		36;29959;31677;-;86.7		34;28862;29560;-;122.8	33;27924;28862;-;162.6	31;26007;27467;-;205.5	42;35980;36963;-;135.1	12;9593;11551;+;355.7		A	7/7	canonical	0	0	unscoreable	5	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663722.1	MPF_F	IncC	182	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	112;88332;89339;+;332.9	171;138528;139961;+;339.2	170;137498;138526;+;221.7	107;83133;85580;+;354.5	172;139974;143588;+;375.3	102;74261;75577;+;135.0	107;83133;85580;+;128.3	100;72737;73363;+;92.7	110;86402;87667;+;67.9	113;89455;92253;+;145.3	91;67062;68927;+;47.3	103;75574;76152;+;100.2	91;67062;68927;+;52.0	A	9/9	split_2	72912	0	1	
LC663726.1	MPF_T	IncN	70	0	0	GA	1	27;21819;22553;+;32.5		30;23196;23513;+;63.3	31;23513;26113;+;113.8	31;23513;26113;+;76.4	32;26131;26844;+;105.5	34;27095;28135;+;142.4		35;28354;29052;+;131.9	36;29063;29947;+;159.7	37;29947;31107;+;156.3	38;31149;32144;+;81.2	47;40138;41667;-;38.5		A	7/7	canonical	1	0	unscoreable	11	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663727.1	MPF_T	IncN	50	0	0	GA	1	12;8740;9474;+;32.5		15;10117;10434;+;63.3	16;10434;13034;+;113.8	16;10434;13034;+;76.4	17;13052;13765;+;105.5	19;14016;15056;+;142.4		20;15275;15973;+;131.9	21;15984;16868;+;159.7	22;16868;18028;+;156.3	23;18070;19065;+;81.2	32;27059;28588;-;38.5		A	7/7	canonical	1	0	unscoreable	11	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663728.1	MPF_T	IncN	54	0	0	GA	1	11;7453;8187;+;32.5	13;8487;8780;+;28.7	14;8830;9147;+;63.3	15;9147;11747;+;111.8	15;9147;11747;+;76.8	16;11765;12478;+;97.1	18;12729;13769;+;153.6		19;13988;14686;+;131.9	20;14697;15581;+;159.0	21;15581;16741;+;154.9	22;16783;17778;+;81.2	36;35402;36931;-;38.5		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663729.1	MPF_T	IncN	85	0	0	GA	1	44;37843;38577;-;32.5		41;36883;37200;-;63.3	40;34283;36883;-;113.8	40;34283;36883;-;76.4	39;33552;34265;-;105.5	37;32261;33301;-;142.4		36;31344;32042;-;131.9	35;30449;31333;-;159.7	34;29289;30449;-;156.3	33;28252;29247;-;81.2	62;52297;53826;-;38.5		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663730.1	MPF_T	IncN	70	0	0	GA	1	27;21819;22553;+;32.5		30;23196;23513;+;63.3	31;23513;26113;+;113.8	31;23513;26113;+;76.4	32;26131;26844;+;105.5	34;27095;28135;+;142.4		35;28354;29052;+;131.9	36;29063;29947;+;159.7	37;29947;31107;+;156.3	38;31149;32144;+;81.2	47;40138;41667;-;38.5		A	7/7	canonical	1	0	unscoreable	11	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663731.1	MPF_F	IncFII(pHN7A8);IncX1	121	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	99;78432;79424;+;369.3	110;85474;86847;+;381.0	105;83141;83884;+;233.3	96;74796;77423;+;303.5	111;86844;89669;+;389.2	90;71217;72644;+;94.0	96;74796;77423;+;98.5	88;69936;70502;+;183.8	102;80421;81059;+;68.6	103;81056;82864;+;268.0	114;91172;93370;+;391.7	94;73765;74280;+;77.3	114;91172;93370;+;70.3	A	9/9	contiguous	21236	1	1	89666..90175+;169;unnamed;0
LC663732.1	MPF_T	IncX4	44	0	0	GA	1	27;20927;21547;-;47.9	26;20587;20913;-;64.4	25;17821;20568;-;62.7	25;17821;20568;-;152.1	25;17821;20568;-;46.1	24;17093;17809;-;97.3	23;16003;17082;-;157.5		21;14820;15506;-;167.2	20;13915;14823;-;142.4	19;12804;13922;-;163.7	18;11774;12802;-;85.0	17;9925;11742;-;316.5		A	7/7	canonical	1	1	unscoreable	1	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663736.1	MPF_T	-	89	0	0	GA	1	71;61072;61989;-;37.9	82;70892;71353;-;62.4	81;70587;70883;-;30.7	80;67916;70516;-;70.8	80;67916;70516;-;68.7	79;67227;67919;-;83.3	76;65754;66617;-;135.3		75;65089;65754;-;71.0	74;64276;65061;-;179.1	73;63011;64273;-;145.4	72;61973;63001;-;96.2	65;54367;55917;+;62.2		A	7/7	canonical	1	0	unscoreable	7	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663737.1	MPF_T	-	95	0	0	GA	1	82;61331;62248;-;37.9	93;71151;71612;-;62.4	92;70846;71142;-;30.7	91;68175;70775;-;70.8	91;68175;70775;-;68.7	90;67486;68178;-;83.3	87;66013;66876;-;135.3		86;65348;66013;-;71.0	85;64535;65320;-;179.1	84;63270;64532;-;145.4	83;62232;63260;-;96.2	76;54626;56176;+;62.2		A	7/7	canonical	1	0	unscoreable	7	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663738.1	MPF_T	-	95	0	0	GA	1	82;61331;62248;-;37.9	93;71151;71612;-;62.4	92;70846;71142;-;30.7	91;68175;70775;-;70.8	91;68175;70775;-;68.7	90;67486;68178;-;83.3	87;66013;66876;-;135.3		86;65348;66013;-;71.0	85;64535;65320;-;179.1	84;63270;64532;-;145.4	83;62232;63260;-;96.2	76;54626;56176;+;62.2		A	7/7	canonical	1	0	unscoreable	7	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663739.1	MPF_T	-	95	0	0	GA	1	82;61331;62248;-;37.9	93;71151;71612;-;62.4	92;70846;71142;-;30.7	91;68175;70775;-;70.8	91;68175;70775;-;68.7	90;67486;68178;-;83.3	87;66013;66876;-;135.3		86;65348;66013;-;71.0	85;64535;65320;-;179.1	84;63270;64532;-;145.4	83;62232;63260;-;96.2	76;54626;56176;+;62.2		A	7/7	canonical	1	0	unscoreable	7	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
LC663740.1	MPF_T	-	95	0	0	GA	1	82;61331;62248;-;37.9	93;71151;71612;-;62.4	92;70846;71142;-;30.7	91;68175;70775;-;70.8	91;68175;70775;-;68.7	90;67486;68178;-;83.3	87;66013;66876;-;135.3		86;65348;66013;-;71.0	85;64535;65320;-;179.1	84;63270;64532;-;145.4	83;62232;63260;-;96.2	76;54626;56176;+;62.2		A	7/7	canonical	1	0	unscoreable	7	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
