accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order_canonical
NC_013973.1	13	13	contiguous	23772	5245	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NC_014383.1	16	16	split_2	91058	60698	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_014477.1	16	16	contiguous	38594	11012	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_014642.1	9	9	split_4	88673	28866	traI traM traN traO traQ traU trbA traW traY
NC_014843.1	16	16	contiguous	31900	9658	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_015855.1	12	8	split_3	119541	62752	traM traN traO traP traQ traU traW traY
NC_015965.1	16	16	contiguous	31307	5571	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_016037.1	9	7	contiguous	28538	8126	traI traK trbA traM traN traQ traU
NC_017105.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017113.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017118.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017122.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017126.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017131.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017149.1	5	4	contiguous	10864	4412	traI traK trbA traU
NC_017637.1	16	16	contiguous	28904	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_017642.1	16	16	contiguous	32908	7194	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_017643.1	13	13	contiguous	24235	4429	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NC_017665.1	16	16	contiguous	28904	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_017675.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_017718.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_018659.1	16	16	split_2	85410	58733	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_018746.1	11	7	split_2	101641	59106	traM traN traO traP traQ traU traY
NC_018995.1	16	16	contiguous	32204	8795	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019043.1	16	16	contiguous	30018	4936	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019044.1	16	16	contiguous	32908	7194	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019061.1	16	16	contiguous	33137	6196	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019063.1	13	11	split_2	52396	34197	traI traK traL traM traN traO traP traQ traU traW traY
NC_019097.1	16	16	contiguous	31001	6747	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019099.1	16	16	contiguous	30911	6510	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019104.1	16	16	contiguous	30103	5702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019111.1	16	16	contiguous	28438	5241	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019123.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019131.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019137.1	16	16	contiguous	28604	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_019154.1	12	11	contiguous	24929	7981	traI traK traL traM traN traO traP traQ traU traW traY
NC_019265.2	6	6	contiguous	11407	3739	traQ traU traW traY trbA trbB
NC_019335.1	13	10	split_2	81420	52264	traI traK traM traN traO traP traQ traU traW traY
NC_019336.1	13	10	contiguous	36048	15008	traI traK traM traN traO traP traQ traU traW traY
NC_019344.1	13	11	split_2	52777	34902	traI traK traL traM traN traO traP traQ traU traW traY
NC_019346.1	13	11	split_2	37878	20126	traI traK traL traM traN traO traP traQ traU traW traY
NC_019368.1	13	11	split_2	54013	36084	traI traK traL traM traN traO traP traQ traU traW traY
NC_019394.1	5	4	split_2	47246	20894	traI traM traN traU
NC_019889.1	13	11	split_2	53820	35621	traI traK traL traM traN traO traP traQ traU traW traY
NC_020991.1	16	16	contiguous	29793	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_021078.1	13	11	split_2	70485	45410	traI traK traL traM traN traO traP traQ traU traW traY
NC_021198.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NC_021250.1	13	8	split_2	58287	23684	traM traN traO traP traQ traU traW traY
NC_021488.1	13	11	contiguous	25834	7981	traI traK traL traM traN traO traP traQ traU traW traY
NC_021502.1	13	11	contiguous	25834	7981	traI traK traL traM traN traO traP traQ traU traW traY
NC_021718.1	5	4	split_2	47246	20894	traI traM traN traU
NC_021811.1	16	16	split_2	114160	89570	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_021813.2	16	16	contiguous	28360	5166	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_022267.1	16	16	contiguous	30276	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_022371.1	15	15	contiguous	32194	8786	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NC_022742.1	16	16	contiguous	29811	5413	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_022885.1	16	16	split_2	90811	66410	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_022992.1	16	16	contiguous	38668	13828	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_022996.1	16	16	contiguous	38533	13828	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_023027.1	13	11	split_2	62617	37547	traI traK traL traM traN traO traP traQ traU traW traY
NC_023275.1	16	16	contiguous	32815	7327	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_023276.1	16	16	contiguous	32815	7327	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_023290.1	16	16	contiguous	32815	7327	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_023326.1	7	7	contiguous	12817	4978	traE traU traV traW traY trbA trbB
NC_023329.1	16	16	contiguous	28603	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_023899.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_023900.2	16	16	contiguous	31700	7299	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024955.2	16	16	contiguous	28617	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024975.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024976.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024977.1	16	16	contiguous	29809	5412	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024978.1	16	16	contiguous	30102	5701	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024979.1	16	16	contiguous	26432	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_024980.1	13	13	contiguous	23090	5701	traE traI traK traO traP traQ traT traU traV traW traY trbA trbB
NC_024997.1	13	11	contiguous	26467	6735	traI traK traL traM traN traO traP traQ traU traW traY
NC_025134.1	13	11	split_2	78751	59056	traI traK traL traM traN traO traP traQ traU traW traY
NC_025138.1	16	16	contiguous	39837	14998	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025140.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025142.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025143.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025144.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025145.1	16	16	contiguous	33636	8791	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025147.1	16	16	contiguous	30278	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025176.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_025180.1	16	16	contiguous	28362	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_032099.1	16	16	contiguous	30861	7452	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NC_032100.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP014650.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_AP014805.1	16	16	contiguous	28609	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP017613.1	16	16	split_2	104372	69120	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP017892.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP017893.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP018454.1	13	11	split_2	51372	33362	traI traK traL traM traN traO traP traQ traU traW traY
NZ_AP018455.1	13	11	split_2	50238	32228	traI traK traL traM traN traO traP traQ traU traW traY
NZ_AP018797.1	16	16	contiguous	39837	14998	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP018803.1	16	16	contiguous	39837	14998	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP019667.1	13	11	split_2	55825	37848	traI traK traL traM traN traO traP traQ traU traW traY
NZ_AP019672.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_AP019762.1	16	16	contiguous	39837	14998	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP021877.1	7	7	contiguous	14868	4167	traI traN traO traY traM traU traW
NZ_AP021916.1	16	16	contiguous	29736	5335	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP021945.1	16	16	contiguous	32181	5335	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP021948.1	16	16	split_2	87149	62748	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022037.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022066.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022071.1	16	16	split_2	76159	51641	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022088.1	16	16	contiguous	29170	5259	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022090.1	16	16	contiguous	29977	7747	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022097.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022122.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022128.1	13	11	split_2	54657	36773	traI traK traL traM traN traO traP traQ traU traW traY
NZ_AP022160.1	16	16	contiguous	28417	5441	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022174.1	16	16	split_2	86397	58820	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022216.1	16	16	contiguous	32807	5893	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022224.1	16	16	split_2	77949	51527	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022263.1	16	16	contiguous	30051	5650	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022271.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_AP022289.1	16	16	contiguous	30032	5631	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022296.1	16	16	contiguous	36412	9377	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022334.1	8	6	contiguous	22473	5168	traI traK traM traN traO traU
NZ_AP022370.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_AP022548.1	16	16	split_2	101958	77558	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022813.1	16	16	contiguous	32229	8820	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022817.1	16	16	contiguous	34786	8829	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP022849.1	10	6	split_6	641337	183696	traI traK trbA traQ traW traU
NZ_AP024115.1	15	15	contiguous	26503	5702	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP024117.1	16	16	contiguous	37038	11702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP024917.1	13	11	split_2	49165	31188	traI traK traL traM traN traO traP traQ traU traW traY
NZ_AP025174.1	11	9	split_3	344053	301171	traM traN traO traP traQ traU traY trbA traW
NZ_AP025182.1	16	16	contiguous	30099	5700	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP025678.1	16	16	contiguous	32213	8798	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP025743.1	16	16	contiguous	42544	17705	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP025753.1	16	16	contiguous	28550	4789	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP025789.1	13	11	split_2	51414	33449	traI traK traL traM traN traO traP traQ traU traW traY
NZ_AP027158.1	16	16	contiguous	28555	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027160.1	16	16	contiguous	42544	17705	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027166.1	16	16	contiguous	38161	13321	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027207.1	16	16	contiguous	38978	15902	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027213.1	16	16	contiguous	38975	15900	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027218.1	16	16	contiguous	37322	14212	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027219.1	16	16	contiguous	32206	7871	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027247.1	16	16	contiguous	39272	15006	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027255.1	16	16	contiguous	37605	13334	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027257.1	16	16	contiguous	39253	14979	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027259.1	16	16	contiguous	39253	14979	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027430.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027435.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027439.1	16	16	contiguous	29057	5536	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027555.1	16	16	contiguous	29943	5543	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027600.1	16	16	contiguous	30280	5879	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027654.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027793.1	16	16	contiguous	31485	9222	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027815.1	16	16	contiguous	31112	6767	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027832.1	16	16	contiguous	31078	6677	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP027928.1	16	16	contiguous	30278	5878	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028312.1	16	16	contiguous	30103	5702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028817.1	16	16	contiguous	30278	5878	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028824.1	10	10	contiguous	17483	5877	traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028828.1	16	16	contiguous	32727	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028833.1	16	16	contiguous	32727	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028838.1	16	16	contiguous	32727	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028843.1	16	16	contiguous	32727	5877	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028848.1	16	16	contiguous	35370	7431	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028854.1	16	16	contiguous	33014	6336	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_AP028859.1	16	16	contiguous	35370	7431	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP004389.1	8	4	split_2	56916	22451	traI traK traQ traU
NZ_CP006641.1	16	16	contiguous	31145	5673	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP007231.1	13	13	contiguous	21545	4519	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP007733.1	12	12	split_3	75503	35141	traI traK traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP008817.1	8	4	split_2	45698	32217	traQ traU traW traY
NZ_CP009052.1	16	16	contiguous	32894	8376	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP009105.1	16	16	contiguous	40088	17011	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP009107.1	16	16	contiguous	37342	14206	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP009566.1	16	16	contiguous	28361	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP009886.1	13	11	split_2	45487	20768	traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP010130.1	16	16	contiguous	31110	7915	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP010142.1	16	16	contiguous	32579	7328	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP010233.1	16	16	contiguous	29856	6661	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP010317.1	15	15	contiguous	25030	5441	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP010351.1	6	5	split_3	55382	23771	traM traN traU traW traY
NZ_CP010365.1	12	10	split_2	68822	43622	traI traK traL traM traN traO traQ traU traW traY
NZ_CP010383.2	15	15	contiguous	25045	3919	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP010385.1	15	15	split_2	102716	81305	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP010831.1	16	16	contiguous	28436	5241	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP011593.1	13	11	split_2	38954	20977	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP011599.1	13	11	split_2	53030	35053	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP011609.1	13	11	split_3	68868	29956	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP011614.1	13	11	split_3	91193	44162	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP011640.1	13	11	split_3	70622	29956	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP011656.1	13	11	split_3	68177	29956	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP012005.1	7	5	contiguous	46406	17278	traM traN traU traW traY
NZ_CP012007.1	7	5	contiguous	47762	17776	traM traN traU traW traY
NZ_CP012564.1	13	13	contiguous	21023	4119	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP012569.1	13	13	contiguous	21023	4119	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP012627.1	16	16	contiguous	29842	6648	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP012923.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP012929.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP012936.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP013024.1	16	16	split_2	116026	80774	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP013125.1	6	4	split_2	215158	187946	traI traM traN traU
NZ_CP013193.1	4	4	contiguous	5087	4022	traE traO traP traU
NZ_CP013221.1	16	16	contiguous	28360	5166	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP013224.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP013340.1	13	13	contiguous	20634	3533	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP013929.1	5	4	split_2	47247	20895	traI traM traN traU
NZ_CP013931.1	5	4	split_2	47247	20895	traI traM traN traU
NZ_CP014072.1	13	11	split_2	47154	29177	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP014096.2	16	16	split_2	80868	54469	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP014478.1	6	5	split_2	121725	90051	traM traN traU traW traY
NZ_CP014622.1	16	16	contiguous	30854	6453	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP014662.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP014675.1	9	7	contiguous	24728	6154	traI traK trbA traM traN traO traU
NZ_CP014682.1	4	4	contiguous	15759	12365	traI traK trbA traU
NZ_CP014690.1	7	5	contiguous	18965	7397	traI traK traM traN traU
NZ_CP014698.2	12	10	split_2	47948	29956	traI traK traM traN traO traP traQ traU traW traY
NZ_CP014966.1	16	16	contiguous	30595	7400	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP014972.2	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP015071.1	13	11	split_2	68153	43003	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP015075.2	13	11	contiguous	26519	6736	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP015141.1	16	16	contiguous	31557	6906	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP015161.1	16	16	split_2	83292	58503	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP015169.1	9	7	contiguous	25087	9116	traI traK trbA traM traN traO traU
NZ_CP015502.1	13	13	contiguous	21023	4119	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP015514.1	7	6	split_2	229833	216830	traI traK traM traN traO traU
NZ_CP015585.1	9	7	contiguous	22005	6331	traI traK trbA traM traN traO traU
NZ_CP015640.1	13	13	contiguous	22101	4197	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP015916.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP015996.1	16	16	contiguous	28356	5166	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016173.1	7	4	split_2	83680	58493	traM traN traU traW
NZ_CP016387.1	16	16	contiguous	28362	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016407.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016409.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016411.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016413.1	16	16	contiguous	29794	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016441.1	13	12	contiguous	42086	12706	traK traM traN traO traP traQ traU traW traY trbA trbB traL
NZ_CP016463.1	9	6	split_6	494398	174804	traI traK trbA traQ traW traU
NZ_CP016516.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016520.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016522.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016533.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016548.1	6	6	contiguous	12450	6748	traU traV traW traY trbA trbB
NZ_CP016568.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016572.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016585.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016865.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP016927.1	13	11	split_2	68100	45661	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP017191.1	10	6	split_2	57044	25488	traM traN traP traQ traU traY
NZ_CP017282.1	13	11	contiguous	26468	8545	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP017288.1	13	11	contiguous	26468	8545	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP017853.1	13	11	contiguous	26996	7300	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP017932.1	13	11	split_3	74243	29956	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP017936.1	13	11	split_2	46230	28253	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP018104.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP018110.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP018116.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
