element	n_MPF_T	n_MPF_F	n_MPF_I	n_MPF_FA	n_MPF_FATA	n_MPF_G	n_MPF_B	n_MPF_C	phylum
NZ_CP011996_787787..854020	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP012002_569941..805697	3	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012011_444051..546834	0	0	0	7	1	0	0	0	Firmicutes
NZ_CP012046_1276093..1567236	0	0	0	0	1	0	0	0	Proteobacteria
NZ_CP012053_2710731..2851658	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012060_3789567..3906318	1	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012063_3781387..3898171	1	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012074_1719598..1738527	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP012075_1246745..1262888	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP012075_912256..930879	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP012091_3251351..3514587	0	0	0	0	0	17	0	0	Proteobacteria
NZ_CP012096_4392249..4455411	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012111_671465..697378	0	0	0	0	0	0	1	0	Proteobacteria
NZ_CP012117_1564305..1614014	0	0	0	0	1	0	0	0	Actinobacteriota
NZ_CP012148_562122..755010	0	0	0	0	2	0	1	0	Firmicutes
NZ_CP012162_4040640..4150383	1	0	0	0	0	17	0	0	Proteobacteria
NZ_CP012179_1734473..1784286	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP012179_5266321..5409559	1	1	0	0	0	15	0	0	Proteobacteria
NZ_CP012195_1539754..1605228	6	0	0	0	0	0	0	0	Campylobacterota
NZ_CP012199_184376..270638	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP012199_2008279..2034700	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012201_1819790..1887370	1	0	9	0	0	0	0	0	Proteobacteria
NZ_CP012257_220889..301716	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012320_3803266..4005614	3	0	0	0	13	0	0	0	Firmicutes_A
NZ_CP012321_163416..681097	1	0	0	7	6	0	0	0	Firmicutes_A
NZ_CP012323_3550185..3747482	2	0	0	7	1	0	0	0	Firmicutes_A
NZ_CP012325_1757289..1854043	0	0	0	6	1	0	0	0	Firmicutes_A
NZ_CP012349_4095749..4165998	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP012358_1476245..1558459	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012364_1570102..1648793	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012379_1965396..2030339	0	0	1	0	0	0	0	0	Proteobacteria
NZ_CP012380_2668152..2838751	2	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012381_588888..752978	0	0	0	0	1	0	0	0	Firmicutes
NZ_CP012398_3220367..3268650	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012409_2161786..2173604	1	0	0	4	1	0	0	0	Firmicutes
NZ_CP012430_2517198..2619544	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP012460_844628..888161	0	0	0	1	0	0	0	0	Firmicutes
NZ_CP012503_596672..657052	1	0	0	0	9	0	0	0	Firmicutes
NZ_CP012504_2974302..2981954	0	0	1	0	0	0	0	0	Proteobacteria
NZ_CP012507_1898668..1989496	0	0	0	0	1	0	0	0	Actinobacteriota
NZ_CP012543_523011..567495	5	0	0	0	0	0	0	0	Campylobacterota
NZ_CP012546_4325..47774	5	0	0	0	0	0	0	0	Campylobacterota
NZ_CP012599_263002..448095	0	2	0	0	2	0	0	0	Proteobacteria
NZ_CP012605_1322206..1363095	3	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012605_1875052..1921833	3	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012606_596340..675909	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP012621_2562532..2600660	1	0	0	0	0	0	1	0	Proteobacteria
NZ_CP012635_4346058..4421523	0	0	0	0	0	17	0	0	Proteobacteria
NZ_CP012640_5351613..5550779	1	0	1	0	0	0	0	0	Proteobacteria
NZ_CP012648_1091503..1163738	0	0	0	0	1	0	0	0	Firmicutes
NZ_CP012648_1706614..1757795	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP012669_20074..71898	0	7	0	0	0	0	0	0	Proteobacteria
NZ_CP012677_53618..93078	1	0	0	0	1	0	0	0	Actinobacteriota
NZ_CP012692_402919..451386	0	0	0	7	1	0	0	0	Firmicutes
NZ_CP012700_1468780..1514865	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012700_2726691..2847895	1	12	0	0	0	0	0	0	Proteobacteria
NZ_CP012713_751857..792353	8	0	0	0	0	0	1	0	Fusobacteriota
NZ_CP012719_1145238..1256785	1	0	0	0	11	0	0	0	Firmicutes
NZ_CP012719_635291..668792	0	0	0	7	1	0	0	0	Firmicutes
NZ_CP012740_1209945..1420376	0	12	0	0	2	0	0	0	Proteobacteria
NZ_CP012743_787509..880170	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012756_706111..748601	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP012801_4843514..4925351	0	0	0	0	0	0	11	0	Bacteroidota
NZ_CP012801_60109..268029	1	0	0	0	0	1	12	0	Bacteroidota
NZ_CP012805_215275..257732	1	0	0	6	1	0	0	0	Firmicutes
NZ_CP012872_3029429..3137303	0	0	0	0	0	0	3	0	Bacteroidota
NZ_CP012898_1650667..1710032	0	0	0	0	0	0	3	0	Bacteroidota
NZ_CP012900_2311829..2429791	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP012900_3487891..3628741	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012901_1584920..1663382	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012901_4078012..4174842	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP012937_1950648..1976719	0	0	0	0	0	0	8	0	Bacteroidota
NZ_CP012937_2064215..2159379	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP012937_3402679..3462922	1	0	0	0	0	0	11	0	Bacteroidota
NZ_CP012937_4260259..4294243	1	0	0	0	1	0	3	0	Bacteroidota
NZ_CP012937_4898017..4961613	1	0	0	0	0	0	7	0	Bacteroidota
NZ_CP012976_2541413..2617283	0	0	0	4	1	0	0	0	Firmicutes
NZ_CP013006_2461853..2572237	1	1	0	0	0	16	0	0	Proteobacteria
NZ_CP013009_49269..114618	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP013046_374491..442592	0	0	0	0	0	17	0	0	Proteobacteria
NZ_CP013068_2328867..2338271	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013101_1128260..1194957	0	0	0	7	1	0	0	0	Firmicutes_A
NZ_CP013106_4312972..4394556	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP013119_3111690..3192823	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013119_4136491..4220455	0	0	0	0	0	15	0	0	Proteobacteria
NZ_CP013121_108575..149211	8	0	0	1	0	0	1	0	Fusobacteriota
NZ_CP013121_1282333..1329200	8	0	0	0	0	0	0	0	Fusobacteriota
NZ_CP013121_1352895..1375998	0	0	0	0	0	0	1	0	Fusobacteriota
NZ_CP013133_663040..710331	0	11	0	0	0	0	1	0	Proteobacteria
NZ_CP013133_714444..763213	0	10	0	0	0	0	1	0	Proteobacteria
NZ_CP013184_1670046..1712600	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP013195_1367020..1443575	0	0	0	0	0	0	2	0	Bacteroidota
NZ_CP013195_155707..170146	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP013195_1646430..1719040	2	0	0	0	0	0	11	0	Bacteroidota
NZ_CP013195_2733123..2786758	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP013195_400620..413068	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP013200_2093315..2242484	1	0	0	0	1	0	0	0	Actinobacteriota
NZ_CP013202_578590..695235	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP013264_1387175..1622382	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP013264_2284354..2361248	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP013264_2388424..2495123	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013264_2989065..3201472	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP013264_850840..946400	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP013334_1239424..1281531	6	0	0	0	0	0	0	0	Fusobacteriota
NZ_CP013334_1398078..1447987	5	0	0	0	0	0	0	0	Fusobacteriota
NZ_CP013336_1135868..1185225	7	0	0	0	0	0	0	0	Fusobacteriota
NZ_CP013341_1662751..1735181	4	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013344_2782636..2822576	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013344_2881809..2990732	1	12	0	0	0	0	0	0	Proteobacteria
NZ_CP013366_3371218..3386052	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013389_2083196..2678570	7	0	0	0	1	0	1	0	Proteobacteria
NZ_CP013406_2006593..2229219	3	0	0	0	1	0	0	0	Proteobacteria
NZ_CP013429_380923..607765	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013444_1893287..2265081	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013446_2351772..2460890	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP013447_1899403..2284885	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013452_1195..433996	7	0	0	0	1	0	0	0	Proteobacteria
NZ_CP013468_5754..78548	4	0	0	0	0	0	1	0	Proteobacteria
NZ_CP013481_902555..983242	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP013616_935657..997140	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP013619_390876..471767	0	0	0	5	1	0	0	0	Firmicutes
NZ_CP013651_1104502..1154445	0	0	0	3	1	0	0	0	Firmicutes
NZ_CP013690_2202152..2420066	0	0	0	0	1	0	7	0	Bacteroidota
NZ_CP013690_2691996..2711200	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP013690_4047811..4127061	0	0	0	0	0	0	7	0	Bacteroidota
NZ_CP013862_512779..604847	1	1	0	0	2	0	0	0	Firmicutes
NZ_CP013908_189251..243369	0	0	0	3	1	0	0	0	Firmicutes
NZ_CP013908_1897417..1935778	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP013928_1268806..1298118	0	2	0	0	0	0	0	0	Proteobacteria
NZ_CP013949_6602440..6643821	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP013950_1752291..1758606	0	0	0	1	0	0	0	0	Firmicutes
NZ_CP013955_410462..461325	0	0	0	7	1	0	0	0	Firmicutes
NZ_CP013957_446462..537440	0	0	0	7	1	0	0	0	Firmicutes
NZ_CP013993_5365108..5473293	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP013994_1181666..1233000	0	0	0	4	1	1	0	0	Firmicutes
NZ_CP013994_2523964..2624637	1	0	0	0	0	0	0	0	Firmicutes
NZ_CP013994_2831599..2905840	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP014008_3380804..3439778	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014029_3428167..3477878	0	0	0	0	0	9	0	0	Proteobacteria
NZ_CP014040_1454874..1766202	1	0	0	0	1	0	0	0	Proteobacteria
NZ_CP014053_561090..831741	1	0	0	0	1	0	0	0	Proteobacteria
NZ_CP014060_3985254..4036534	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014065_2135815..2223068	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP014123_1698812..1743351	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014136_335787..457160	5	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014139_711572..804166	0	0	0	0	9	0	0	0	Firmicutes
NZ_CP014158_2807159..3044816	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP014159_1450965..1539179	0	0	0	6	1	0	0	0	Firmicutes
NZ_CP014168_4216458..4460984	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP014170_2233262..2315364	1	0	0	5	0	0	0	0	Firmicutes_A
NZ_CP014207_67518..185823	0	0	0	0	0	17	0	0	Proteobacteria
NZ_CP014229_1876106..1950151	0	0	8	0	0	0	0	0	Desulfobacterota_I
NZ_CP014230_2625294..2652499	8	0	0	0	0	0	0	0	Desulfobacterota_I
NZ_CP014231_2160858..2192623	6	0	0	0	1	0	0	0	Fusobacteriota
NZ_CP014233_1074586..1148100	1	0	0	0	11	0	0	0	Firmicutes
NZ_CP014233_609117..641205	0	0	0	0	2	0	0	0	Firmicutes
NZ_CP014274_1459002..1547119	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014275_3987851..4044907	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014307_1116709..1212708	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014326_1048711..1133458	0	0	0	6	12	0	2	0	Firmicutes
NZ_CP014327_1990893..2041502	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014332_1077806..1201855	0	0	0	0	1	0	1	0	Firmicutes
NZ_CP014337_3770724..3804470	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP014495_2913881..2948717	0	0	1	0	0	0	0	0	Proteobacteria
NZ_CP014544_3882740..4042395	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014546_30310..87181	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP014546_466262..630301	1	1	0	0	0	15	0	0	Proteobacteria
NZ_CP014606_552347..735230	0	0	0	0	1	0	1	0	Firmicutes_B
NZ_CP014608_2203606..2281058	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014643_2113127..2229834	0	0	0	0	0	0	1	0	Firmicutes
NZ_CP014691_1134112..1147904	0	0	0	0	1	0	0	0	Proteobacteria
NZ_CP014692_2808634..2846109	5	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014748_133155..270748	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014754_2955934..3067650	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014759_2300057..2369301	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP014786_1989372..2114324	0	0	0	0	3	1	1	0	Firmicutes
NZ_CP014796_4259332..4337357	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014805_106040..398103	0	0	0	0	2	0	9	0	Bacteroidota
NZ_CP014840_3458798..3483745	0	0	0	5	2	0	0	0	Firmicutes
NZ_CP014841_3520300..3530429	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP014842_3990306..4050635	0	0	0	6	2	0	0	0	Firmicutes
NZ_CP014866_4527231..4622184	1	0	0	0	0	16	0	0	Proteobacteria
NZ_CP014867_4466541..4506240	0	0	0	0	0	1	0	0	Proteobacteria
NZ_CP014948_4463713..4568937	1	0	0	0	0	16	0	0	Proteobacteria
NZ_CP014949_683313..782245	0	0	0	7	1	0	0	0	Firmicutes
NZ_CP014985_1140235..1310703	0	0	0	0	2	0	1	0	Firmicutes
NZ_CP014999_2685542..2785429	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP014999_5134192..5279223	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP014999_5635771..5781235	1	0	0	0	1	16	0	0	Proteobacteria
NZ_CP015001_2654813..2760471	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015001_2813773..2950506	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015001_5366986..5515052	1	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015002_2686794..2790285	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015003_2821787..2931049	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015003_3032693..3103092	5	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015003_5310317..5414416	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015005_5066036..5267901	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015036_3447168..3546789	8	0	0	0	0	0	2	0	Proteobacteria
NZ_CP015036_4650402..4754035	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015039_2714340..2757718	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP015079_3241494..3346096	1	0	0	0	1	0	0	0	Actinobacteriota
NZ_CP015079_4306174..4368860	0	0	0	0	1	0	0	0	Actinobacteriota
NZ_CP015113_4405989..4533520	0	0	0	0	0	17	0	0	Proteobacteria
NZ_CP015117_2266451..2368432	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015145_1601338..1612225	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015194_4164169..4402459	0	11	0	0	1	0	0	0	Proteobacteria
NZ_CP015199_1559666..1672893	1	0	0	0	0	0	8	0	Bacteroidota
NZ_CP015202_4542233..4741681	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015228_1674079..1821161	0	0	0	0	0	1	1	0	Proteobacteria
NZ_CP015243_2385259..2516847	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP015272_4187495..4235324	1	0	0	0	0	0	0	0	Actinobacteriota
NZ_CP015344_2298321..2378243	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015364_573136..743245	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015371_725153..760419	0	0	1	0	0	0	0	0	Proteobacteria
NZ_CP015371_7757..114305	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015377_3316199..3357933	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP015385_742492..799462	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015392_1776406..1984641	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015392_747023..803271	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015399_1737628..1805060	0	0	0	0	2	0	0	0	Firmicutes_A
NZ_CP015399_2122160..2145143	0	0	0	0	1	0	0	0	Firmicutes_A
NZ_CP015399_2983117..3067145	1	0	0	0	3	0	1	0	Firmicutes_A
NZ_CP015399_3691035..3823186	2	0	0	3	1	0	0	0	Firmicutes_A
NZ_CP015399_6093702..6154562	0	0	0	0	4	0	1	0	Firmicutes_A
NZ_CP015399_6338886..6367479	0	0	0	0	5	0	1	0	Firmicutes_A
NZ_CP015399_6569457..6771211	0	0	0	0	1	0	1	0	Firmicutes_A
NZ_CP015401_1416310..1500423	1	0	0	0	0	0	12	0	Bacteroidota
NZ_CP015401_1783247..1841063	0	0	0	0	0	0	8	0	Bacteroidota
NZ_CP015401_3579037..3622295	0	0	0	0	0	1	0	0	Bacteroidota
NZ_CP015401_3866845..3909164	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP015401_933300..972404	0	0	0	0	0	0	2	0	Bacteroidota
NZ_CP015402_1067914..1104402	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP015402_1459621..1616398	0	0	0	0	1	0	10	0	Bacteroidota
NZ_CP015405_1449164..1569843	0	0	0	0	5	0	0	0	Firmicutes_A
NZ_CP015405_3824097..3967304	0	0	0	0	0	0	1	0	Firmicutes_A
NZ_CP015406_332475..586667	3	0	0	0	8	0	0	0	Firmicutes_A
NZ_CP015407_902244..940502	1	0	0	0	7	0	0	0	Actinobacteriota
NZ_CP015410_2956345..3024978	0	0	0	4	0	0	0	0	Firmicutes
NZ_CP015410_641031..703106	0	0	0	1	1	0	0	0	Firmicutes
NZ_CP015410_830811..988092	0	0	0	0	2	0	0	0	Firmicutes
NZ_CP015432_516268..578479	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015434_100277..162498	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015506_1985120..2089280	1	0	0	0	0	0	0	0	Firmicutes
NZ_CP015560_1599545..1690762	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP015573_771240..809255	0	0	0	0	0	15	0	0	Proteobacteria
NZ_CP015574_1243046..1422671	0	7	0	0	0	0	0	0	Proteobacteria
NZ_CP015610_572724..689647	1	0	0	4	0	0	0	0	Firmicutes
NZ_CP015639_5716190..5853473	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015641_2089753..2339718	0	0	0	0	1	0	0	0	Proteobacteria
NZ_CP015641_3097231..3193501	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015736_3711886..3874336	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP015749_2322650..2395093	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015750_4590425..4690097	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015750_4995465..5034875	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015772_2240353..2283091	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP015772_2952254..3023100	1	0	0	0	0	0	8	0	Bacteroidota
NZ_CP015772_5014351..5042290	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP015775_909323..937024	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015776_111685..216119	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015850_2542327..2584253	3	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015863_151770..367041	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015883_1823930..1894635	1	0	0	0	0	0	0	0	Firmicutes
NZ_CP015883_240787..313926	0	0	0	4	1	0	0	0	Firmicutes
NZ_CP015902_1339080..1447280	0	0	0	0	5	0	0	0	Firmicutes
NZ_CP015902_196368..214350	0	0	0	2	0	0	0	0	Firmicutes
NZ_CP015902_354798..370796	0	0	0	2	0	0	0	0	Firmicutes
NZ_CP015902_637937..677291	0	0	0	1	0	0	0	0	Firmicutes
NZ_CP015912_1454657..1630156	2	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015926_2292794..2344282	0	10	0	0	0	0	0	0	Proteobacteria
NZ_CP015927_139257..210198	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015931_1401281..1442467	6	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015931_2345080..2409333	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015932_2272502..2347689	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015934_138804..206244	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015934_2295041..2359294	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015937_2260490..2324743	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015938_2258681..2322934	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015944_2267566..2331826	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015945_2260079..2324332	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015947_2255920..2320168	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015949_2264832..2337250	0	0	0	0	0	13	0	0	Proteobacteria
NZ_CP015951_2263029..2327282	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015953_2261466..2325719	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015953_2632608..2688686	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP015956_2265982..2330238	0	11	0	0	0	0	0	0	Proteobacteria
NZ_CP015972_2643029..2720662	1	1	0	0	0	16	0	0	Proteobacteria
NZ_CP015990_1679073..1879582	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016014_755301..863013	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP016030_148431..219389	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016087_700080..744332	0	0	0	0	1	0	0	0	Firmicutes_A
NZ_CP016102_3702459..3860628	2	0	0	0	8	0	0	0	Firmicutes_A
NZ_CP016104_484385..555553	0	0	0	0	2	0	0	0	Firmicutes_A
NZ_CP016106_3710384..3820698	0	0	0	5	2	0	0	0	Firmicutes_A
NZ_CP016163_406214..494623	0	0	0	4	1	0	0	0	Firmicutes
NZ_CP016171_4347451..4417583	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP016175_809731..901931	0	0	0	6	4	0	0	0	Firmicutes
NZ_CP016176_2663711..2746235	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP016224_2484802..2616937	0	6	0	0	0	0	0	0	Proteobacteria
NZ_CP016268_216379..300976	0	12	0	0	0	0	0	0	Proteobacteria
NZ_CP016278_1774341..2009748	0	12	0	0	0	0	0	0	Proteobacteria
NZ_CP016278_999486..1099072	2	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016306_761874..865854	8	0	0	0	0	0	1	0	Proteobacteria
NZ_CP016318_1277811..1329571	1	0	0	0	8	0	0	0	Firmicutes_A
NZ_CP016318_426259..506034	1	0	0	7	10	0	0	0	Firmicutes_A
NZ_CP016322_1154910..1361339	0	12	0	0	2	0	0	0	Proteobacteria
NZ_CP016329_1336902..1369869	0	0	0	0	1	0	0	0	Firmicutes
NZ_CP016344_1758796..1806716	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016349_44561..341738	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016359_3000531..3050430	0	0	0	0	0	0	3	0	Bacteroidota
NZ_CP016359_3276442..3440610	0	0	0	0	0	0	3	0	Bacteroidota
NZ_CP016359_993460..1115486	1	0	0	0	0	0	3	0	Bacteroidota
NZ_CP016370_997186..1132701	1	0	0	0	1	0	5	0	Bacteroidota
NZ_CP016372_232904..384631	1	0	0	0	1	0	5	0	Bacteroidota
NZ_CP016373_641209..854377	0	0	0	0	2	0	8	0	Bacteroidota
NZ_CP016377_3749622..3999057	0	0	0	0	0	0	8	0	Bacteroidota
NZ_CP016428_2529129..2693648	8	0	0	0	0	0	2	0	Proteobacteria
NZ_CP016432_942366..981270	1	0	0	0	0	0	0	0	Bacteroidota
NZ_CP016433_1572790..1611132	0	0	0	0	0	0	1	0	Proteobacteria
NZ_CP016433_200547..282836	7	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016440_2384076..2614221	8	0	0	0	1	0	1	0	Proteobacteria
NZ_CP016442_2248399..2367941	4	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016598_1618420..1708352	0	0	0	0	2	0	0	0	Firmicutes
NZ_CP016605_778337..826841	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP016634_3218330..3306421	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016638_3450449..3467749	1	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016757_1265579..1318120	0	0	0	0	0	0	1	0	Synergistota
NZ_CP016830_1183633..1206852	0	0	0	0	0	1	0	0	Proteobacteria
NZ_CP016849_2250514..2339508	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP016870_1676430..1729851	8	0	0	0	0	0	0	0	Proteobacteria
NZ_CP016874_2377283..2622169	8	0	0	0	1	0	0	0	Proteobacteria
NZ_CP016877_1188815..1228756	0	0	0	0	11	0	2	0	Firmicutes
NZ_CP016878_967463..1087842	1	1	0	0	0	16	0	0	Proteobacteria
NZ_CP016889_1897725..1970377	0	0	0	0	0	17	0	0	Proteobacteria
NZ_CP016955_1129148..1144709	0	0	1	0	0	0	0	0	Proteobacteria
NZ_CP016955_1326863..1412944	0	0	0	0	0	16	0	0	Proteobacteria
NZ_CP016955_2108063..2170026	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP016955_2643509..2864176	3	0	0	0	0	0	0	0	Proteobacteria
NZ_CP017007_1734480..1806975	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP017007_5568701..5620639	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP017009_5453838..5500830	0	1	0	0	0	15	0	0	Proteobacteria
NZ_CP017024_4828553..4933587	0	1	0	0	0	16	0	0	Proteobacteria
NZ_CP017038_1242366..1289407	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP017038_1470991..1532933	0	0	0	0	0	0	1	0	Bacteroidota
NZ_CP017038_1933020..1990872	0	0	0	0	0	0	1	0	Bacteroidota
