accession	n_fa_fata_profiles
NZ_CP054441.1	2
NZ_CP054445.1	2
NZ_CP054613.1	3
NZ_CP058267.1	2
NZ_CP058268.1	2
NZ_CP058642.1	2
NZ_CP059277.1	2
NZ_CP059541.1	4
NZ_CP059680.1	6
NZ_CP059757.1	8
NZ_CP059758.1	2
NZ_CP060187.1	2
NZ_CP060800.1	6
NZ_CP060801.1	6
NZ_CP060803.1	7
NZ_CP061175.1	4
NZ_CP062072.1	2
NZ_CP062128.1	2
NZ_CP062327.1	6
NZ_CP062353.1	7
NZ_CP062357.1	7
NZ_CP062363.1	3
NZ_CP062373.1	2
NZ_CP062449.1	8
NZ_CP062975.1	2
NZ_CP063152.1	2
NZ_CP063159.1	3
NZ_CP063160.1	7
NZ_CP063161.1	10
NZ_CP063416.1	2
NZ_CP063976.1	2
NZ_CP063978.1	2
NZ_CP063981.1	6
NZ_CP064100.1	3
NZ_CP064271.1	2
NZ_CP064272.1	3
NZ_CP064276.1	2
NZ_CP064301.1	2
NZ_CP064305.1	8
NZ_CP064315.1	7
NZ_CP064317.1	8
NZ_CP064409.1	8
NZ_CP064426.1	2
NZ_CP064837.2	7
NZ_CP064844.1	3
NZ_CP064861.1	3
NZ_CP064874.1	2
NZ_CP064876.1	7
NZ_CP065038.1	5
NZ_CP065195.1	6
NZ_CP065214.1	2
NZ_CP065336.1	2
NZ_CP065516.1	3
NZ_CP065633.1	2
NZ_CP065644.1	7
NZ_CP065646.1	7
NZ_CP065648.1	7
NZ_CP065649.1	2
NZ_CP065730.1	3
NZ_CP065740.1	8
NZ_CP065741.1	3
NZ_CP065744.1	7
NZ_CP065775.1	3
NZ_CP065786.1	6
NZ_CP065793.1	4
NZ_CP065798.1	2
NZ_CP065803.1	2
NZ_CP065987.1	3
NZ_CP066025.1	2
NZ_CP066190.1	2
NZ_CP066195.1	4
NZ_CP066196.1	2
NZ_CP066374.1	3
NZ_CP066403.1	2
NZ_CP066436.1	2
NZ_CP066493.1	5
NZ_CP066502.1	6
NZ_CP066639.1	2
NZ_CP066818.1	2
NZ_CP066832.1	2
NZ_CP067070.1	7
NZ_CP068052.1	5
NZ_CP068117.1	2
NZ_CP068119.1	4
NZ_CP068124.1	6
NZ_CP068513.1	6
NZ_CP068718.1	3
NZ_CP068725.1	2
NZ_CP069130.1	4
NZ_CP069290.1	2
NZ_CP069390.1	2
NZ_CP069398.1	5
NZ_CP069521.1	2
NZ_CP069607.1	2
NZ_CP069608.1	2
NZ_CP069610.1	2
NZ_CP070265.2	6
NZ_CP070340.1	2
NZ_CP070341.1	4
NZ_CP070486.1	2
NZ_CP070512.1	4
NZ_CP070845.1	2
NZ_CP071181.1	2
NZ_CP071277.1	2
NZ_CP071286.1	3
NZ_CP071474.1	2
NZ_CP071479.1	7
NZ_CP071710.1	2
NZ_CP071812.1	7
NZ_CP071813.1	2
NZ_CP071972.1	2
NZ_CP072056.1	3
NZ_CP072062.1	2
NZ_CP072066.1	3
NZ_CP072067.1	3
NZ_CP072121.1	2
NZ_CP072214.1	2
NZ_CP072225.1	2
NZ_CP072249.1	2
NZ_CP072256.1	2
NZ_CP072508.1	6
NZ_CP072693.1	2
NZ_CP072694.1	4
NZ_CP072695.1	5
NZ_CP072770.1	5
NZ_CP072775.1	2
NZ_CP072880.1	5
NZ_CP072885.1	2
NZ_CP072886.1	7
NZ_CP072896.1	7
NZ_CP073071.1	2
NZ_CP073102.1	2
NZ_CP073103.1	2
NZ_CP073267.1	2
NZ_CP074103.1	2
NZ_CP074421.1	5
NZ_CP074686.1	6
NZ_CP075331.1	5
NZ_CP075560.1	8
NZ_CP075605.1	4
NZ_CP075606.1	2
NZ_CP075898.1	2
NZ_CP075899.1	2
NZ_CP075901.1	4
NZ_CP075918.1	3
NZ_CP075923.1	2
NZ_CP075928.1	3
NZ_CP075935.1	2
NZ_CP075936.1	3
NZ_CP075937.1	2
NZ_CP075954.1	3
NZ_CP075989.1	3
NZ_CP075993.1	3
NZ_CP075994.1	3
NZ_CP076002.1	3
NZ_CP076139.1	3
NZ_CP076140.1	2
NZ_CP076142.1	2
NZ_CP076143.1	2
NZ_CP076145.1	2
NZ_CP076147.1	2
NZ_CP076149.1	2
NZ_CP076150.1	2
NZ_CP076152.1	2
NZ_CP076153.1	2
NZ_CP076155.1	2
NZ_CP076156.1	2
NZ_CP076158.1	2
NZ_CP076159.1	2
NZ_CP076161.1	3
NZ_CP076162.1	2
NZ_CP076165.1	3
NZ_CP076166.1	2
NZ_CP076168.1	3
NZ_CP076169.1	2
NZ_CP076171.1	3
NZ_CP076172.1	2
NZ_CP076174.1	3
NZ_CP076175.1	2
NZ_CP076177.1	2
NZ_CP076179.1	2
NZ_CP076180.1	2
NZ_CP076182.1	2
NZ_CP076183.1	2
NZ_CP076185.1	2
NZ_CP076186.1	2
NZ_CP076188.1	3
NZ_CP076189.1	2
NZ_CP076191.1	2
NZ_CP076193.1	3
NZ_CP076194.1	2
NZ_CP076196.1	3
NZ_CP076197.1	2
NZ_CP076199.1	3
NZ_CP076200.1	2
NZ_CP076202.1	3
NZ_CP076203.1	2
NZ_CP076205.1	3
NZ_CP076206.1	2
NZ_CP076208.1	3
NZ_CP076209.1	2
NZ_CP076211.1	3
NZ_CP076212.1	2
NZ_CP076214.1	3
NZ_CP076215.1	2
NZ_CP076217.1	3
NZ_CP076218.1	2
NZ_CP076220.1	3
NZ_CP076221.1	2
NZ_CP076223.1	3
NZ_CP076224.1	2
NZ_CP076226.1	3
NZ_CP076227.1	2
NZ_CP076410.1	2
NZ_CP076452.1	2
NZ_CP076489.1	3
NZ_CP076490.1	5
NZ_CP076491.1	8
NZ_CP076494.1	3
NZ_CP076495.1	5
NZ_CP076496.1	8
NZ_CP076499.1	3
NZ_CP076500.1	5
NZ_CP076501.1	8
NZ_CP076533.1	3
NZ_CP076670.1	2
NZ_CP076729.1	3
NZ_CP076730.1	2
NZ_CP077621.1	4
NZ_CP077631.1	4
NZ_CP077712.1	6
NZ_CP078082.1	7
NZ_CP078083.1	3
NZ_CP078160.1	2
NZ_CP078163.1	7
NZ_CP078506.1	4
NZ_CP078507.1	4
NZ_CP079739.1	2
NZ_CP079761.1	2
NZ_CP079928.1	2
NZ_CP079957.1	2
NZ_CP079966.1	2
NZ_CP079985.1	2
NZ_CP080015.1	2
NZ_CP080338.1	8
NZ_CP080557.1	7
NZ_CP081176.1	3
NZ_CP081177.1	2
NZ_CP081462.1	7
NZ_CP081506.1	6
NZ_CP081834.1	7
NZ_CP081873.1	7
NZ_CP081874.1	3
NZ_CP081879.1	2
NZ_CP081911.1	2
NZ_CP081914.1	2
NZ_CP081921.1	2
NZ_CP082232.1	6
NZ_CP082334.1	2
NZ_CP082335.1	3
NZ_CP082364.1	3
NZ_CP082790.1	7
NZ_CP083086.1	2
NZ_CP083088.1	3
NZ_CP083089.1	2
NZ_CP083090.1	5
NZ_CP083091.1	4
NZ_CP083102.1	2
NZ_CP083104.1	3
NZ_CP083105.1	5
NZ_CP083106.1	2
NZ_CP083107.1	4
NZ_CP083117.1	2
NZ_CP083119.1	3
NZ_CP083120.1	4
NZ_CP083131.1	5
NZ_CP083135.1	2
NZ_CP083139.1	4
NZ_CP083145.1	2
NZ_CP083147.1	4
NZ_CP083148.1	2
NZ_CP083149.1	5
NZ_CP083157.1	2
NZ_CP083159.1	5
NZ_CP083160.1	3
NZ_CP083161.1	4
NZ_CP083593.1	6
NZ_CP083600.1	3
NZ_CP083606.1	3
NZ_CP083624.1	2
NZ_CP083696.1	4
NZ_CP083698.1	4
NZ_CP083699.1	5
NZ_CP083700.1	5
NZ_CP083806.1	7
NZ_CP084009.1	3
NZ_CP084245.1	7
NZ_CP084540.1	7
NZ_CP084918.1	5
NZ_CP085290.1	7
NZ_CP085293.1	7
NZ_CP085295.1	10
NZ_CP085296.1	7
NZ_CP085297.1	3
NZ_CP085298.1	5
NZ_CP085396.1	4
NZ_CP085400.1	7
NZ_CP085403.1	2
NZ_CP085407.1	2
NZ_CP085410.1	7
NZ_CP085414.1	2
NZ_CP085421.1	2
NZ_CP085436.1	2
NZ_CP085447.1	2
NZ_CP085499.1	7
NZ_CP085500.1	4
NZ_CP085502.1	7
NZ_CP085507.1	7
NZ_CP085511.1	7
NZ_CP085515.1	5
NZ_CP085516.1	4
NZ_CP085718.1	6
NZ_CP085719.1	6
NZ_CP085897.1	2
NZ_CP085909.1	2
NZ_CP085956.1	4
NZ_CP086062.1	5
NZ_CP086152.1	2
NZ_CP086199.1	7
NZ_CP086232.1	2
NZ_CP086233.1	2
NZ_CP086247.1	2
NZ_CP086329.1	2
NZ_CP086559.1	8
NZ_CP086565.1	8
NZ_CP086567.1	8
NZ_CP087104.1	7
NZ_CP087105.1	3
NZ_CP087603.1	7
NZ_CP088188.1	5
NZ_CP088192.1	2
NZ_CP088199.1	7
NZ_CP088202.1	7
NZ_CP088903.1	3
NZ_CP089150.1	5
NZ_CP089158.1	7
NZ_CP089308.1	8
NZ_CP089543.1	2
NZ_CP089602.1	4
NZ_CP089783.1	3
NZ_CP089851.1	2
NZ_CP089994.1	3
NZ_CP089995.1	2
NZ_CP090008.1	6
NZ_CP090058.1	2
NZ_CP090085.1	2
NZ_CP090086.1	4
NZ_CP090408.1	5
NZ_CP090984.1	7
NZ_CP091102.1	7
NZ_CP091112.1	3
NZ_CP091218.1	4
NZ_CP091228.1	8
NZ_CP091232.1	9
NZ_CP091238.1	8
NZ_CP091282.1	2
NZ_CP091445.1	7
NZ_CP091446.1	2
NZ_CP091763.1	3
NZ_CP091764.1	2
NZ_CP091766.1	2
NZ_CP091768.1	2
NZ_CP091789.1	2
NZ_CP091860.1	2
NZ_CP091885.1	2
NZ_CP091887.1	2
NZ_CP091890.1	2
NZ_CP091891.1	3
NZ_CP091893.1	11
NZ_CP091894.1	4
NZ_CP091900.1	3
NZ_CP091902.1	4
NZ_CP091907.1	4
NZ_CP091909.1	2
NZ_CP091973.1	2
NZ_CP092111.1	2
NZ_CP092389.1	2
NZ_CP092502.1	2
NZ_CP092785.1	4
NZ_CP092834.1	3
NZ_CP092835.1	2
NZ_CP093174.1	2
NZ_CP093206.1	3
NZ_CP093213.1	6
NZ_CP093292.1	3
NZ_CP093325.1	4
NZ_CP093929.1	2
NZ_CP093931.1	3
NZ_CP093943.1	6
NZ_CP093958.1	2
NZ_CP094232.1	2
NZ_CP094456.1	3
NZ_CP094626.1	3
NZ_CP094627.1	3
NZ_CP095076.1	5
NZ_CP095378.1	2
NZ_CP095722.1	2
NZ_CP095729.1	2
NZ_CP095745.1	7
NZ_CP096051.1	2
NZ_CP096150.1	2
NZ_CP096523.1	6
NZ_CP096529.1	7
NZ_CP096531.1	6
NZ_CP096536.1	6
NZ_CP096564.1	2
NZ_CP096825.1	3
NZ_CP096826.1	2
NZ_CP096828.1	3
NZ_CP096967.1	2
NZ_CP097003.1	7
NZ_CP097007.1	7
NZ_CP097011.1	8
NZ_CP097012.1	8
NZ_CP097016.1	5
NZ_CP097021.1	7
NZ_CP097029.1	5
NZ_CP097035.1	9
NZ_CP097036.1	6
NZ_CP097039.1	7
NZ_CP097047.1	7
NZ_CP097050.1	6
NZ_CP097057.1	6
NZ_CP097058.1	7
NZ_CP097060.1	6
NZ_CP097062.1	9
NZ_CP097063.1	6
NZ_CP097064.1	7
NZ_CP097067.1	7
NZ_CP097070.1	8
NZ_CP097071.1	6
NZ_CP097258.1	6
NZ_CP097259.1	6
NZ_CP097353.1	2
NZ_CP097481.1	2
NZ_CP097782.1	2
NZ_CP097786.1	2
NZ_CP098026.1	8
NZ_CP098027.1	7
NZ_CP098037.1	2
NZ_CP098419.1	8
NZ_CP098420.1	7
NZ_CP098492.1	2
NZ_CP098508.1	3
NZ_CP098510.1	3
NZ_CP098646.1	6
NZ_CP098647.1	6
NZ_CP098648.1	6
NZ_CP098649.1	6
NZ_CP098650.1	6
NZ_CP098651.1	6
NZ_CP098652.1	6
NZ_CP098653.1	6
NZ_CP098654.1	6
NZ_CP098655.1	6
NZ_CP098656.1	6
NZ_CP098657.1	6
NZ_CP098658.1	6
NZ_CP098659.1	6
NZ_CP098660.1	4
NZ_CP098661.1	6
NZ_CP098662.1	6
NZ_CP098663.1	6
NZ_CP098664.1	6
NZ_CP098665.1	6
NZ_CP098666.1	6
NZ_CP098745.1	2
NZ_CP098746.1	6
NZ_CP098789.1	3
NZ_CP098818.1	6
NZ_CP098822.1	6
NZ_CP099451.1	2
NZ_CP101136.1	2
NZ_CP101162.1	2
NZ_CP101463.1	2
NZ_CP101821.1	4
NZ_CP101822.1	2
NZ_CP101834.1	2
NZ_CP101934.1	2
NZ_CP102066.1	8
NZ_CP102067.1	8
NZ_CP102298.1	3
NZ_CP102303.1	3
NZ_CP102312.1	3
NZ_CP102417.1	3
NZ_CP102421.1	3
NZ_CP102531.1	8
NZ_CP102628.1	2
NZ_CP103142.1	2
NZ_CP103143.1	2
NZ_CP103211.1	2
NZ_CP103385.1	3
NZ_CP103398.1	2
NZ_CP103457.1	2
NZ_CP103778.1	7
NZ_CP103779.1	3
NZ_CP104304.1	9
NZ_CP104305.1	9
NZ_CP104306.1	3
NZ_CP104394.1	8
NZ_CP104729.1	2
NZ_CP106676.1	2
NZ_CP106758.1	7
NZ_CP106864.1	7
NZ_CP106967.1	2
NZ_CP107737.1	2
NZ_CP107773.1	2
NZ_CP107815.1	2
NZ_CP107850.1	2
NZ_CP107888.1	2
NZ_CP107915.1	2
NZ_CP108060.1	2
NZ_CP108170.1	2
NZ_CP108246.1	2
NZ_CP108410.1	2
NZ_CP108436.1	2
NZ_CP108618.1	2
NZ_CP108628.1	2
NZ_CP108710.1	2
NZ_CP108785.1	3
NZ_CP108868.1	2
NZ_CP109223.1	2
NZ_CP109250.1	2
NZ_CP109353.1	2
NZ_CP109358.1	2
NZ_CP109454.1	2
NZ_CP109456.1	2
NZ_CP109462.1	2
NZ_CP109504.1	2
NZ_CP109612.1	7
NZ_CP109613.1	5
NZ_CP109759.1	7
NZ_CP109800.1	2
NZ_CP109840.1	7
NZ_CP109860.1	3
NZ_CP109873.2	2
NZ_CP109958.1	3
NZ_CP109959.1	3
NZ_CP110044.1	7
NZ_CP110056.1	5
NZ_CP110057.1	5
NZ_CP110060.1	6
NZ_CP110061.1	5
NZ_CP110066.1	7
NZ_CP110076.1	7
NZ_CP110280.1	3
NZ_CP110282.1	3
NZ_CP110284.1	3
NZ_CP110286.1	3
NZ_CP110288.1	3
NZ_CP110290.1	8
NZ_CP110292.1	8
NZ_CP110295.1	6
NZ_CP110361.1	7
NZ_CP110785.1	2
NZ_CP110795.1	4
NZ_CP110851.1	3
NZ_CP113017.1	6
NZ_CP113021.1	7
NZ_CP113023.1	8
NZ_CP113108.1	6
NZ_CP113429.1	7
NZ_CP113528.1	2
NZ_CP113829.1	7
NZ_CP113830.1	7
NZ_CP113834.1	6
NZ_CP113835.1	7
NZ_CP114395.1	3
NZ_CP114396.1	5
NZ_CP114403.1	5
NZ_CP114410.1	5
NZ_CP114506.1	7
NZ_CP114520.1	7
NZ_CP114525.1	7
NZ_CP114527.1	7
NZ_CP114544.1	6
NZ_CP114900.1	3
NZ_CP115304.1	2
NZ_CP115306.1	2
NZ_CP115993.1	2
NZ_CP115994.1	8
NZ_CP116015.1	2
NZ_CP116027.1	2
NZ_CP116030.1	8
NZ_CP116205.1	2
NZ_CP116206.1	7
NZ_CP116207.1	4
NZ_CP116318.1	2
NZ_CP116319.1	5
NZ_CP116323.1	3
NZ_CP116324.1	4
NZ_CP116331.1	5
NZ_CP116332.1	3
NZ_CP116334.1	2
NZ_CP116519.1	8
NZ_CP116521.1	8
NZ_CP116542.1	5
NZ_CP116545.1	5
NZ_CP116548.1	5
NZ_CP116551.1	6
NZ_CP116552.1	5
NZ_CP116554.1	7
NZ_CP116556.1	7
NZ_CP116558.1	7
NZ_CP116560.1	7
NZ_CP116563.1	6
NZ_CP116568.1	6
NZ_CP116570.1	7
NZ_CP116572.1	6
NZ_CP116573.1	7
NZ_CP116577.1	9
NZ_CP116591.1	6
NZ_CP116888.1	3
NZ_CP116890.1	3
NZ_CP116891.1	2
NZ_CP116893.1	3
NZ_CP116894.1	2
NZ_CP116896.1	3
NZ_CP116897.1	2
NZ_CP116963.1	10
NZ_CP116965.1	7
NZ_CP117228.1	2
NZ_CP117405.1	5
NZ_CP117408.1	7
NZ_CP117422.1	2
NZ_CP117423.1	2
NZ_CP117490.1	6
NZ_CP117491.1	7
NZ_CP117493.1	2
NZ_CP117497.1	7
NZ_CP117498.1	7
NZ_CP117499.1	8
NZ_CP117504.1	8
NZ_CP117505.1	7
NZ_CP117512.1	8
NZ_CP117513.1	8
NZ_CP117691.1	3
NZ_CP117871.1	2
NZ_CP117987.1	2
NZ_CP118102.1	3
NZ_CP118103.1	6
NZ_CP118105.1	3
NZ_CP118110.1	3
NZ_CP118266.1	2
NZ_CP118549.1	8
NZ_CP118550.1	2
NZ_CP118628.1	6
NZ_CP118716.1	2
NZ_CP118756.1	8
NZ_CP118757.1	7
NZ_CP118843.1	2
NZ_CP118959.1	6
NZ_CP119110.1	3
NZ_CP119134.1	2
NZ_CP119146.1	2
NZ_CP119160.1	8
NZ_CP119161.1	3
NZ_CP119162.1	4
NZ_CP119189.1	2
NZ_CP119342.1	7
NZ_CP119529.1	3
NZ_CP119630.1	2
NZ_CP120186.1	2
NZ_CP120418.1	3
NZ_CP120606.1	2
NZ_CP120750.1	3
NZ_CP120755.1	3
NZ_CP120959.1	2
NZ_CP121267.1	2
NZ_CP121484.1	3
NZ_CP121487.1	3
NZ_CP121493.1	2
NZ_CP121500.1	2
NZ_CP121505.1	2
NZ_CP121672.1	5
NZ_CP121697.1	3
NZ_CP121765.1	3
NZ_CP122524.1	3
NZ_CP124308.1	4
NZ_CP124738.1	5
NZ_CP124885.1	6
NZ_CP124888.1	6
NZ_CP124895.1	2
NZ_CP124899.1	2
NZ_CP124902.1	7
NZ_CP124910.1	2
NZ_CP124912.1	4
NZ_CP124915.1	6
NZ_CP124917.1	6
NZ_CP124919.1	3
NZ_CP124922.1	6
NZ_CP124924.1	6
NZ_CP124926.1	2
NZ_CP124932.1	8
NZ_CP124936.1	2
NZ_CP124937.1	6
NZ_CP124940.1	2
NZ_CP124944.1	2
NZ_CP124945.1	3
NZ_CP124948.1	2
NZ_CP124951.1	2
NZ_CP124957.1	6
NZ_CP124958.1	2
NZ_CP124961.1	2
NZ_CP125316.1	8
NZ_CP125813.1	2
NZ_CP125990.1	2
NZ_CP126464.1	3
NZ_CP126465.1	2
NZ_CP126475.1	2
NZ_CP126517.1	3
NZ_CP126519.1	3
NZ_CP126522.1	3
NZ_CP126528.1	3
NZ_CP126529.1	8
NZ_CP126541.1	3
NZ_CP126628.1	2
NZ_CP126903.1	2
NZ_CP127023.1	8
NZ_CP127178.1	8
NZ_CP127179.1	6
NZ_CP127373.1	2
NZ_CP127374.1	4
NZ_CP127875.1	2
NZ_CP127876.1	2
NZ_CP128115.1	7
NZ_CP128131.1	4
NZ_CP128136.1	2
NZ_CP128138.1	2
NZ_CP128142.1	2
NZ_CP128161.1	2
NZ_CP128463.1	7
NZ_CP128469.1	2
NZ_CP128554.1	2
NZ_CP129006.1	2
NZ_CP129296.1	4
NZ_CP129608.2	2
NZ_CP129634.1	2
NZ_CP130278.1	4
NZ_CP130285.1	4
NZ_CP130286.1	4
NZ_CP130336.1	2
NZ_CP130337.1	3
NZ_CP130338.1	3
NZ_CP132039.1	3
NZ_CP132068.1	2
NZ_CP132069.1	4
NZ_CP132070.1	5
NZ_CP132369.1	7
NZ_CP133365.1	5
NZ_CP133366.1	3
NZ_CP133372.1	3
NZ_CP133373.1	5
NZ_CP133378.1	3
NZ_CP133379.1	5
NZ_CP133451.1	8
NZ_CP133558.1	2
NZ_CP133589.1	4
NZ_CP133661.1	7
NZ_CP133766.1	5
NZ_CP133769.1	3
NZ_CP134052.1	2
NZ_CP134205.1	2
NZ_CP134264.1	2
NZ_CP134266.1	2
NZ_CP134606.1	2
NZ_CP134840.1	2
NZ_CP135061.1	7
NZ_CP135064.1	12
NZ_CP135200.1	6
NZ_CP135592.1	2
NZ_CP136122.1	2
NZ_CP136123.1	2
NZ_CP136342.1	8
NZ_CP136343.1	6
NZ_CP136347.1	8
NZ_CP136348.1	6
NZ_CP136352.1	8
NZ_CP136354.1	8
NZ_CP136359.1	2
NZ_CP136371.1	8
NZ_CP136373.1	2
NZ_CP136374.1	2
NZ_CP136375.1	3
NZ_CP136383.1	3
NZ_CP136404.1	8
NZ_CP136525.1	7
NZ_CP136529.1	7
NZ_CP136644.1	2
NZ_CP136944.1	7
NZ_CP137467.1	5
NZ_CP137473.1	7
NZ_CP137560.1	2
NZ_CP137637.1	5
NZ_CP137769.1	2
NZ_CP138310.1	6
NZ_CP138567.1	8
NZ_CP138643.1	5
NZ_CP138644.1	8
NZ_CP138650.1	3
NZ_CP138651.1	2
NZ_CP138654.1	7
NZ_CP138656.1	8
NZ_CP138657.1	5
NZ_CP138659.1	5
NZ_CP139201.1	3
NZ_CP139215.1	3
NZ_CP139485.1	2
NZ_CP140124.1	2
NZ_CP140272.1	2
NZ_CP141097.1	6
NZ_CP141708.1	6
NZ_CP141711.1	3
NZ_CP141715.1	3
NZ_CP141722.1	6
NZ_CP141724.1	6
NZ_CP141726.1	6
NZ_CP141999.1	2
NZ_CP142671.1	2
NZ_CP142813.1	5
NZ_CP142817.1	8
NZ_CP142819.1	8
NZ_CP142822.1	8
NZ_CP142825.1	8
NZ_CP142828.1	8
NZ_CP142830.1	8
NZ_CP142832.1	8
NZ_CP142834.1	8
NZ_CP142856.1	6
NZ_CP143085.1	2
NZ_CP143279.1	3
NZ_CP143439.1	4
NZ_CP143494.1	6
NZ_CP143495.1	2
NZ_CP143537.1	3
NZ_CP143538.1	3
NZ_CP143580.1	11
NZ_CP143581.1	3
NZ_CP143585.1	4
NZ_CP143586.1	3
NZ_CP143884.1	2
NZ_CP143943.1	2
NZ_CP143959.1	2
NZ_CP144765.1	7
NZ_CP144766.1	3
NZ_CP145115.1	7
NZ_CP145727.1	3
NZ_CP145728.1	2
NZ_CP145730.1	3
NZ_CP145893.1	2
NZ_CP146261.1	2
NZ_CP146755.1	6
NZ_CP147782.1	3
NZ_CP147784.1	3
NZ_CP147786.1	3
NZ_CP147788.1	3
NZ_CP147790.1	3
NZ_CP147792.1	3
NZ_CP147875.1	2
NZ_CP148053.1	7
NZ_CP148054.1	5
NZ_CP148082.1	8
NZ_CP148589.1	3
NZ_CP148600.1	3
NZ_CP148602.1	3
NZ_CP148607.1	3
NZ_CP148611.1	3
NZ_CP148614.1	3
NZ_CP148619.1	3
NZ_CP148622.1	3
NZ_CP148625.1	3
NZ_CP148630.1	3
NZ_CP148634.1	3
NZ_CP148639.1	3
NZ_CP148645.1	3
NZ_CP148649.1	3
NZ_CP148653.1	3
NZ_CP148658.1	3
NZ_CP148662.1	2
NZ_CP148663.1	2
NZ_CP148672.1	3
NZ_CP148677.1	3
NZ_CP148682.1	3
NZ_CP148685.1	3
NZ_CP148691.1	2
NZ_CP148695.1	3
NZ_CP148702.1	3
NZ_CP148706.1	3
NZ_CP148713.1	3
NZ_CP148717.1	3
NZ_CP148721.1	3
NZ_CP148722.1	3
NZ_CP148726.1	3
NZ_CP148734.1	3
NZ_CP148897.1	2
NZ_CP149680.1	4
NZ_CP150085.1	5
NZ_CP150650.1	3
NZ_CP150655.1	3
NZ_CP151094.1	5
NZ_CP151182.1	8
NZ_CP152421.1	7
NZ_CP152428.1	2
NZ_CP152429.1	8
NZ_CP152438.1	2
NZ_CP154917.1	5
NZ_CP156675.1	4
NZ_CP156991.1	2
NZ_CP156994.1	2
NZ_CP157039.1	2
NZ_DQ025752.1	2
NZ_DQ889677.1	2
NZ_DQ889678.1	2
NZ_HG813248.1	3
NZ_HG813250.1	3
NZ_JX406743.1	6
NZ_KC222021.1	3
NZ_KF831355.1	2
NZ_KJ776578.1	6
NZ_KJ776580.1	6
NZ_KJ776582.1	6
NZ_KJ922127.1	6
NZ_KM521836.1	7
NZ_KM521837.1	3
NZ_KP345886.1	7
NZ_KP670395.1	7
NZ_KP738729.1	3
NZ_KP890694.1	6
NZ_KR066794.1	8
NZ_KR230047.1	7
NZ_KT020842.1	4
NZ_KT186230.1	3
NZ_KT290268.1	3
NZ_KT373969.1	7
NZ_KT601170.1	2
NZ_KT780704.1	7
NZ_KT780705.1	7
NZ_KU510528.1	5
NZ_KU513859.1	3
NZ_KU521355.1	3
NZ_KU525621.1	2
NZ_KU882681.1	7
NZ_KX149096.1	3
NZ_KX149097.1	2
NZ_KX258624.1	2
NZ_KX520649.1	3
NZ_KX853854.1	2
NZ_KX976485.1	2
NZ_KX982169.1	2
NZ_KX982171.1	2
NZ_KY270848.1	5
NZ_KY290886.1	4
NZ_KY303941.1	3
NZ_KY436023.1	2
NZ_KY465818.1	7
NZ_KY513280.1	9
NZ_KY579372.1	7
NZ_KY940428.1	2
NZ_LC377538.1	7
NZ_LC473083.1	4
NZ_LN774770.1	8
NZ_LN835295.1	8
NZ_LR026976.1	2
NZ_LR134097.1	7
NZ_LR134111.1	9
NZ_LR135183.1	7
NZ_LR135205.1	5
NZ_LR135221.1	7
NZ_LR135229.1	5
NZ_LR135248.1	6
NZ_LR135260.1	7
NZ_LR135298.1	5
NZ_LR135299.1	2
NZ_LR135334.1	5
NZ_LR135341.1	2
NZ_LR135359.1	8
NZ_LR135387.1	8
NZ_LR135396.1	6
NZ_LR135403.1	8
NZ_LR135410.1	6
NZ_LR135420.1	2
NZ_LR135484.1	6
NZ_LT559118.1	4
NZ_LT604075.1	2
NZ_MF477836.1	2
NZ_MF547664.1	2
NZ_MF580438.1	7
NZ_MF996509.1	5
NZ_MG205641.1	2
NZ_MG205642.1	2
NZ_MG205643.1	2
NZ_MG710485.1	2
NZ_MG765452.1	8
NZ_MH587576.1	3
NZ_MH587577.1	2
NZ_MH587578.1	7
NZ_MH660279.1	8
NZ_MH830362.1	7
NZ_MK024370.1	7
NZ_MK134858.1	3
NZ_MK140641.1	6
NZ_MK283981.1	3
NZ_MK465702.1	7
NZ_MK465703.1	8
NZ_MK465704.1	7
NZ_MK784777.1	7
NZ_MK784778.1	7
NZ_MK798156.1	2
NZ_MK993385.1	6
NZ_MN480762.1	7
NZ_MN480763.1	3
NZ_MN831410.1	8
NZ_MN909556.1	2
NZ_MT022086.1	2
NZ_MT075580.1	2
NZ_MT096435.1	6
NZ_MT223178.1	9
NZ_MT261365.1	9
NZ_MT683616.1	6
NZ_MW012677.1	6
NZ_MW124301.1	2
NZ_MW124302.1	2
NZ_MW207670.1	9
NZ_MW207673.1	3
NZ_MW310588.1	3
NZ_MW364930.1	7
NZ_MW934262.1	2
NZ_MZ043156.1	2
NZ_MZ043157.1	2
NZ_MZ065170.1	3
NZ_MZ089994.1	3
NZ_MZ090001.1	3
NZ_MZ090006.1	2
NZ_MZ127841.1	3
NZ_MZ127842.1	3
NZ_MZ127846.1	2
NZ_MZ127849.1	3
NZ_MZ147614.1	3
NZ_MZ147616.1	2
NZ_MZ147617.1	2
NZ_MZ147618.1	4
NZ_MZ147619.1	2
NZ_MZ151535.1	4
NZ_MZ151536.1	2
NZ_MZ151537.1	4
NZ_MZ230002.1	2
NZ_MZ291453.1	5
NZ_MZ603802.1	7
NZ_OK210095.1	2
NZ_OL790696.1	2
NZ_OM574792.1	6
NZ_OM574793.1	7
NZ_ON321837.1	7
NZ_ON470181.1	4
NZ_ON470182.1	4
NZ_ON470183.1	4
NZ_ON470184.1	4
NZ_ON470186.1	2
NZ_ON470188.1	7
NZ_ON470192.1	4
NZ_ON953151.1	7
NZ_OP046172.1	7
NZ_OP046173.1	7
