accession	slot_family	slot_status	gap_up	gap_down	anchor_gap_median	n_anchor_gaps
NZ_CP010654.1		candidate	12	1	2	9
NZ_CP010658.1		candidate	2	14	-1	7
NZ_CP010662.1		candidate	2	14	-1	7
NZ_CP010666.1		candidate	11	4	-4	8
NZ_CP010667.1		candidate	13	1	1	8
NZ_CP010675.1		candidate	2	17	-4	7
NZ_CP010679.1		candidate	13	1	1	8
NZ_CP010691.1	Eex_IncN	eex_occupied	30	9	-1	8
NZ_CP010693.1		candidate	13	1	0	7
NZ_CP010695.1		candidate	-1	2	4	8
NZ_CP010698.1		candidate	0	8	2	7
NZ_CP010699.1		candidate	1	14	-4	7
NZ_CP010700.1		candidate	-1	2	4	8
NZ_CP010707.1		candidate	2	17	-4	7
NZ_CP010709.1		candidate	0	8	2	7
NZ_CP010712.1		candidate	11	4	-4	8
NZ_CP010713.1		candidate	13	1	1	8
NZ_CP010716.1		candidate	2	14	-1	7
NZ_CP010727.1		candidate	4	14	-1	7
NZ_CP010728.1		candidate	-1	-4	4	7
NZ_CP010729.1		candidate	0	8	5	7
NZ_CP010730.1		candidate	-4	3	6	6
NZ_CP010737.1		candidate	1	14	-4	7
NZ_CP010740.1		candidate	13	1	1	8
NZ_CP010750.1		candidate	2	14	-1	7
NZ_CP010754.1		candidate	11	4	-4	8
NZ_CP010755.1		candidate	13	1	1	8
NZ_CP010758.1		candidate	2	17	-4	7
NZ_CP010760.1		candidate	0	8	2	7
NZ_CP010763.1		candidate	11	4	-4	8
NZ_CP010764.1		candidate	13	1	1	8
NZ_CP010769.1		candidate	2	14	-1	7
NZ_CP010770.1		candidate	2	17	-4	7
NZ_CP010771.1		candidate	-4	3	6	6
NZ_CP010774.1		candidate	11	4	-4	8
NZ_CP010787.1		candidate	-4	3	6	6
NZ_CP010790.1		candidate	13	1	1	8
NZ_CP010791.1		candidate	2	17	-4	7
NZ_CP010807.1	Eex_IncN	eex_occupied	30	9	-1	8
NZ_CP010810.1		candidate	-1	2	4	8
NZ_CP010871.1		candidate	2	17	-4	7
NZ_CP010872.1		candidate	16	2	2	4
NZ_CP010881.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP010893.1		candidate	15	15	-4	7
NZ_CP010898.2		candidate	52	-8	-4	7
NZ_CP010903.1		candidate	11	162	7	9
NZ_CP010955.1	Eex_IncN	eex_occupied	10	9	17	6
NZ_CP010956.1	Eex_IncN	eex_occupied	-4	21	-4	9
NZ_CP011016.1	Eex_IncN	eex_occupied	48	-14	3	5
NZ_CP011017.1		candidate	-11	-4	0	6
NZ_CP011162.1		candidate	-8	46	2	6
NZ_CP011251.1		candidate	-8	50	1	8
NZ_CP011290.1		candidate	11	-4	11	8
NZ_CP011291.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_CP011293.1		candidate	11	-4	11	8
NZ_CP011294.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_CP011408.1		candidate	29	3	9	8
NZ_CP011413.1		candidate	-4	72	-4	6
NZ_CP011431.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_CP011518.2		candidate	-8	46	-4	7
NZ_CP011519.2		candidate	-8	46	-4	8
NZ_CP011521.2	Eex_IncN	eex_occupied	10	12	1	6
NZ_CP011571.1		candidate	14	2	-4	6
NZ_CP011580.1		candidate	2	14	-4	6
NZ_CP011583.1		candidate	14	2	-4	6
NZ_CP011588.1	Eex_IncN	eex_occupied	11	8	7	8
NZ_CP011589.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP011639.1	Eex_IncN	eex_occupied	11	8	7	8
NZ_CP011645.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_CP011649.1		candidate	2	14	-4	6
NZ_CP011661.1		candidate	14	2	-4	6
NZ_CP011808.2		candidate	-8	46	-4	8
NZ_CP011809.2		candidate	46	-8	-4	6
NZ_CP011928.1		candidate	20	-29	2	6
NZ_CP011963.1		candidate	-8	51	1	8
NZ_CP011978.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_CP011983.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP011987.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP012003.1		candidate	-8	50	1	8
NZ_CP012049.1		candidate	6	567	26	6
NZ_CP012058.1		candidate	6	567	26	6
NZ_CP012061.1		candidate	6	567	26	6
NZ_CP012064.1		candidate	6	567	26	6
NZ_CP012143.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_CP012163.1	Eex_IncN	eex_occupied	17	11	9	4
NZ_CP012168.1		candidate	12	-4	-4	7
NZ_CP012563.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP012702.1		candidate	43	2	1	8
NZ_CP012734.1	Eex_IncN	eex_occupied	0	8	4	8
NZ_CP012834.1		candidate	8	81	-4	5
NZ_CP012909.1		candidate	19	3	-4	7
NZ_CP012922.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP012926.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP012941.1		candidate	-4	-4	8	5
NZ_CP012990.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP012995.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP013003.1	Eex_IncN	eex_occupied	-1	15	-4	7
NZ_CP013035.1		candidate	-11	-4	-4	5
NZ_CP013052.1		candidate	25	232	2	10
NZ_CP013053.1		candidate	-7	-4	10	6
NZ_CP013054.1	Eex_IncN	eex_occupied	-4	5	4	7
NZ_CP013108.1		candidate	25	232	2	10
NZ_CP013109.1		candidate	-7	-4	10	6
NZ_CP013110.1	Eex_IncN	eex_occupied	5	-4	4	7
NZ_CP013250.1		candidate	-4	10	10	4
NZ_CP013266.1	Eex_IncN	eex_occupied	29	3	1	7
NZ_CP013379.1		candidate	104	166	16	6
NZ_CP013482.1		candidate	41	13	15	7
NZ_CP013488.1		candidate	3	3	3	4
NZ_CP013492.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013494.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013497.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013499.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013502.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013504.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013508.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013510.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013514.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP013519.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013521.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013526.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013530.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013531.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013535.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013540.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013541.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013544.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013546.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013550.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013555.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP013561.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP013562.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013566.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP013572.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013573.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013578.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013579.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013583.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP013584.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013587.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP013589.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP013592.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013594.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013598.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP013600.1	Eex_IncN	eex_occupied	2	-4	8	8
NZ_CP013604.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP013633.1	Eex_IncN	eex_occupied	-4	2	5	8
NZ_CP013664.1		candidate	-8	47	1	8
NZ_CP013734.1		candidate	114	32	-1	2
NZ_CP013735.1		candidate	-4	-11	0	6
NZ_CP013736.1	Eex_IncN	eex_occupied	-47	43	9	6
NZ_CP013795.1	Eex_IncN	eex_occupied	9	11	-4	7
NZ_CP013814.1	Eex_IncN	eex_occupied	9	11	-4	7
NZ_CP013819.1	Eex_IncN	eex_occupied	9	11	-4	7
NZ_CP014006.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP014069.2	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP014308.1		candidate	157	59	-1	6
NZ_CP014309.1		candidate	59	157	-1	7
NZ_CP014524.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP014570.1	Eex_IncN	eex_occupied	51	28	9	5
NZ_CP014743.1		candidate	-11	3	3	5
NZ_CP014745.1		candidate	-11	-4	0	6
NZ_CP014746.1		candidate	30	103	-1	2
NZ_CP014764.1		candidate	0	3	-1	5
NZ_CP014801.1		candidate	0	-11	-1	7
NZ_CP014802.1		candidate	36	-1	1	7
NZ_CP014974.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP015007.1		candidate	17	202	-4	7
NZ_CP015008.1		candidate	-7	-4	-8	6
NZ_CP015009.1		candidate	-4	-7	10	6
NZ_CP015063.1		candidate	-4	8	-4	7
NZ_CP015073.1		candidate	3	0	-1	5
NZ_CP015078.1	Eex_IncN	eex_occupied	9	16	15	6
NZ_CP015092.1		candidate	2	111	-4	7
NZ_CP015322.1		candidate	-4	-4	12	8
NZ_CP015373.1	TrbK_RP4	eex_occupied	10	9	17	4
NZ_CP015390.1		candidate	72	9	-4	4
NZ_CP015505.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_CP015522.1		candidate	131	-1	30	7
NZ_CP015617.1		candidate	62	200	10	7
NZ_CP015741.1		candidate	-4	-7	10	6
NZ_CP015742.1		candidate	6	4	-4	7
NZ_CP015743.1		candidate	6	4	-4	7
NZ_CP015745.1		candidate	-7	4	9	6
NZ_CP015746.1		candidate	-7	-4	10	6
NZ_CP015881.1	Eex_IncN	eex_occupied	22	-4	4	6
NZ_CP015913.1	Eex_IncN	eex_occupied		8	5	4
NZ_CP015989.1	Eex_IncN	eex_occupied	-4	18	2	8
NZ_CP016008.1		candidate	10	145	13	5
NZ_CP016011.1		candidate	8	81	-4	5
NZ_CP016024.1		candidate	117	28	-4	5
NZ_CP016080.1		candidate	12	2	-4	7
NZ_CP016185.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP016186.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP016187.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP016287.1	Eex_IncN	eex_occupied	-4	3	-1	7
NZ_CP016290.1		candidate	-4	4	10	6
NZ_CP016292.1		candidate	-4	-7	-8	3
NZ_CP016367.1		candidate	2	3	3	8
NZ_CP016388.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP016405.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_CP016446.1	Eex_IncN	eex_occupied	12	5	2	6
NZ_CP016451.1		candidate	-7	-4	9	6
NZ_CP016500.1		candidate	-1	122	14	7
NZ_CP016506.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016509.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016512.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016515.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016518.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016524.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016529.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016531.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016547.1	Eex_IncN	eex_occupied	77	3	5	4
NZ_CP016550.1		candidate	11	-4	11	8
NZ_CP016562.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016564.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016567.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016571.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016575.1	Eex_IncN	eex_occupied	14	11	4	8
NZ_CP016578.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016580.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016583.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016587.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP016593.1		candidate	19	3	-4	7
NZ_CP016611.1	Eex_IncN	eex_occupied	12	5	12	6
NZ_CP016831.1	Eex_IncN	eex_occupied	11	14	-1	8
NZ_CP016834.1	Eex_IncN	eex_occupied	14	11	-1	8
NZ_CP016850.1		candidate	-4	13	11	6
NZ_CP016879.1	Eex_IncN	eex_occupied	40	4	10	5
NZ_CP017011.1		candidate	29	-8	2	8
NZ_CP017026.1		candidate	-11	-4	9	6
NZ_CP017030.1		candidate	-11	-4	0	6
NZ_CP017056.1	Eex_IncN	eex_occupied	12	18	2	6
NZ_CP017058.1		candidate	11	-4	-4	7
NZ_CP017076.1		candidate	20	3	-4	6
NZ_CP017078.1		candidate	-4	-1	-4	6
NZ_CP017102.1		candidate	-7	-4	-8	5
NZ_CP017104.1		candidate	-7	-4	10	6
NZ_CP017105.1		candidate	1	2	-4	9
NZ_CP017148.1		candidate	-4	-4	-4	8
NZ_CP017192.1		candidate	50	-8	-4	6
NZ_CP017222.1	Eex_IncN	eex_occupied	0	9	4	8
NZ_CP017230.1		candidate	-4	-11	0	6
NZ_CP017233.1	Eex_IncN	eex_occupied	0	9	18	3
NZ_CP017242.1		candidate	-7	-4	10	3
NZ_CP017243.1	Eex_IncN	eex_occupied	-4	2	5	7
NZ_CP017294.1		candidate	12	-4	-4	7
NZ_CP017309.1	Eex_IncN	eex_occupied	19	185	9	5
NZ_CP017318.1		candidate	-4	215	66	6
NZ_CP017322.1	Eex_IncN	eex_occupied	19	185	28	2
NZ_CP017325.1		candidate	-4	215	19	7
NZ_CP017416.1		candidate	-4	-11	-4	7
NZ_CP017418.1		candidate	-4	-11	0	6
NZ_CP017419.1		candidate	3	-11	3	6
NZ_CP017455.1	TrbK_RP4	eex_occupied	9	10	16	6
NZ_CP017564.2		candidate	33	-4	26	3
NZ_CP017725.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP017760.1	TrbK_RP4	eex_occupied	11	9	16	6
NZ_CP017782.1		candidate	-4	14	-4	4
NZ_CP017854.1		candidate	3	-11	3	6
NZ_CP017857.1		candidate	3	-11	3	6
NZ_CP017861.1		candidate		-4	0	6
NZ_CP017866.1		candidate	-4	-11	-4	4
NZ_CP017867.1	Eex_IncN	eex_occupied	-14	48	9	6
NZ_CP017869.1		candidate	-4	-11	-4	5
NZ_CP017870.1	Eex_IncN	eex_occupied	-53	48	9	5
NZ_CP017872.1		candidate	-4	-11	-4	5
NZ_CP017874.1	Eex_IncN	eex_occupied	-14	48	9	6
NZ_CP017876.1	Eex_IncN	eex_occupied	-47	43	3	4
NZ_CP017877.1		candidate	-11	3	3	5
NZ_CP017879.1		candidate	-4	-11	-4	5
NZ_CP017880.1	Eex_IncN	eex_occupied	-14	48	9	6
NZ_CP017943.1		candidate	-7	-4	9	6
NZ_CP017947.1		candidate	8	190	-1	8
NZ_CP018078.1		candidate	17	2	-1	7
NZ_CP018081.1		candidate	7	0	5	2
NZ_CP018106.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_CP018112.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_CP018118.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_CP018124.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_CP018207.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP018222.1	Eex_IncN	eex_occupied	-1	11	-4	8
NZ_CP018224.1	Eex_IncN	eex_occupied	9	10	13	7
NZ_CP018225.1	Eex_IncN	eex_occupied	-4	21	-4	9
NZ_CP018234.1		candidate	-4	13	-1	8
NZ_CP018235.1		candidate	47	67	10	6
NZ_CP018320.1		candidate	-8	27	3	8
NZ_CP018423.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_CP018429.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_CP018435.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_CP018465.1		candidate	-8	50	1	7
NZ_CP018466.1		candidate	58	166	15	5
NZ_CP018469.1		candidate	6	357	24	8
NZ_CP018471.1	TrbK_RP4	eex_occupied	9	10	3	5
NZ_CP018474.1		candidate	367	58	18	7
NZ_CP018476.1	Eex_IncN	eex_occupied	0	49	12	6
NZ_CP018643.1	TraS	eex_occupied	7	15	17	7
NZ_CP018646.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_CP018649.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP018662.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP018727.1		candidate	6	357	26	5
NZ_CP018734.1		candidate	367	58	25	5
NZ_CP018781.1		candidate	-14	28	-1	9
NZ_CP018792.1	Eex_IncN	eex_occupied	49	-56	12	6
NZ_CP018794.1	Eex_IncN	eex_occupied	55	-47	12	6
NZ_CP018849.1		candidate	47	-8	1	8
NZ_CP018852.1		candidate	-8	47	1	8
NZ_CP018853.1	Eex_IncN	eex_occupied	0	49	12	6
NZ_CP018856.1		candidate	47	-8	1	8
NZ_CP018857.1	Eex_IncN	eex_occupied	49	0	12	6
NZ_CP018860.1		candidate	-8	47	1	8
NZ_CP018884.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP018887.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP018922.1	Eex_IncN	eex_occupied	12	11	12	6
NZ_CP018945.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP018950.1		candidate	10	-4	11	8
NZ_CP018951.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP018963.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP018977.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP018988.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP019006.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP019016.1		candidate	-4	10	11	8
NZ_CP019026.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP019036.1		candidate	147	142	19	8
NZ_CP019052.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP019072.1		candidate	-1	11	13	8
NZ_CP019073.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP019180.1	Eex_IncN	eex_occupied	9	0	10	8
NZ_CP019191.1	Eex_IncN	eex_occupied	12	11	12	5
NZ_CP019199.1	Eex_IncN	eex_occupied	12	1	5	5
NZ_CP019227.1		candidate	-8	51	1	8
NZ_CP019238.1	TrbK_RP4	eex_occupied	10	9	16	6
NZ_CP019254.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_CP019264.1	Eex_IncN	eex_occupied	3	46	5	5
NZ_CP019277.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP019284.1	Eex_IncN	eex_occupied	7	15	17	3
NZ_CP019296.1	Eex_IncN	eex_occupied	19	13	-4	3
NZ_CP019297.1		candidate	2	-4	2	5
NZ_CP019393.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_CP019439.1		candidate	2	14	-1	7
NZ_CP019483.1	Eex_IncN	eex_occupied	5	-4	-1	5
NZ_CP019486.1	Eex_IncN	eex_occupied	5	-4	-1	5
NZ_CP019585.1	Eex_IncN	eex_occupied	5	-4	4	2
NZ_CP019632.1		candidate	-29	20	15	4
NZ_CP019690.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP019908.1		candidate	11	-4	11	8
NZ_CP019949.1		candidate	12	-47	8	8
NZ_CP020036.1		candidate	-4	10	10	5
NZ_CP020047.1	Eex_IncN	eex_occupied	103	10	5	6
NZ_CP020059.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP020066.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP020078.1		candidate	-4	10	10	5
NZ_CP020080.1	Eex_IncN	eex_occupied	13	19	2	4
NZ_CP020081.1		candidate	-4	2	2	5
NZ_CP020088.1	Eex_IncN	eex_occupied	0	8	4	8
NZ_CP020090.1	Eex_IncN	eex_occupied	9		5	7
NZ_CP020111.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP020332.1		candidate	-4	-4	-4	7
NZ_CP020344.1	Eex_IncN	eex_occupied	11	17	10	4
NZ_CP020374.1		candidate	10	7	10	6
NZ_CP020376.1		candidate	11	-4	11	8
NZ_CP020393.1		candidate	13	11	12	5
NZ_CP020416.2		candidate	-14	234	12	7
NZ_CP020444.2		candidate	-1	5	4	6
NZ_CP020475.1		candidate	15	2	-1	7
NZ_CP020480.1		candidate	10	-1	-1	3
NZ_CP020505.1	Eex_IncN	eex_occupied	9	11	7	8
NZ_CP020512.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP020539.1	Eex_IncN	eex_occupied	17	-1	-4	7
NZ_CP020548.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_CP020602.1		candidate	3	0	-1	5
NZ_CP020696.1		candidate	2	17	-4	7
NZ_CP020697.1		candidate	0	8	2	7
NZ_CP020775.1		candidate	3	-11	3	6
NZ_CP020836.1	Eex_IncN	eex_occupied	0	8	4	7
NZ_CP020839.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_CP020871.1	Eex_IncN	eex_occupied	5	12	12	6
NZ_CP020884.1		candidate	217	370	18	7
NZ_CP020887.1	Eex_IncN	eex_occupied	183	19	9	5
NZ_CP020891.1		candidate	370	217	18	7
NZ_CP020898.1	Eex_IncN	eex_occupied	-4	3	-4	7
NZ_CP020905.1		candidate	9	75	-4	4
NZ_CP020910.1		candidate	-4	-7	9	6
NZ_CP020911.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP020949.1		candidate	-7	-4	10	6
NZ_CP020950.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP020965.2		candidate	166	58	26	4
NZ_CP020968.2		candidate	567	6	26	6
NZ_CP020972.1		candidate	567	6	26	6
NZ_CP020976.2		candidate	166	58	26	4
NZ_CP020982.2		candidate	6	567	26	6
NZ_CP020984.2		candidate	567	6	26	6
NZ_CP020986.2		candidate	567	6	26	6
NZ_CP020988.2		candidate	567	6	26	6
NZ_CP020990.2		candidate	567	6	26	6
NZ_CP021004.2		candidate	3	0	10	5
NZ_CP021017.2		candidate	567	6	26	6
NZ_CP021019.2		candidate	567	6	26	6
NZ_CP021021.2		candidate	0	3	10	4
NZ_CP021022.2		candidate	-8	50	1	8
NZ_CP021027.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP021031.1		candidate	24	172	9	7
NZ_CP021033.1	Eex_IncN	eex_occupied	2	-4	-4	7
NZ_CP021042.1		candidate	2	17	-4	7
NZ_CP021049.1		candidate	2	17	-4	7
NZ_CP021125.1	Eex_IncN	eex_occupied	-4	2	5	6
NZ_CP021128.1	Eex_IncN	eex_occupied	-4	3	-1	6
NZ_CP021133.1		candidate	13	-4	11	6
NZ_CP021134.1		candidate	29	-8	27	6
NZ_CP021148.1		candidate	-4	10	10	5
NZ_CP021150.1		candidate	14	-34	-4	4
NZ_CP021154.1		candidate	-1	548	-1	5
NZ_CP021156.1		candidate	73	39	123	3
NZ_CP021205.1	Eex_IncN	eex_occupied	1	12	5	4
NZ_CP021214.1		candidate	-4	-7	11	4
NZ_CP021216.1		candidate	-4	-7	10	6
NZ_CP021217.1	Eex_IncN	eex_occupied	-4	22	-1	4
NZ_CP021369.1		candidate	48	20	16	3
NZ_CP021406.1		candidate	111	1	-1	7
NZ_CP021418.1		candidate	11	-4	11	8
NZ_CP021419.1		candidate	11	-4	11	8
NZ_CP021432.1		candidate	-4	-1	2	7
NZ_CP021534.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP021542.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP021546.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_CP021650.1	TrbK_RP4	eex_occupied	9	10	16	6
NZ_CP021657.1		candidate	11	12	-1	5
NZ_CP021661.1		candidate	77	64	212	4
NZ_CP021681.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP021682.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP021715.1	Eex_IncN	eex_occupied	9	11	9	5
NZ_CP021730.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP021735.1		candidate	-4	11	11	6
NZ_CP021738.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP021754.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_CP021759.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP021794.1	Eex_IncN	eex_occupied	-4	22	-1	5
NZ_CP021798.1	Eex_IncN	eex_occupied	-4		-1	5
NZ_CP021801.1	Eex_IncN	eex_occupied	-4	22	-1	5
NZ_CP021803.1		candidate	-11	15	-1	9
NZ_CP021805.1	Eex_IncN	eex_occupied	22	-4	-1	5
NZ_CP021807.1		candidate	232	26	3	10
NZ_CP021809.1	Eex_IncN	eex_occupied	-4	5	-1	5
NZ_CP021811.1		candidate	-7	-4	6	6
NZ_CP021813.1	Eex_IncN	eex_occupied	5	-4	-1	5
NZ_CP021816.1		candidate	-4	-7	10	6
NZ_CP021819.1	Eex_IncN	eex_occupied	-4	22	4	4
NZ_CP021836.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_CP021887.1		candidate	-4	-11	-4	5
NZ_CP021915.1		candidate	0	7	0	7
NZ_CP021916.1		candidate	2	17	2	5
NZ_CP022061.1	Eex_IncN	eex_occupied	0	9	4	8
NZ_CP022078.1		candidate	-4	-11	0	6
NZ_CP022119.1	Eex_IncN	eex_occupied	11	11	18	4
NZ_CP022157.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_CP022158.1	Eex_IncN	eex_occupied	11	9	7	8
NZ_CP022197.1		candidate	-4	-4	-4	7
NZ_CP022212.1		candidate	-4	193	26	4
NZ_CP022220.1		candidate	-1	-4	-1	5
NZ_CP022265.1	Eex_IncN	eex_occupied	49	0	12	6
NZ_CP022276.1	Eex_IncN	eex_occupied	7	13	4	6
NZ_CP022281.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_CP022351.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP022370.1		candidate	20	-4	-4	8
NZ_CP022418.1	Eex_IncN	eex_occupied	-4	8	-1	8
NZ_CP022419.1		candidate	115	1	1	7
NZ_CP022420.1		candidate	3	2	3	8
NZ_CP022421.1		candidate	-4	0	5	7
NZ_CP022422.1		candidate	1	16	1	7
NZ_CP022452.1	Eex_IncN	eex_occupied	222	8	5	3
NZ_CP022471.1		candidate	-4	-11	0	6
NZ_CP022575.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP022666.1	Eex_IncN	eex_occupied	-4	3	-1	7
NZ_CP022669.1		candidate	-7	-7	10	6
NZ_CP022694.2	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP022749.1		candidate	43	2	1	8
NZ_CP022750.1		candidate	158	43	-4	9
NZ_CP022964.1	Eex_IncN	eex_occupied	0	9	2	7
NZ_CP022992.1		candidate	65	37	-1	5
NZ_CP023065.1		candidate	-7	-4	3	4
