accession	length	n_cds	mpf_classes	n_fa_fata	relaxase	exclusion_family_hit	description
NC_022071.1	76129	122	none	1	0		NC_022071.1 Mycobacterium phage Crossroads, complete genome
NC_022085.1	76483	136	none	0	0		NC_022085.1 Mycobacterium phage Goku, complete genome
NC_022086.1	50690	76	none	0	0		NC_022086.1 Mycobacterium phage LittleCherry, complete genome
NC_022087.1	53253	92	none	0	0		NC_022087.1 Mycobacterium phage AnnaL29, complete genome
NC_022088.2	163019	290	none	1	0		NC_022088.2 Bacillus phage Troll, complete genome
NC_022090.1	134643	187	none	0	0		NC_022090.1 Staphylococcus phage vB_SauM_Remus, complete genome
NC_022091.1	42874	53	none	0	0		NC_022091.1 Pseudomonas phage MPK7, complete genome
NC_022094.1	14319	25	none	0	0		NC_022094.1 Bacillus phage Wip1, complete genome
NC_022096.1	258139	328	none	1	0		NC_022096.1 Pseudomonas phage PaBG, complete genome
NC_022323.1	136910	213	none	0	0		NC_022323.1 Escherichia phage 2 JES-2013, complete genome
NC_022324.1	53701	92	none	0	0		NC_022324.1 Mycobacterium phage SarFire, complete genome
NC_022325.1	69815	116	none	0	0		NC_022325.1 Mycobacterium phage Dylan, complete genome
NC_022328.1	70236	96	none	0	0		NC_022328.1 Mycobacterium phage Adawi, complete genome
NC_022329.1	53636	86	none	0	0		NC_022329.1 Mycobacterium phage PhrostyMug, complete genome
NC_022330.1	76586	138	none	0	0		NC_022330.1 Mycobacterium phage Quink, complete genome
NC_022331.2	69309	86	none	1	0		NC_022331.2 Mycobacterium phage Bane1, complete genome
NC_022334.1	29266	42	none	0	0		NC_022334.1 Propionibacterium phage PHL112N00, complete genome
NC_022335.1	29377	42	none	0	0		NC_022335.1 Propionibacterium phage PHL067M10, complete genome
NC_022336.1	29511	42	none	0	0		NC_022336.1 Propionibacterium phage PHL010M04, complete genome
NC_022337.1	29467	41	none	0	0		NC_022337.1 Propionibacterium phage PHL071N05, complete genome
NC_022338.1	29514	42	none	0	0		NC_022338.1 Propionibacterium phage PHL060L00, complete genome
NC_022339.1	29443	42	none	0	0		NC_022339.1 Propionibacterium phage PHL037M02, complete genome
NC_022340.1	29464	41	none	0	0		NC_022340.1 Propionibacterium phage PHL114L00, complete genome
NC_022341.1	29200	41	none	0	0		NC_022341.1 Propionibacterium phage PHL113M01, complete genome
NC_022342.1	29140	40	none	0	0		NC_022342.1 Propionibacterium phage PHL111M01, complete genome
NC_022343.1	159991	205	none	1	0		NC_022343.1 Klebsiella phage 0507-KN2-1 DNA, complete genome
NC_022744.1	39860	46	none	1	0		NC_022744.1 Erwinia phage FE44, complete genome
NC_022746.1	42957	53	none	0	0		NC_022746.1 Pseudomonas phage MPK6, complete genome
NC_022747.1	34145	45	none	0	0		NC_022747.1 Vibrio phage VPUSM 8, complete genome
NC_022749.1	39758	58	none	0	0		NC_022749.1 Shigella phage SfIV, complete genome
NC_022750.1	33628	43	none	0	0		NC_022750.1 Enterobacteria phage fiAA91-ss, complete genome
NC_022751.1	42480	41	none	1	0		NC_022751.1 Cyanophage PP, complete genome
NC_022752.1	42665	69	none	0	0		NC_022752.1 Salmonella phage SETP13, complete genome
NC_022753.1	52282	91	none	1	0		NC_022753.1 Mycobacterium phage Fredward, complete genome
NC_022754.1	42749	66	none	0	0		NC_022754.1 Salmonella phage SETP7, complete genome
NC_022756.1	40931	57	none	0	0		NC_022756.1 Lactobacillus phage J-1, complete genome
NC_022757.1	38880	55	none	0	0		NC_022757.1 Lactobacillus phage PL-1, complete genome
NC_022758.1	44459	61	none	1	0		NC_022758.1 Staphylococcus phage YMC/09/04/R1988, complete genome
NC_022761.1	146193	213	none	1	0		NC_022761.1 Bacillus phage CampHawk, complete genome
NC_022762.1	33996	59	none	0	1		NC_022762.1 Lactobacillus phage phiLdb, complete genome
NC_022763.1	164297	276	none	1	0		NC_022763.1 Bacillus phage Spock, complete genome
NC_022764.1	39874	46	none	1	1		NC_022764.1 Bacillus phage Page, complete genome
NC_022765.1	49836	79	none	0	0		NC_022765.1 Bacillus phage Riggi, complete genome
NC_022766.1	49246	81	none	0	0		NC_022766.1 Bacillus phage Glittering, complete genome
NC_022767.1	81656	108	none	0	0		NC_022767.1 Bacillus phage Staley, complete genome
NC_022768.1	154701	200	none	0	0		NC_022768.1 Salmonella phage Maynard, complete genome
NC_022769.1	165238	292	none	1	0		NC_022769.1 Bacillus phage BigBertha, complete genome
NC_022770.1	39844	45	none	1	1		NC_022770.1 Bacillus phage Pony, complete genome
NC_022771.1	156648	256	none	1	0		NC_022771.1 Bacillus phage Grass, complete genome
NC_022772.1	156338	203	none	0	0		NC_022772.1 Salmonella phage Marshall, complete genome
NC_022773.1	50354	80	none	0	0		NC_022773.1 Bacillus phage Blastoid, complete genome
NC_022774.1	80382	109	none	0	0		NC_022774.1 Bacillus phage Slash, complete genome
NC_022775.1	36969	47	none	0	0		NC_022775.1 Lactobacillus phage phiJB, complete genome
NC_022776.1	41757	52	none	0	0		NC_022776.1 Streptococcus phage TP-778L complete genome
NC_022791.1	37375	50	none	0	0		NC_022791.1 Streptococcus phage phiBHN167 complete genome
NC_022914.1	43394	64	none	1	0		NC_022914.1 Staphylococcus phage phiRS7, complete genome
NC_022915.1	40471	57	none	0	0		NC_022915.1 Ralstonia phage RSK1 DNA, complete genome
NC_022916.1	41604	47	none	0	0		NC_022916.1 Burkholderia phage JG068, complete genome
NC_022917.1	44578	58	none	0	0		NC_022917.1 Ralstonia phage RSB3 DNA, complete genome
NC_022918.1	132123	184	none	2	0		NC_022918.1 Staphylococcus phage S25-4 DNA, complete genome
NC_022920.1	139738	206	none	2	0		NC_022920.1 Staphylococcus phage S25-3 DNA, complete genome
NC_022965.1	52873	90	none	0	0		NC_022965.1 Mycobacterium phage CloudWang3, complete genome
NC_022966.1	88135	159	none	0	0		NC_022966.1 Pseudomonas phage PAK_P5, complete genome
NC_022967.1	92495	171	none	0	0		NC_022967.1 Pseudomonas phage PAK_P2, complete genome
NC_022968.1	148567	257	none	0	0		NC_022968.1 Escherichia phage 4MG, complete genome
NC_022969.1	76217	139	none	0	0		NC_022969.1 Mycobacterium phage PhatBacter, complete genome
NC_022970.1	88097	158	none	0	0		NC_022970.1 Pseudomonas phage PAK_P3, complete genome
NC_022971.1	45344	70	none	0	0		NC_022971.1 Pseudomonas phage phiIBB-PAA2, complete genome
NC_022972.2	37372	64	none	1	0		NC_022972.2 Arthrobacter phage vB_ArS-ArV2, complete genome
NC_022973.1	50755	78	none	0	0		NC_022973.1 Mycobacterium phage Conspiracy, complete genome
NC_022974.1	88255	162	none	0	0		NC_022974.1 Pseudomonas phage CHA_P1, complete genome
NC_022975.1	52390	86	none	0	0		NC_022975.1 Mycobacterium phage HanShotFirst, complete genome
NC_022976.1	75894	138	none	0	0		NC_022976.1 Mycobacterium phage Nala, complete genome
NC_022977.1	52344	89	none	0	0		NC_022977.1 Mycobacterium phage Artemis2UCLA, complete genome
NC_022979.1	52823	88	none	0	0		NC_022979.1 Mycobacterium phage Graduation, complete genome
NC_022980.1	45798	85	none	0	0		NC_022980.1 Brevibacillus phage Davies, complete genome
NC_022981.1	76323	138	none	0	0		NC_022981.1 Mycobacterium phage HufflyPuff, complete genome
NC_022982.1	43869	50	none	0	0		NC_022982.1 Xylella phage Paz, complete genome
NC_022983.1	68196	97	none	0	0		NC_022983.1 Mycobacterium phage Bernardo, complete genome
NC_022984.1	51319	78	none	0	0		NC_022984.1 Mycobacterium phage Jovo, complete genome
NC_022985.1	52122	88	none	0	0		NC_022985.1 Mycobacterium phage Zaka, complete genome
NC_022986.1	93147	170	none	0	0		NC_022986.1 Pseudomonas phage PAK_P4, complete genome
NC_022987.1	43940	50	none	0	0		NC_022987.1 Xylella phage Prado, complete genome
NC_022988.1	74210	132	none	0	0		NC_022988.1 Mycobacterium phage Bruin, complete genome
NC_022989.1	31080	49	none	0	0		NC_022989.1 Lactobacillus phage LL-Ku, complete genome
NC_022990.1	17276	20	none	0	0		NC_022990.1 Zamilon virophage complete genome
NC_023005.1	41386	51	none	0	0		NC_023005.1 Pseudomonas phage PPpW-4 DNA, complete sequence
NC_023006.1	43564	64	none	0	0		NC_023006.1 Pseudomonas phage PPpW-3 DNA, complete sequence
NC_023007.1	168876	265	none	1	1		NC_023007.1 Bacillus phage vB_BanS-Tsamsa, complete genome
NC_023009.1	127188	179	none	2	0		NC_023009.1 Staphylococcus phage Sb-1, complete genome
NC_023498.1	62466	99	none	0	0		NC_023498.1 Mycobacterium phage Validus, complete genome
NC_023499.1	42906	59	none	1	0		NC_023499.1 Staphylococcus phage StauST398-4, complete genome
NC_023500.1	43301	66	none	0	0		NC_023500.1 Staphylococcus phage StauST398-5, complete genome
NC_023501.1	159590	286	none	1	0		NC_023501.1 Bacillus phage BPS10C, complete genome
NC_023502.1	109558	184	none	0	0		NC_023502.1 Rhizobium phage vB_RleS_L338C, complete genome
NC_023503.1	48800	67	none	0	0		NC_023503.1 Streptococcus phage 20617 complete prophage genome
NC_023548.1	39651	50	none	0	0		NC_023548.1 Citrobacter phage CR8 complete genome
NC_023549.1	56789	77	none	0	0		NC_023549.1 Clavibacter phage CN1A, complete genome
NC_023550.1	17869	20	none	0	0		NC_023550.1 Staphylococcus phage GRCS, complete genome
NC_023551.1	40692	61	none	0	0		NC_023551.1 Enterococcus phage IME-EF4, complete genome
NC_023552.1	47162	74	none	0	0		NC_023552.1 Mycobacterium phage Donovan, complete genome
NC_023553.1	53159	93	none	0	0		NC_023553.1 Mycobacterium phage Echild, complete genome
NC_023554.1	70841	94	none	0	0		NC_023554.1 Mycobacterium phage JAMaL, complete genome
NC_023555.1	43017	58	none	0	0		NC_023555.1 Edwardsiella phage eiAU-183, complete genome
NC_023556.1	72329	87	none	0	1		NC_023556.1 Achromobacter phage JWAlpha, complete genome
NC_023557.1	271084	317	none	0	0		NC_023557.1 Erwinia phage Ea35-70, complete genome
NC_023558.1	38966	47	none	0	0		NC_023558.1 Cronobacter phage Dev2 complete genome
NC_023559.1	46145	54	none	0	0		NC_023559.1 Oenococcus phage phi9805, complete genome
NC_023560.1	43454	53	none	0	0		NC_023560.1 Oenococcus phage phiS13, complete genome
NC_023561.1	173276	293	none	0	1		NC_023561.1 Enterobacter phage PG7, complete genome
NC_023562.1	51236	80	none	0	0		NC_023562.1 Mycobacterium phage BellusTerra, complete genome
NC_023563.1	68262	94	none	1	0		NC_023563.1 Mycobacterium phage Suffolk, complete genome
NC_023564.1	52974	86	none	0	0		NC_023564.1 Mycobacterium phage EagleEye, complete genome
NC_023565.1	51250	81	none	0	0		NC_023565.1 Mycobacterium phage Nyxis, complete genome
NC_023566.1	56024	85	none	0	0		NC_023566.1 Rhizobium phage vB_RglS_P106B, complete genome
NC_023567.2	43766	56	none	0	0		NC_023567.2 Klebsiella phage F19, complete genome
NC_023568.1	246964	378	none	0	1		NC_023568.1 Vibrio phage VH7D, complete genome
NC_023569.1	77837	91	none	0	0		NC_023569.1 Vibrio phage SHOU24, complete genome
NC_023570.1	40739	45	none	0	0		NC_023570.1 Acinetobacter phage Petty, complete genome
NC_023571.1	46243	56	none	0	0		NC_023571.1 Oenococcus phage phiS11, complete genome
NC_023572.1	42240	68	none	0	0		NC_023572.1 Mycobacterium phage MichelleMyBell, complete genome
NC_023573.1	142094	208	none	2	0		NC_023573.1 Staphylococcus phage phiSA012 DNA, complete genome
NC_023574.1	128546	190	none	0	1		NC_023574.1 Lactococcus phage phiL47, complete genome
NC_023575.1	45550	68	none	1	0		NC_023575.1 Pseudomonas phage vB_PaeP_Tr60_Ab31
NC_023576.1	39207	48	none	0	0		NC_023576.1 Citrobacter phage CR44b complete genome
NC_023577.1	51797	81	none	0	0		NC_023577.1 Mycobacterium phage Obama12, complete genome
NC_023578.1	69099	86	none	0	0		NC_023578.1 Mycobacterium phage Oaker, complete genome
NC_023579.1	75568	92	none	0	1		NC_023579.1 Erwinia phage Ea9-2, complete genome
NC_023580.1	57775	100	none	0	0		NC_023580.1 Mycobacterium phage Saal, complete genome
NC_023581.1	77792	92	none	0	1		NC_023581.1 Acinetobacter phage Presley, complete genome
NC_023582.1	92417	128	none	1	0		NC_023582.1 Staphylococcus phage vB_SepS_SEP9, complete genome
NC_023583.1	45696	69	none	0	0		NC_023583.1 Pseudomonas phage TL complete genome
NC_023584.1	170438	198	none	0	0		NC_023584.1 Synechococcus phage S-MbCM100, complete genome
NC_023586.1	8460	18	none	0	0		NC_023586.1 Ralstonia phage 1 NP-2014, complete sequence
NC_023587.1	189311	210	none	1	0		NC_023587.1 Synechococcus phage S-MbCM7, complete genome
NC_023588.1	33525	43	none	0	0		NC_023588.1 Stenotrophomonas phage Smp131, complete genome
NC_023589.1	71629	100	none	0	0		NC_023589.1 Shigella phage pSb-1, complete genome
NC_023590.1	43050	54	none	0	0		NC_023590.1 Acinetobacter phage IME_AB3, complete genome
NC_023593.1	76184	123	none	0	0		NC_023593.1 Escherichia phage KBNP1711, complete genome
NC_023594.2	54791	67	none	0	0		NC_023594.2 Shewanella phage Spp001, complete genome
NC_023595.2	41687	68	none	1	0		NC_023595.2 Enterococcus phage IME_EF3, complete genome
NC_023597.1	53124	91	none	0	0		NC_023597.1 Mycobacterium phage 20ES, complete genome
NC_023599.1	38772	52	none	0	0		NC_023599.1 Bacillus phage phiCM3, complete genome
NC_023600.1	71058	95	none	0	0		NC_023600.1 Mycobacterium phage Jolie1, complete genome
NC_023601.2	98287	175	none	0	0		NC_023601.2 Pseudomonas phage phiPsa374, complete genome
NC_023602.1	50781	81	none	0	0		NC_023602.1 Mycobacterium phage 32HC, complete genome
NC_023603.1	71565	100	none	0	0		NC_023603.1 Mycobacterium phage 39HC, complete genome
NC_023604.1	44306	61	none	1	0		NC_023604.1 Mycobacterium phage Jolie2, complete genome
NC_023605.1	41529	63	none	0	0		NC_023605.1 Vibrio phage PVA1, complete genome
NC_023606.1	52963	88	none	0	0		NC_023606.1 Mycobacterium phage CRB1, complete genome
NC_023607.1	53396	84	none	0	0		NC_023607.1 Mycobacterium phage 40AC, complete genome
NC_023608.1	42093	55	none	0	0		NC_023608.1 Salmonella phage vB_SenS-Ent2 complete genome
NC_023609.1	46739	67	none	0	0		NC_023609.1 Mycobacterium phage RhynO, complete genome
NC_023610.1	218339	245	none	0	0		NC_023610.1 Erwinia phage PhiEaH1, complete genome
NC_023612.1	39078	57	none	0	0		NC_023612.1 Geobacillus phage GBK2, complete genome
NC_023614.1	43153	48	none	0	0		NC_023614.1 Croceibacter phage P2559Y, complete genome
NC_023686.1	67949	94	none	0	0		NC_023686.1 Mycobacterium phage Gadjet, complete genome
NC_023687.1	53003	93	none	0	0		NC_023687.1 Mycobacterium phage Bruns, complete genome
NC_023688.1	222006	329	none	0	1		NC_023688.1 Aeromonas phage PX29, complete genome
NC_023689.1	76260	138	none	0	0		NC_023689.1 Mycobacterium phage Lilac, complete genome
NC_023690.1	110569	228	none	0	0		NC_023690.1 Mycobacterium phage Courthouse, complete genome
NC_023691.1	70506	102	none	0	0		NC_023691.1 Mycobacterium phage Patience, complete genome
NC_023692.1	48984	78	none	0	0		NC_023692.1 Mycobacterium phage BigNuz, complete genome
NC_023693.1	148612	238	none	0	0		NC_023693.1 Enterobacteria phage phi92, complete genome
NC_023694.1	78064	108	none	0	0		NC_023694.1 Rhodococcus phage ReqiPoco6, complete genome
NC_023695.1	52481	83	none	0	0		NC_023695.1 Mycobacterium phage Violet, complete genome
NC_023696.1	157568	228	none	2	0		NC_023696.1 Mycobacterium phage Dandelion, complete genome
NC_023697.1	48420	76	none	0	0		NC_023697.1 Mycobacterium phage Babsiella, complete genome
NC_023698.1	54470	103	none	0	0		NC_023698.1 Mycobacterium phage Avani, complete genome
NC_023699.1	59016	101	none	0	0		NC_023699.1 Mycobacterium phage SG4, complete genome
NC_023700.1	34553	52	none	0	0		NC_023700.1 Pseudomonas phage PA1/KOR/2010, complete genome
NC_023702.1	52379	75	none	0	0		NC_023702.1 Mycobacterium phage Kugel, complete genome
NC_023703.1	64613	92	none	0	0		NC_023703.1 Mycobacterium phage Dori, complete genome
NC_023704.1	51421	81	none	0	0		NC_023704.1 Mycobacterium phage Doom, complete genome
NC_023705.1	41650	59	none	1	0		NC_023705.1 Mycobacterium phage Liefie, complete genome
NC_023706.1	75772	98	none	0	0		NC_023706.1 Rhodococcus phage ReqiDocB7, complete genome
NC_023707.1	53169	88	none	0	0		NC_023707.1 Mycobacterium phage Turbido, complete genome
NC_023708.1	51083	90	none	0	0		NC_023708.1 Mycobacterium phage Dreamboat, complete genome
NC_023709.1	51308	80	none	0	0		NC_023709.1 Mycobacterium phage Wile, complete genome
NC_023710.1	50844	81	none	0	0		NC_023710.1 Mycobacterium phage RidgeCB, complete genome
NC_023711.1	68720	100	none	1	0		NC_023711.1 Mycobacterium phage Oline, complete genome
NC_023712.1	71341	121	none	0	0		NC_023712.1 Mycobacterium phage Firecracker, complete genome
NC_023713.1	52288	89	none	0	0		NC_023713.1 Mycobacterium phage Blue7, complete genome
NC_023714.1	153882	219	none	2	0		NC_023714.1 Mycobacterium phage LinStu, complete genome
NC_023715.1	38616	42	none	1	0		NC_023715.1 Yersinia phage Yep-phi, complete genome
NC_023716.1	53177	88	none	0	0		NC_023716.1 Mycobacterium phage Alma, complete genome
NC_023717.1	151924	305	none	0	1		NC_023717.1 Cronobacter phage CR9, complete genome
NC_023719.1	497513	674	none	1	1		NC_023719.1 Bacillus phage G, complete genome
NC_023720.1	53142	85	none	0	0		NC_023720.1 Mycobacterium phage Perseus, complete genome
NC_023721.1	54411	96	none	0	0		NC_023721.1 Mycobacterium phage Drago, complete genome
NC_023722.1	59231	86	none	1	0		NC_023722.1 Rhodococcus phage ReqiPine5, complete genome
NC_023723.1	53684	85	none	0	0		NC_023723.1 Mycobacterium phage Aeneas, complete genome
NC_023724.1	62991	90	none	0	0		NC_023724.1 Mycobacterium phage Larva, complete genome
NC_023725.1	156646	227	none	1	0		NC_023725.1 Mycobacterium phage Nappy, complete genome
NC_023726.1	53597	89	none	0	0		NC_023726.1 Mycobacterium phage Euphoria, complete genome
NC_023727.1	68494	97	none	1	0		NC_023727.1 Mycobacterium phage Vista, complete genome
NC_023728.1	56461	102	none	0	0		NC_023728.1 Mycobacterium phage DeadP, complete genome
NC_023729.1	43036	66	none	0	0		NC_023729.1 Mycobacterium phage Charlie, complete genome
NC_023730.1	42594	63	none	0	0		NC_023730.1 Mycobacterium phage Redi, complete genome
NC_023731.1	53526	88	none	0	0		NC_023731.1 Mycobacterium phage Trixie, complete genome
NC_023732.1	69279	106	none	1	0		NC_023732.1 Mycobacterium phage Rumpelstiltskin, complete genome
NC_023733.1	154573	226	none	2	0		NC_023733.1 Mycobacterium phage MoMoMixon, complete genome
NC_023734.1	35725	50	none	0	0		NC_023734.1 Psychrobacter phage Psymv2, complete genome
NC_023735.1	76797	108	none	1	0		NC_023735.1 Rhodococcus phage ReqiPepy6, complete genome
NC_023736.1	40411	54	none	0	0		NC_023736.1 Ralstonia phage RSB2 DNA, complete genome
NC_023737.1	155586	223	none	1	0		NC_023737.1 Mycobacterium phage Pleione, complete genome
NC_023738.1	106327	194	none	0	0		NC_023738.1 Mycobacterium phage Thibault, complete genome
NC_023739.1	51821	77	none	0	0		NC_023739.1 Mycobacterium phage BillKnuckles, complete genome
NC_023740.1	68311	97	none	1	0		NC_023740.1 Mycobacterium phage JacAttac, complete genome
NC_023741.1	69641	94	none	0	0		NC_023741.1 Mycobacterium phage Stinger, complete genome
NC_023742.1	68711	97	none	0	0		NC_023742.1 Mycobacterium phage Akoma, complete genome
NC_023743.1	47180	74	none	0	0		NC_023743.1 Escherichia phage phiEB49, complete genome
NC_023744.1	60588	92	none	0	0		NC_023744.1 Mycobacterium phage DS6A, complete genome
NC_023746.1	57387	100	none	0	0		NC_023746.1 Mycobacterium phage GUmbie, complete genome
NC_023747.1	59672	92	none	1	0		NC_023747.1 Mycobacterium phage BarrelRoll, complete genome
NC_023748.1	53137	96	none	0	0		NC_023748.1 Mycobacterium phage SkiPole, complete genome
NC_023856.1	152460	198	none	0	0		NC_023856.1 Salmonella phage vB_SalM_SJ2, complete genome
NC_023859.1	59254	118	none	1	0		NC_023859.1 Microbacterium phage vB_MoxS-ISF9, complete genome
NC_023862.1	52136	84	none	0	0		NC_023862.1 Mycobacterium phage Alsfro, complete genome
NC_023863.2	66316	94	none	0	0		NC_023863.2 Vibrio phage CHOED, complete genome
NC_023865.1	55098	76	none	0	0		NC_023865.1 Pectobacterium phage PM1, complete genome
NC_024121.1	167266	271	none	0	1		NC_024121.1 Serratia phage PS2, complete genome
NC_024122.1	162910	209	none	0	0		NC_024122.1 Salmonella phage vB_SalM_SJ3, complete genome
NC_024123.1	64113	88	none	1	0		NC_024123.1 Pseudomonas phage KPP25 DNA, complete sequence
NC_024124.2	169148	272	none	0	1		NC_024124.2 Escherichia phage vB_EcoM_JS09, complete genome
NC_024125.2	168470	275	none	0	1		NC_024125.2 Escherichia phage e11/2, complete genome
NC_024134.1	139020	217	none	0	0		NC_024134.1 Escherichia phage vB_EcoM_FFH2, complete genome
NC_024135.1	42392	61	none	0	0		NC_024135.1 Mycobacterium phage Bernal13, complete genome
NC_024136.1	51781	88	none	0	0		NC_024136.1 Mycobacterium phage Seabiscuit, complete genome
NC_024137.1	152778	216	none	1	0		NC_024137.1 Bacillus phage Bcp1, complete genome
NC_024138.1	65243	103	none	0	0		NC_024138.1 Mycobacterium phage MosMoris, complete genome
NC_024139.1	108483	158	none	0	0		NC_024139.1 Escherichia phage vB_EcoS_FFH1, complete genome
NC_024140.1	72028	90	none	0	0		NC_024140.1 Pseudomonas phage vB_PaeP_C2-10_Ab09, complete genome
NC_024141.1	51378	81	none	0	0		NC_024141.1 Mycobacterium phage Kampy, complete genome
NC_024142.2	72583	92	none	0	1		NC_024142.2 Enterobacteria phage Bp4, complete genome
NC_024143.1	53255	87	none	0	0		NC_024143.1 Mycobacterium phage Lamina13, complete genome
NC_024144.1	54279	88	none	1	0		NC_024144.1 Clostridium phage CDMH1 complete genome
NC_024145.1	70667	94	none	0	0		NC_024145.1 Mycobacterium phage Hosp, complete genome
NC_024146.1	56702	73	none	0	0		NC_024146.1 Enterobacteria phage 9g, complete genome
NC_024147.1	57315	89	none	0	0		NC_024147.1 Mycobacterium phage ZoeJ, complete genome
NC_024148.1	50101	82	none	0	0		NC_024148.1 Mycobacterium phage Phantastic, complete genome
NC_024149.1	18899	24	none	0	0		NC_024149.1 Lactoccocus phage WP-2, complete genome
NC_024203.1	53513	76	none	0	0		NC_024203.1 Lactococcus phage P092, complete genome
NC_024204.1	42764	59	none	0	0		NC_024204.1 Salmonella phage vB_SenS-Ent3 complete genome
NC_024205.1	159837	289	none	1	0		NC_024205.1 Bacillus phage Hoody T, complete genome
NC_024206.1	38269	59	none	0	0		NC_024206.1 Lactobacillus phage phi jlb1, complete genome
NC_024207.1	159656	285	none	1	0		NC_024207.1 Bacillus phage Evoli, complete genome
NC_024208.1	54173	80	none	0	0		NC_024208.1 Lactococcus phage P118, complete genome
NC_024209.1	67383	92	none	0	0		NC_024209.1 Mycobacterium phage Hawkeye, complete genome
NC_024210.1	47112	74	none	0	0		NC_024210.1 Escherichia phage e4/1c, complete genome
NC_024211.1	158750	285	none	1	0		NC_024211.1 Bacillus phage Megatron, complete genome
NC_024212.1	55726	86	none	0	0		NC_024212.1 Enterococcus phage VD13, complete genome
NC_024213.1	158100	284	none	1	0		NC_024213.1 Bacillus phage Hakuna, complete genome
NC_024214.1	55584	82	none	0	0		NC_024214.1 Lactococcus phage P162, complete genome
NC_024215.1	54452	77	none	0	0		NC_024215.1 Lactococcus phage P078, complete genome
NC_024216.1	160541	290	none	1	0		NC_024216.1 Bacillus phage CAM003, complete genome
NC_024217.1	82438	142	none	1	0		NC_024217.1 Nitrincola phage 1M3-16, complete genome
NC_024329.1	39425	49	none	0	0		NC_024329.1 Podophage Lau218, complete genome
NC_024330.1	37380	56	none	0	0		NC_024330.1 Pseudomonas phage JD024, complete genome
NC_024354.1	149162	279	none	0	0		NC_024354.1 Cronobacter phage CR8, complete genome
NC_024355.1	93794	139	none	1	0		NC_024355.1 Staphylococcus phage 6ec, complete genome
NC_024356.1	42597	71	none	0	0		NC_024356.1 Enterococcus phage IME-EFm1, complete genome
NC_024357.1	39360	61	none	0	0		NC_024357.1 Streptococcus phage K13, complete sequence
NC_024358.1	41750	40	none	1	0		NC_024358.1 Anabaena phage A-4L, complete genome
NC_024359.1	133048	179	none	1	0		NC_024359.1 Listeria phage LP-048, complete genome
NC_024360.1	138036	191	none	1	0		NC_024360.1 Listeria phage LMSP-25, complete genome
NC_024361.1	38392	64	none	0	0		NC_024361.1 Streptococcus phage DCC1738, complete sequence
NC_024362.1	40472	48	none	0	0		NC_024362.1 Pseudomonas phage phiPSA2, complete genome
NC_024363.1	68807	98	none	1	0		NC_024363.1 Mycobacterium phage Manad, complete genome
NC_024364.1	131952	180	none	1	0		NC_024364.1 Listeria phage List-36, complete genome
NC_024365.1	51090	76	none	0	0		NC_024365.1 Pseudomonas phage phiPSA1, complete genome
NC_024366.1	62661	90	none	0	0		NC_024366.1 Mycobacterium phage OkiRoe, complete genome
NC_024367.1	75028	83	none	0	1		NC_024367.1 Dinoroseobacter phage DFL12phi1, complete genome
NC_024368.1	50610	76	none	0	0		NC_024368.1 Mycobacterium phage Pinto, complete genome
NC_024369.2	41569	64	none	0	0		NC_024369.2 Vibrio phage X29, complete genome
NC_024370.1	39965	65	none	0	0		NC_024370.1 Streptococcus phage IC1, complete sequence
NC_024371.1	68386	84	none	0	0		NC_024371.1 Mycobacterium phage Damien, complete genome
NC_024375.1	67150	113	none	0	0		NC_024375.1 Listeria phage LP-026, complete genome
NC_024378.1	28015	42	none	0	0		NC_024378.1 Leuconostoc phage phiLNTR3, complete genome
NC_024379.1	39093	47	none	0	0		NC_024379.1 Escherichia phage PE3-1, complete genome
NC_024380.1	25740	39	none	0	0		NC_024380.1 Leuconostoc phage phiLN6B, complete genome
NC_024381.1	43056	55	none	0	0		NC_024381.1 Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome
NC_024383.1	135831	188	none	1	0		NC_024383.1 Listeria phage LP-083-2, complete genome
NC_024384.1	41156	72	none	0	0		NC_024384.1 Listeria phage LP-030-3, complete genome
NC_024385.1	28193	41	none	0	0		NC_024385.1 Leuconostoc phage phiLN12, complete genome
NC_024386.1	28427	41	none	0	0		NC_024386.1 Leuconostoc phage phiLN25, complete genome
NC_024387.1	43767	67	none	0	0		NC_024387.1 Listeria phage LP-101, complete genome
NC_024388.1	28022	43	none	0	0		NC_024388.1 Leuconostoc phage phiLN34, complete genome
NC_024389.1	28336	44	none	0	0		NC_024389.1 Leuconostoc phage phiLNTR2, complete genome
NC_024390.1	26752	39	none	0	0		NC_024390.1 Leuconostoc phage phiLN03, complete genome
NC_024391.1	41941	62	none	0	0		NC_024391.1 Staphylococcus phage DW2, complete genome
NC_024392.1	66676	116	none	1	0		NC_024392.1 Listeria phage LP-114, complete genome
NC_024697.1	370920	401	none	0	0		NC_024697.1 Aureococcus anophagefferens virus isolate BtV-01, complete genome
NC_024782.1	36838	53	none	0	0		NC_024782.1 Pseudomonas phage MP48, complete genome
NC_024783.1	44332	60	none	0	0		NC_024783.1 Enterobacteria phage EK99P-1, complete genome
NC_024784.1	46440	75	none	0	0		NC_024784.1 Escherichia phage bV_EcoS_AHS24, complete genome
NC_024785.1	44844	84	none	0	0		NC_024785.1 Acinetobacter phage YMC-13-01-C62, complete genome
NC_024786.1	71248	83	none	0	1		NC_024786.1 Escherichia phage vB_EcoP_PhAPEC5, complete genome
NC_024787.1	132541	184	none	1	0		NC_024787.1 Listeria phage LMTA-148, complete genome
