accession	n_cds	core_completeness	n_core	VirB1	VirB1_score	VirB2	VirB2_score	VirB3	VirB3_score	VirB4	VirB4_score	VirB4b	VirB4b_score	VirB5	VirB5_score	VirB6	VirB6_score	VirB7	VirB7_score	VirB8	VirB8_score	VirB9	VirB9_score	VirB10	VirB10_score	VirB11	VirB11_score	VirD4	VirD4_score	TraN	TraN_score
KU351673.1	57	7/7	7	none		ga:28:26056..26379:-	66.6	ga:27:25718..26038:-	82.6	ga:26:23274..25721:-	158.4	ga:26:23274..25721:-	86.2	ga:25:22633..23277:-	105.7	ga:23:21307..22317:-	161.6	none		ga:21:20237..20986:-	157.6	ga:20:19401..20234:-	208.0	ga:19:18187..19401:-	188.0	ga:18:17181..18209:-	90.4	ga:17:15290..17215:-	408.7	none	
KX863569.1	63	7/7	7	ga:39:29511..30293:-	33.2	ga:37:28968..29264:-	36.0	ga:36:28611..28928:-	71.4	ga:35:26037..28610:-	117.0	ga:35:26037..28610:-	76.5	ga:34:25311..26021:-	107.4	ga:32:24005..25042:-	120.4	ga:31:23797..23928:-	40.1	ga:30:23091..23786:-	127.9	ga:29:22193..23080:-	142.9	ga:28:21060..22193:-	171.5	ga:27:20008..21009:-	90.0	ga:21:12784..14316:+	53.5	none	
LC483179.2	66	7/7	7	ga:53:44833..45477:-	46.4	ga:52:44559..44849:-	73.1	ga:51:41832..44534:-	47.1	ga:51:41832..44534:-	142.5	ga:51:41832..44534:-	73.3	ga:50:41002..41772:-	60.1	ga:48:39668..40723:-	132.8	none		ga:47:38745..39473:-	119.4	ga:46:37810..38739:-	138.8	ga:45:36599..37813:-	128.3	ga:43:35369..36403:-	65.7	ga:42:33531..35366:-	495.9	none	
LC521833.1	65	7/7	7	ga:14:9197..9841:+	46.4	ga:15:9825..10115:+	73.1	ga:16:10140..12893:+	47.0	ga:16:10140..12893:+	142.4	ga:16:10140..12893:+	73.3	ga:17:12903..13673:+	60.1	ga:19:13952..15007:+	132.8	none		ga:20:15202..15930:+	119.4	ga:21:15936..16865:+	138.8	ga:22:16862..18076:+	128.3	ga:24:18272..19306:+	65.7	ga:25:19309..21144:+	495.9	none	
LC521837.1	57	7/7	7	ga:49:37269..38051:-	33.2	ga:47:36726..37022:-	36.0	ga:46:36369..36686:-	71.9	ga:45:33795..36368:-	118.0	ga:45:33795..36368:-	74.2	ga:44:33078..33779:-	98.9	ga:42:31772..32809:-	121.9	none		ga:41:30858..31553:-	127.6	ga:40:29960..30847:-	142.7	ga:39:28821..29960:-	172.5	ga:38:27769..28770:-	90.1	ga:19:12868..13671:+	46.4	none	
LC521848.1	82	7/7	7	ga:15:8497..9039:+	47.2	ga:16:9124..9414:+	73.1	ga:77:55589..58342:+	47.0	ga:17:9560..10996:+	144.1	ga:17:9560..10996:+	74.7	ga:20:12193..12963:+	60.1	ga:22:13242..14297:+	133.2	none		ga:23:14492..15220:+	119.4	ga:24:15226..16155:+	138.8	ga:25:16152..17366:+	128.3	ga:27:17562..18596:+	65.7	ga:28:18599..20434:+	495.9	none	
LC613145.1	54	7/7	7	ga:46:40947..41729:-	33.2	ga:44:40404..40700:-	36.0	ga:43:40047..40364:-	71.9	ga:42:37473..40046:-	118.0	ga:42:37473..40046:-	74.2	ga:41:36756..37457:-	98.9	ga:39:35450..36487:-	121.9	ga:38:35242..35373:-	39.6	ga:37:34536..35231:-	127.6	ga:36:33638..34525:-	142.7	ga:35:32499..33638:-	172.5	ga:34:31447..32448:-	90.1	ga:15:15927..17459:-	46.3	none	
LC623882.1	52	7/7	7	ga:34:33276..34037:-	34.2	ga:32:30478..30786:-	73.1	ga:31:30145..30468:-	79.8	ga:30:27658..30138:-	199.3	ga:30:27658..30138:-	108.6	ga:29:26930..27652:-	234.1	ga:27:25436..26518:-	170.0	none		ga:25:24419..25129:-	205.4	ga:24:23550..24422:-	184.0	ga:23:22390..23550:-	190.7	ga:22:21339..22406:-	91.5	ga:20:18287..20791:-	350.1	none	
LC623883.1	52	7/7	7	ga:34:33275..34036:-	34.2	ga:32:30477..30785:-	73.1	ga:31:30144..30467:-	79.8	ga:30:27657..30137:-	199.3	ga:30:27657..30137:-	108.6	ga:29:26929..27651:-	234.1	ga:27:25435..26517:-	170.0	none		ga:25:24418..25128:-	205.4	ga:24:23549..24421:-	184.0	ga:23:22389..23549:-	190.7	ga:22:21338..22405:-	91.5	ga:20:18286..20790:-	350.1	none	
LC623884.1	69	7/7	7	ga:54:51691..52326:-	23.5	ga:65:62179..62643:-	63.5	ga:64:61864..62175:-	49.8	ga:63:59309..61867:-	91.0	ga:63:59309..61867:-	112.1	none		ga:56:52945..54663:-	143.0	none		ga:62:58530..59312:-	145.8	ga:61:57613..58512:-	186.5	ga:59:55696..57117:-	223.3	ga:66:62660..63622:-	127.6	ga:30:21457..23370:+	525.1	none	
LC623885.1	52	7/7	7	ga:39:33554..34318:-	43.8	ga:37:30713..31018:-	77.7	ga:36:30374..30697:-	84.6	ga:35:27830..30364:-	207.9	ga:35:27830..30364:-	102.8	ga:34:27106..27825:-	231.5	ga:31:25328..26413:-	165.9	none		ga:30:24284..25015:-	198.5	ga:29:23409..24287:-	202.0	ga:28:22276..23412:-	198.2	ga:27:21228..22298:-	101.2	ga:26:18412..21006:-	330.4	none	
LC623886.1	52	7/7	7	ga:34:33275..34036:-	34.2	ga:32:30477..30785:-	73.1	ga:31:30144..30467:-	79.8	ga:30:27657..30137:-	199.3	ga:30:27657..30137:-	108.6	ga:29:26929..27651:-	234.1	ga:27:25435..26517:-	170.0	none		ga:25:24418..25128:-	205.4	ga:24:23549..24421:-	184.0	ga:23:22389..23549:-	190.7	ga:22:21338..22405:-	91.8	ga:20:18286..20790:-	350.1	none	
LC623887.1	52	7/7	7	ga:34:33275..34036:-	34.2	ga:32:30477..30785:-	73.1	ga:31:30144..30467:-	79.8	ga:30:27657..30137:-	199.3	ga:30:27657..30137:-	108.6	ga:29:26929..27651:-	234.1	ga:27:25435..26517:-	170.0	none		ga:25:24418..25128:-	205.4	ga:24:23549..24421:-	184.0	ga:23:22389..23549:-	190.7	ga:22:21338..22405:-	91.8	ga:20:18286..20790:-	350.1	none	
LC623888.1	49	7/7	7	ga:31:32238..32999:-	34.2	ga:29:29440..29748:-	73.1	ga:28:29107..29430:-	79.8	ga:27:26620..29100:-	199.3	ga:27:26620..29100:-	108.6	ga:26:25892..26614:-	234.1	ga:24:24398..25480:-	170.0	none		ga:22:23381..24091:-	205.4	ga:21:22512..23384:-	184.0	ga:20:21352..22512:-	190.7	ga:19:20301..21368:-	91.5	ga:17:17249..19753:-	350.1	none	
LC623889.1	51	7/7	7	none		ga:47:40351..40776:-	64.4	ga:46:40037..40348:-	51.1	ga:45:37500..40040:-	103.7	ga:45:37500..40040:-	119.0	none		ga:38:30985..32817:-	148.4	none		ga:44:36718..37500:-	149.1	ga:43:35795..36700:-	180.4	ga:41:33846..35273:-	227.1	ga:48:40802..41761:-	128.5	ga:20:16187..18094:+	508.9	none	
LC623890.1	63	7/7	7	ga:47:39028..39657:-	24.1	ga:59:49825..50289:-	65.0	ga:58:49510..49821:-	47.0	ga:57:46955..49513:-	98.2	ga:57:46955..49513:-	122.1	none		ga:49:40297..42213:-	155.4	none		ga:56:46185..46958:-	145.4	ga:55:45274..46167:-	185.7	ga:53:43409..44812:-	222.0	ga:60:50303..51265:-	134.7	ga:20:14779..16683:+	521.1	none	
LC623891.1	53	7/7	7	ga:40:35305..36069:-	44.5	ga:38:32465..32770:-	77.7	ga:37:32126..32449:-	84.6	ga:36:29582..32116:-	207.9	ga:36:29582..32116:-	102.7	ga:35:28858..29577:-	231.6	ga:33:27339..28424:-	165.9	none		ga:32:26295..27026:-	198.9	ga:31:25420..26298:-	202.0	ga:30:24287..25423:-	198.2	ga:29:23239..24309:-	101.4	ga:28:20423..23017:-	330.6	none	
LC623892.1	60	6/7	6	none		ga:57:51112..51507:-	58.0	ga:56:50798..51055:-	31.3	ga:55:48243..50801:-	105.9	ga:55:48243..50801:-	117.9	none		none		none		ga:54:47455..48246:-	133.3	ga:53:46506..47444:-	185.6	ga:51:44581..46053:-	223.5	ga:58:51522..52484:-	120.9	ga:28:25828..27738:+	504.2	none	
LC623893.1	55	7/7	7	ga:42:34969..35733:-	43.8	ga:40:32128..32433:-	77.7	ga:39:31789..32112:-	84.6	ga:38:29245..31779:-	207.9	ga:38:29245..31779:-	102.8	ga:37:28521..29240:-	231.5	ga:34:26743..27828:-	165.9	none		ga:33:25699..26430:-	198.5	ga:32:24824..25702:-	202.0	ga:31:23691..24827:-	198.2	ga:30:22643..23713:-	101.2	ga:29:19827..22421:-	330.4	none	
LC623894.1	84	7/7	7	none		ga:80:66842..67225:-	68.7	ga:79:66513..66839:-	50.6	ga:78:63973..66516:-	96.2	ga:78:63973..66516:-	106.9	none		ga:72:57983..59587:-	120.3	none		ga:77:63269..63976:-	92.3	ga:76:62363..63253:-	153.7	ga:74:60510..61904:-	220.3	ga:81:67339..68295:-	135.2	ga:33:24265..26211:+	442.7	none	
LC623895.1	92	7/7	7	none		ga:88:71544..71927:-	68.7	ga:87:71215..71541:-	50.6	ga:86:68675..71218:-	96.2	ga:86:68675..71218:-	106.9	none		ga:80:62685..64289:-	120.3	none		ga:85:67971..68678:-	92.3	ga:84:67065..67955:-	152.4	ga:82:65212..66606:-	220.3	ga:89:72041..72997:-	135.2	ga:33:21587..23533:+	442.7	none	
LC623896.1	62	7/7	7	ga:47:43259..43894:-	23.5	ga:58:53747..54211:-	63.5	ga:57:53432..53743:-	49.8	ga:56:50877..53435:-	91.0	ga:56:50877..53435:-	112.1	none		ga:49:44513..46231:-	143.0	none		ga:55:50098..50880:-	145.8	ga:54:49181..50080:-	186.5	ga:52:47264..48685:-	223.3	ga:59:54228..55190:-	127.6	ga:36:29130..31043:+	525.1	none	
LC623897.1	48	7/7	7	ga:33:25524..26159:-	23.5	ga:44:36012..36476:-	63.5	ga:43:35697..36008:-	49.8	ga:42:33142..35700:-	91.0	ga:42:33142..35700:-	112.1	none		ga:35:26778..28496:-	143.0	none		ga:41:32363..33145:-	145.8	ga:40:31446..32345:-	186.5	ga:38:29529..30950:-	223.3	ga:45:36493..37455:-	127.6	ga:21:16348..18261:+	525.1	none	
LC623898.1	55	7/7	7	ga:40:39074..39709:-	23.5	ga:51:49562..50026:-	63.5	ga:50:49247..49558:-	49.8	ga:49:46692..49250:-	91.0	ga:49:46692..49250:-	112.1	none		ga:42:40328..42046:-	143.0	none		ga:48:45913..46695:-	145.8	ga:47:44996..45895:-	186.5	ga:45:43079..44500:-	223.3	ga:52:50043..51005:-	127.6	ga:21:16348..18261:+	525.1	none	
LC623899.1	54	7/7	7	ga:41:34722..35486:-	43.8	ga:39:31881..32186:-	77.7	ga:38:31542..31865:-	84.6	ga:37:28998..31532:-	207.9	ga:37:28998..31532:-	102.7	ga:36:28274..28993:-	231.8	ga:34:26755..27840:-	165.9	none		ga:33:25711..26442:-	198.9	ga:32:24836..25714:-	202.0	ga:31:23703..24839:-	198.2	ga:30:22655..23725:-	101.2	ga:29:19839..22433:-	330.4	none	
LC623900.1	74	7/7	7	none		ga:70:61782..62219:-	64.3	ga:69:61468..61779:-	48.5	ga:68:58913..61471:-	97.7	ga:68:58913..61471:-	115.5	none		ga:61:52764..54350:-	137.1	none		ga:67:58158..58916:-	143.6	ga:66:57253..58146:-	181.5	ga:64:55371..56762:-	219.9	ga:71:62232..63191:-	126.1	ga:40:35658..37565:+	560.8	none	
LC623901.1	84	7/7	7	none		ga:80:66361..66798:-	64.3	ga:79:66047..66358:-	48.5	ga:78:63492..66050:-	97.7	ga:78:63492..66050:-	115.5	none		ga:71:57343..58929:-	137.1	none		ga:77:62737..63495:-	143.6	ga:76:61832..62725:-	181.5	ga:74:59950..61341:-	219.9	ga:81:66811..67770:-	126.1	ga:50:40237..42144:+	560.8	none	
LC623902.1	56	7/7	7	ga:42:35190..35795:-	25.1	ga:53:45629..46057:-	64.5	ga:52:45315..45626:-	48.8	ga:51:42781..45318:-	103.2	ga:51:42781..45318:-	109.8	none		ga:44:36422..38167:-	138.5	none		ga:50:42008..42784:-	151.2	ga:49:41090..41995:-	179.5	ga:47:39220..40614:-	220.4	ga:54:46069..47031:-	138.6	ga:21:15852..17765:+	517.2	none	
LC623903.1	53	7/7	7	ga:38:38483..39124:-	23.4	ga:49:48992..49456:-	63.6	ga:48:48677..48988:-	49.8	ga:47:46122..48680:-	91.0	ga:47:46122..48680:-	112.1	none		ga:40:39740..41476:-	141.9	none		ga:46:45343..46125:-	144.6	ga:45:44426..45325:-	185.3	ga:43:42506..43927:-	223.1	ga:50:49473..50435:-	127.4	ga:21:16202..18115:+	525.5	none	
LC623904.1	53	7/7	7	ga:40:34919..35683:-	44.6	ga:38:32079..32384:-	77.7	ga:37:31740..32063:-	84.6	ga:36:29196..31730:-	207.9	ga:36:29196..31730:-	102.7	ga:35:28472..29191:-	231.8	ga:33:26953..28038:-	165.9	none		ga:32:25909..26640:-	198.9	ga:31:25034..25912:-	202.0	ga:30:23901..25037:-	198.2	ga:29:22853..23923:-	101.2	ga:28:20037..22631:-	330.4	none	
LC623905.1	52	7/7	7	ga:35:33723..34484:-	34.2	ga:33:30925..31233:-	73.1	ga:32:30592..30915:-	79.8	ga:31:28105..30585:-	199.3	ga:31:28105..30585:-	106.8	ga:30:27376..28098:-	231.5	ga:27:25598..26680:-	170.0	none		ga:25:24581..25291:-	204.9	ga:24:23712..24584:-	184.0	ga:23:22552..23712:-	191.6	ga:22:21501..22568:-	91.8	ga:20:18449..20953:-	350.1	none	
LC623906.1	50	7/7	7	ga:32:33070..33834:-	36.4	ga:30:30271..30582:-	71.7	ga:29:29932..30255:-	84.0	ga:28:27445..29925:-	198.6	ga:28:27445..29925:-	100.1	ga:27:26723..27439:-	218.2	ga:25:25247..26326:-	161.3	none		ga:23:23972..24682:-	203.7	ga:22:23103..23975:-	177.9	ga:21:21949..23103:-	193.8	ga:20:20898..21965:-	92.4	ga:19:17933..20404:-	350.0	none	
LC623907.1	51	7/7	7	ga:33:32942..33703:-	34.2	ga:31:30144..30452:-	73.1	ga:30:29811..30134:-	79.8	ga:29:27324..29804:-	199.3	ga:29:27324..29804:-	108.6	ga:28:26596..27318:-	234.1	ga:26:25102..26184:-	170.0	none		ga:24:23827..24537:-	204.9	ga:23:22958..23830:-	184.0	ga:22:21798..22958:-	190.7	ga:21:20747..21814:-	91.7	ga:19:17593..20199:-	349.2	none	
LC623908.1	50	7/7	7	ga:34:33282..34043:-	34.2	ga:32:30484..30792:-	73.1	ga:31:30151..30474:-	79.8	ga:30:27664..30144:-	199.3	ga:30:27664..30144:-	108.6	ga:29:26936..27658:-	234.1	ga:27:25442..26524:-	170.0	none		ga:25:24425..25135:-	205.4	ga:24:23556..24428:-	184.0	ga:23:22396..23556:-	190.7	ga:22:21345..22412:-	91.5	ga:20:18293..20797:-	350.1	none	
LC623909.1	49	7/7	7	ga:32:33415..34176:-	34.2	ga:30:30617..30925:-	73.1	ga:29:30284..30607:-	79.8	ga:28:27797..30277:-	199.3	ga:28:27797..30277:-	106.8	ga:27:27068..27790:-	232.4	ga:25:25575..26657:-	170.0	none		ga:23:24558..25268:-	204.9	ga:22:23689..24561:-	184.0	ga:21:22529..23689:-	190.7	ga:20:21478..22545:-	91.8	ga:19:18426..20930:-	350.1	none	
LC623910.1	49	7/7	7	ga:33:29444..30034:-	22.9	ga:45:40153..40581:-	63.6	ga:44:39838..40149:-	50.9	ga:43:37283..39841:-	93.0	ga:43:37283..39841:-	114.4	none		ga:35:30677..32518:-	152.5	none		ga:42:36498..37286:-	141.7	ga:41:35587..36480:-	181.1	ga:39:33724..35118:-	220.7	ga:46:40603..41568:-	130.5	ga:22:16220..18124:+	524.0	none	
LC623911.1	69	7/7	7	ga:55:56836..57492:-	24.0	ga:66:66768..67202:-	65.4	ga:65:66451..66762:-	45.1	ga:64:63902..66454:-	82.1	ga:64:63902..66454:-	112.6	none		ga:57:57813..59348:-	110.5	none		ga:63:63174..63905:-	82.9	ga:62:62257..63153:-	160.8	ga:60:60381..61790:-	213.9	ga:67:67214..68176:-	137.1	ga:20:15895..17838:+	462.0	none	
LC623912.1	49	7/7	7	ga:32:33414..34175:-	34.2	ga:30:30616..30924:-	73.1	ga:29:30283..30606:-	79.8	ga:28:27796..30276:-	199.3	ga:28:27796..30276:-	106.8	ga:27:27067..27789:-	232.4	ga:25:25574..26656:-	170.0	none		ga:23:24557..25267:-	204.9	ga:22:23688..24560:-	184.0	ga:21:22528..23688:-	190.7	ga:20:21477..22544:-	91.8	ga:19:18425..20929:-	350.1	none	
LC623913.1	58	7/7	7	ga:43:45667..46302:-	23.5	ga:54:56155..56619:-	63.5	ga:53:55840..56151:-	49.8	ga:52:53285..55843:-	91.0	ga:52:53285..55843:-	112.1	none		ga:45:46921..48639:-	143.0	none		ga:51:52506..53288:-	145.8	ga:50:51589..52488:-	186.5	ga:48:49672..51093:-	223.3	ga:55:56636..57598:-	127.6	ga:27:25037..26950:+	525.1	none	
LC623914.1	60	7/7	7	ga:45:47020..47655:-	23.5	ga:56:57508..57972:-	63.5	ga:55:57193..57504:-	49.8	ga:54:54638..57196:-	91.0	ga:54:54638..57196:-	112.1	none		ga:47:48274..49992:-	143.0	none		ga:53:53859..54641:-	145.8	ga:52:52942..53841:-	186.5	ga:50:51025..52446:-	221.2	ga:57:57989..58951:-	127.6	ga:26:23778..25691:+	525.1	none	
LC623915.1	56	7/7	7	ga:41:38444..39034:-	24.3	ga:52:48872..49336:-	62.5	ga:51:48557..48868:-	51.1	ga:50:46002..48560:-	96.2	ga:50:46002..48560:-	116.8	none		ga:43:39677..41413:-	148.1	none		ga:49:45217..46005:-	144.7	ga:48:44306..45199:-	181.0	ga:46:42446..43837:-	221.2	ga:53:49358..50323:-	129.5	ga:30:25486..27390:+	528.6	none	
LC623916.1	51	7/7	7	ga:33:33786..34547:-	34.2	ga:31:30988..31296:-	73.1	ga:30:30655..30978:-	79.8	ga:29:28168..30648:-	199.3	ga:29:28168..30648:-	106.8	ga:28:27439..28161:-	231.5	ga:26:25945..27027:-	170.0	none		ga:24:24928..25638:-	204.9	ga:23:24059..24931:-	184.0	ga:22:22899..24059:-	190.7	ga:21:21848..22915:-	91.8	ga:19:18371..20875:-	350.1	none	
LC623917.1	51	7/7	7	ga:37:31563..32219:-	25.2	ga:48:41487..41921:-	62.4	ga:47:41170..41481:-	48.8	ga:46:38621..41173:-	90.4	ga:46:38621..41173:-	113.2	none		ga:39:32541..34034:-	117.5	none		ga:45:37893..38624:-	96.0	ga:44:36978..37874:-	159.2	ga:42:35081..36511:-	216.3	ga:49:41932..42894:-	130.4	ga:21:16417..18360:+	460.5	none	
LC623918.1	53	7/7	7	ga:35:35472..36233:-	34.2	ga:33:32674..32982:-	73.1	ga:32:32341..32664:-	79.8	ga:31:29854..32334:-	199.3	ga:31:29854..32334:-	108.6	ga:30:29126..29848:-	234.1	ga:28:27632..28714:-	170.0	none		ga:26:26615..27325:-	205.4	ga:25:25746..26618:-	184.0	ga:24:24586..25746:-	190.7	ga:23:23535..24602:-	91.5	ga:21:20483..22987:-	350.1	none	
LC623919.1	72	7/7	7	ga:57:51614..52243:-	23.4	ga:68:61983..62408:-	62.6	ga:67:61669..61980:-	53.3	ga:66:59135..61672:-	91.7	ga:66:59135..61672:-	116.7	none		ga:59:52859..54517:-	145.6	none		ga:65:58350..59138:-	136.6	ga:64:57439..58332:-	176.9	ga:62:55547..56950:-	217.7	ga:69:62430..63389:-	134.7	ga:22:16938..18842:+	532.3	none	
LC623920.1	52	7/7	7	ga:34:33243..34004:-	34.2	ga:32:30445..30753:-	73.1	ga:31:30112..30435:-	79.8	ga:30:27625..30105:-	199.3	ga:30:27625..30105:-	108.6	ga:29:26897..27619:-	234.1	ga:27:25403..26485:-	170.0	none		ga:25:24386..25096:-	205.4	ga:24:23517..24389:-	184.0	ga:23:22357..23517:-	190.7	ga:22:21306..22373:-	91.5	ga:20:18254..20758:-	350.1	none	
LC623921.1	53	7/7	7	ga:40:34450..35214:-	43.1	ga:38:31610..31915:-	77.7	ga:37:31271..31594:-	84.6	ga:36:28727..31261:-	207.8	ga:36:28727..31261:-	102.7	ga:35:28003..28722:-	232.8	ga:33:26484..27569:-	165.9	none		ga:32:25440..26171:-	197.7	ga:31:24565..25443:-	202.0	ga:30:23432..24568:-	198.2	ga:29:22384..23454:-	101.2	ga:28:19577..22162:-	330.4	none	
LC623922.1	51	7/7	7	ga:35:29129..29758:-	24.1	ga:47:39923..40387:-	65.0	ga:46:39608..39919:-	47.0	ga:45:37053..39611:-	98.2	ga:45:37053..39611:-	122.1	none		ga:37:30398..32311:-	155.8	none		ga:44:36283..37056:-	145.4	ga:43:35372..36265:-	185.7	ga:41:33507..34910:-	222.0	ga:48:40401..41363:-	134.7	ga:20:14722..16626:+	521.1	none	
LC623923.1	55	7/7	7	ga:42:35038..35802:-	43.8	ga:40:32197..32502:-	77.7	ga:39:31858..32181:-	84.6	ga:38:29314..31848:-	207.9	ga:38:29314..31848:-	102.8	ga:37:28590..29309:-	231.5	ga:34:26812..27897:-	165.9	none		ga:33:25768..26499:-	198.5	ga:32:24893..25771:-	202.0	ga:31:23760..24896:-	198.2	ga:30:22712..23782:-	101.2	ga:29:19896..22490:-	330.4	none	
LC623924.1	61	7/7	7	ga:46:42577..43212:-	22.8	ga:57:52975..53439:-	63.0	ga:56:52660..52971:-	51.3	ga:55:50105..52663:-	94.6	ga:55:50105..52663:-	113.3	none		ga:48:43811..45529:-	148.0	none		ga:54:49320..50108:-	148.7	ga:53:48409..49302:-	181.3	ga:51:46562..47941:-	218.3	ga:58:53461..54426:-	133.8	ga:23:16411..18315:+	528.8	none	
LC623925.1	55	7/7	7	ga:40:32965..33582:-	23.5	ga:51:43322..43747:-	61.9	ga:50:43008..43319:-	53.3	ga:49:40474..43011:-	91.7	ga:49:40474..43011:-	116.7	none		ga:42:34198..35856:-	145.6	none		ga:48:39689..40477:-	136.6	ga:47:38778..39671:-	176.9	ga:45:36886..38289:-	217.7	ga:52:43769..44728:-	134.8	ga:22:17077..18981:+	532.3	none	
LC623926.1	52	7/7	7	ga:34:33276..34037:-	34.2	ga:32:30478..30786:-	73.1	ga:31:30145..30468:-	79.8	ga:30:27658..30138:-	199.3	ga:30:27658..30138:-	108.6	ga:29:26930..27652:-	234.1	ga:27:25436..26518:-	170.0	none		ga:25:24419..25129:-	205.4	ga:24:23550..24422:-	184.0	ga:23:22390..23550:-	190.7	ga:22:21339..22406:-	91.5	ga:20:18287..20791:-	350.1	none	
LC623927.1	56	7/7	7	ga:41:40082..40717:-	23.5	ga:52:50570..51034:-	63.5	ga:51:50255..50566:-	49.8	ga:50:47700..50258:-	91.0	ga:50:47700..50258:-	112.1	none		ga:43:41336..43054:-	143.0	none		ga:49:46921..47703:-	147.6	ga:48:46004..46903:-	186.5	ga:46:44087..45508:-	223.3	ga:53:51051..52013:-	127.6	ga:31:27189..29102:+	525.1	none	
LC623928.1	59	7/7	7	ga:44:33445..34062:-	22.4	ga:55:43827..44252:-	62.0	ga:54:43513..43824:-	53.3	ga:53:40979..43516:-	91.2	ga:53:40979..43516:-	116.6	none		ga:46:34686..36359:-	153.8	none		ga:52:40194..40982:-	142.0	ga:51:39283..40176:-	175.5	ga:49:37391..38794:-	217.5	ga:56:44266..45225:-	135.3	ga:23:17086..18990:+	523.0	none	
LC623929.1	61	7/7	7	none		ga:57:46825..47232:-	60.8	ga:56:46511..46822:-	52.7	ga:55:43956..46514:-	100.2	ga:55:43956..46514:-	110.9	none		ga:48:37646..39379:-	142.9	none		ga:54:43234..43959:-	123.5	ga:53:42332..43222:-	175.9	ga:51:40432..41856:-	227.0	ga:58:47264..48232:-	134.9	ga:21:16171..18087:+	510.6	none	
LC623930.1	50	7/7	7	ga:34:33470..34234:-	37.0	ga:32:30666..30977:-	71.7	ga:31:30328..30651:-	84.2	ga:30:27841..30321:-	199.6	ga:30:27841..30321:-	100.7	ga:29:27122..27835:-	216.3	ga:27:25643..26722:-	167.1	none		ga:25:24367..25077:-	206.1	ga:24:23498..24370:-	177.4	ga:23:22347..23498:-	195.0	ga:22:21296..22363:-	92.1	ga:21:18331..20802:-	350.1	none	
LC623931.1	61	7/7	7	ga:46:44507..45142:-	23.5	ga:57:55004..55468:-	63.5	ga:56:54689..55000:-	49.8	ga:55:52134..54692:-	91.0	ga:55:52134..54692:-	112.1	none		ga:48:45761..47488:-	143.0	none		ga:54:51355..52137:-	147.6	ga:53:50438..51337:-	186.5	ga:51:48521..49942:-	223.3	ga:58:55485..56447:-	127.6	ga:36:31614..33527:+	525.1	none	
LC623932.1	54	7/7	7	ga:41:34722..35486:-	43.8	ga:39:31881..32186:-	77.7	ga:38:31542..31865:-	84.6	ga:37:28998..31532:-	207.9	ga:37:28998..31532:-	102.7	ga:36:28274..28993:-	231.8	ga:34:26755..27840:-	165.9	none		ga:33:25711..26442:-	198.9	ga:32:24836..25714:-	202.0	ga:31:23703..24839:-	198.2	ga:30:22655..23725:-	101.2	ga:29:19839..22433:-	330.4	none	
LC663721.1	44	7/7	7	ga:14:12111..13007:+	45.1	ga:41:35477..35968:-	68.0	ga:40:35163..35477:-	51.1	ga:39:32642..35149:-	96.8	ga:39:32642..35149:-	113.1	none		ga:36:29959..31677:-	86.7	none		ga:34:28862..29560:-	122.8	ga:33:27924..28862:-	162.6	ga:31:26007..27467:-	205.5	ga:42:35980..36963:-	135.1	ga:12:9593..11551:+	355.7	none	
LC663726.1	70	7/7	7	ga:27:21819..22553:+	32.5	none		ga:30:23196..23513:+	63.3	ga:31:23513..26113:+	113.8	ga:31:23513..26113:+	76.4	ga:32:26131..26844:+	105.5	ga:34:27095..28135:+	142.4	none		ga:35:28354..29052:+	131.9	ga:36:29063..29947:+	159.7	ga:37:29947..31107:+	156.3	ga:38:31149..32144:+	81.2	ga:47:40138..41667:-	38.5	none	
LC663727.1	50	7/7	7	ga:12:8740..9474:+	32.5	none		ga:15:10117..10434:+	63.3	ga:16:10434..13034:+	113.8	ga:16:10434..13034:+	76.4	ga:17:13052..13765:+	105.5	ga:19:14016..15056:+	142.4	none		ga:20:15275..15973:+	131.9	ga:21:15984..16868:+	159.7	ga:22:16868..18028:+	156.3	ga:23:18070..19065:+	81.2	ga:32:27059..28588:-	38.5	none	
LC663728.1	54	7/7	7	ga:11:7453..8187:+	32.5	ga:13:8487..8780:+	28.7	ga:14:8830..9147:+	63.3	ga:15:9147..11747:+	111.8	ga:15:9147..11747:+	76.8	ga:16:11765..12478:+	97.1	ga:18:12729..13769:+	153.6	none		ga:19:13988..14686:+	131.9	ga:20:14697..15581:+	159.0	ga:21:15581..16741:+	154.9	ga:22:16783..17778:+	81.2	ga:36:35402..36931:-	38.5	none	
LC663729.1	85	7/7	7	ga:44:37843..38577:-	32.5	none		ga:41:36883..37200:-	63.3	ga:40:34283..36883:-	113.8	ga:40:34283..36883:-	76.4	ga:39:33552..34265:-	105.5	ga:37:32261..33301:-	142.4	none		ga:36:31344..32042:-	131.9	ga:35:30449..31333:-	159.7	ga:34:29289..30449:-	156.3	ga:33:28252..29247:-	81.2	ga:62:52297..53826:-	38.5	none	
LC663730.1	70	7/7	7	ga:27:21819..22553:+	32.5	none		ga:30:23196..23513:+	63.3	ga:31:23513..26113:+	113.8	ga:31:23513..26113:+	76.4	ga:32:26131..26844:+	105.5	ga:34:27095..28135:+	142.4	none		ga:35:28354..29052:+	131.9	ga:36:29063..29947:+	159.7	ga:37:29947..31107:+	156.3	ga:38:31149..32144:+	81.2	ga:47:40138..41667:-	38.5	none	
