element	n_MPF_T	n_MPF_F	n_MPF_I	n_MPF_FA	n_MPF_FATA	n_MPF_G	n_MPF_B	n_MPF_C
NZ_AP025016.1	1	0	0	0	0	0	0	0
NZ_AP025033.1	8	0	0	0	0	0	1	0
NZ_AP025141.1	2	0	0	0	4	0	0	0
NZ_AP025146.1	0	10	0	0	0	0	1	0
NZ_AP025151.1	0	11	0	0	0	0	1	0
NZ_AP025154.1	2	11	0	0	0	0	0	0
NZ_AP025157.1	2	11	0	0	0	0	0	0
NZ_AP025163.1	0	0	0	0	4	0	0	0
NZ_AP025172.1	0	0	0	0	1	1	1	0
NZ_AP025173.1	7	0	0	0	0	0	0	0
NZ_AP025174.1	1	0	10	0	1	0	0	0
NZ_AP025181.1	8	0	0	0	0	0	0	0
NZ_AP025182.1	1	0	15	0	0	0	0	0
NZ_AP025187.1	0	0	0	0	1	0	1	0
NZ_AP025188.1	1	0	0	0	1	0	0	0
NZ_AP025197.1	0	0	0	0	1	0	0	0
NZ_AP025198.1	5	0	0	0	0	0	1	0
NZ_AP025206.2	0	2	0	0	0	0	0	0
NZ_AP025207.1	8	0	0	0	0	0	0	0
NZ_AP025211.1	8	0	0	0	0	0	0	0
NZ_AP025216.1	0	2	0	0	0	0	0	0
NZ_AP025217.1	8	0	0	0	0	0	0	0
NZ_AP025222.1	8	0	0	0	0	0	0	0
NZ_AP025228.1	0	0	0	2	1	0	0	0
NZ_AP025229.1	0	0	0	0	1	0	0	0
NZ_AP025230.1	0	0	0	0	1	0	0	0
NZ_AP025247.1	0	0	0	0	1	0	0	0
NZ_AP025261.1	8	0	0	0	0	0	1	0
NZ_AP025269.1	0	0	0	0	1	0	0	0
NZ_AP025271.1	0	0	0	0	2	0	0	0
NZ_AP025272.1	2	0	0	1	2	0	0	0
NZ_AP025274.1	0	11	0	0	0	0	0	0
NZ_AP025287.1	7	0	0	0	0	0	1	0
NZ_AP025289.1	0	0	0	0	1	0	0	0
NZ_AP025290.1	0	0	0	0	1	0	0	0
NZ_AP025293.1	0	0	0	0	1	0	1	0
NZ_AP025302.1	0	0	0	0	1	0	0	0
NZ_AP025307.1	0	0	0	0	1	0	1	0
NZ_AP025308.1	0	0	0	1	0	0	0	0
NZ_AP025317.1	0	0	0	0	1	0	0	0
NZ_AP025319.1	0	0	0	0	1	0	0	0
NZ_AP025335.1	0	12	0	0	1	0	0	0
NZ_AP025336.1	6	11	0	0	0	0	0	0
NZ_AP025341.1	0	0	0	0	0	0	1	0
NZ_AP025357.1	8	0	0	0	0	0	1	0
NZ_AP025467.1	1	0	2	0	0	0	0	0
NZ_AP025469.1	0	12	0	0	0	0	0	0
NZ_AP025478.1	0	12	0	0	0	0	0	0
NZ_AP025479.1	0	12	0	0	0	0	0	0
NZ_AP025485.1	0	12	0	0	0	0	1	0
NZ_AP025494.1	0	12	0	0	0	0	0	0
NZ_AP025501.1	0	12	0	0	0	0	0	0
NZ_AP025512.1	0	12	0	0	0	0	0	0
NZ_AP025513.1	0	12	0	0	0	0	0	0
NZ_AP025521.1	2	0	0	0	6	0	1	0
NZ_AP025522.1	0	0	0	0	0	0	1	0
NZ_AP025525.1	0	0	0	0	1	0	0	0
NZ_AP025532.1	1	12	0	0	0	0	0	0
NZ_AP025542.1	0	0	0	0	0	0	1	0
NZ_AP025547.1	0	11	0	0	1	0	0	0
NZ_AP025548.1	0	2	0	0	0	0	0	0
NZ_AP025552.1	0	11	0	0	0	0	0	0
NZ_AP025594.1	0	0	0	0	1	0	0	0
NZ_AP025597.1	0	0	0	0	0	0	1	0
NZ_AP025604.1	0	0	0	0	1	0	0	0
NZ_AP025605.1	0	0	0	0	0	0	1	0
NZ_AP025610.1	0	0	0	0	1	0	0	0
NZ_AP025611.1	2	0	0	0	0	0	1	0
NZ_AP025615.1	0	0	0	0	0	0	1	0
NZ_AP025618.1	0	0	0	0	0	0	1	0
NZ_AP025636.1	2	0	0	1	3	0	0	0
NZ_AP025641.1	0	9	0	0	0	0	0	0
NZ_AP025654.1	0	9	0	0	0	0	0	0
NZ_AP025655.1	0	0	1	0	0	0	0	0
NZ_AP025658.1	0	12	0	0	0	0	0	0
NZ_AP025659.1	8	0	0	0	0	0	0	0
NZ_AP025660.1	8	0	0	0	0	0	0	0
NZ_AP025663.1	0	12	0	0	0	0	0	0
NZ_AP025664.1	8	0	0	0	0	0	0	0
NZ_AP025665.1	8	0	0	0	0	0	0	0
NZ_AP025673.1	8	0	0	0	0	0	1	0
NZ_AP025674.1	8	0	0	0	0	0	0	0
NZ_AP025676.1	0	12	0	0	1	0	0	0
NZ_AP025678.1	1	0	15	0	0	0	0	0
NZ_AP025679.1	0	12	0	0	1	0	1	0
NZ_AP025680.1	7	0	0	0	0	0	0	0
NZ_AP025694.1	1	0	0	0	1	0	0	0
NZ_AP025733.1	1	0	0	0	0	0	0	8
NZ_AP025734.1	0	0	0	0	0	0	0	7
NZ_AP025738.1	0	0	0	0	1	0	0	0
NZ_AP025742.1	0	12	0	1	0	0	0	0
NZ_AP025743.1	1	0	15	0	0	0	0	0
NZ_AP025748.1	1	4	0	0	0	0	0	0
NZ_AP025752.1	0	12	0	1	0	0	0	0
NZ_AP025753.1	1	0	15	0	0	0	0	0
NZ_AP025755.1	0	12	0	1	0	0	0	0
NZ_AP025756.1	0	12	0	0	0	0	0	0
NZ_AP025758.1	1	0	0	0	0	0	0	0
NZ_AP025762.1	0	0	0	0	1	0	0	0
NZ_AP025765.1	0	11	0	0	0	0	0	0
NZ_AP025768.1	0	11	0	0	0	0	0	0
NZ_AP025773.1	0	11	0	0	0	0	0	0
NZ_AP025775.1	0	11	0	0	0	0	0	0
NZ_AP025778.1	0	11	0	0	0	0	0	0
NZ_AP025781.1	0	11	0	0	0	0	0	0
NZ_AP025783.1	0	11	0	0	0	0	0	0
NZ_AP025785.1	0	11	0	0	0	0	0	0
NZ_AP025788.1	0	11	0	0	0	0	0	0
NZ_AP025789.1	0	0	13	0	0	0	1	0
NZ_AP025791.1	0	11	0	0	0	0	0	0
NZ_AP025793.1	0	11	0	0	0	0	0	0
NZ_AP025796.1	0	11	0	0	0	0	0	0
NZ_AP025798.1	0	11	0	0	0	0	0	0
NZ_AP025800.1	0	11	0	0	0	0	0	0
NZ_AP025802.1	0	11	0	0	0	0	0	0
NZ_AP025805.1	0	11	0	0	0	0	0	0
NZ_AP025808.1	0	11	0	0	0	0	0	0
NZ_AP025811.1	0	11	0	0	0	0	0	0
NZ_AP025813.1	0	11	0	0	0	0	0	0
NZ_AP025816.1	0	11	0	0	0	0	0	0
NZ_AP025819.1	0	11	0	0	0	0	0	0
NZ_AP025822.1	0	11	0	0	0	0	0	0
NZ_AP025828.1	0	11	0	0	0	0	0	0
NZ_AP025831.1	0	11	0	0	0	0	0	0
NZ_AP025834.1	0	10	0	0	0	0	0	0
NZ_AP025837.1	0	11	0	0	0	0	0	0
NZ_AP025840.1	0	11	0	0	0	0	0	0
NZ_AP025843.1	0	11	0	0	0	0	0	0
NZ_AP025848.1	0	11	0	0	0	0	0	0
NZ_AP025852.1	0	11	0	0	0	0	0	0
NZ_AP025856.1	0	11	0	0	0	0	0	0
NZ_AP025860.1	0	11	0	0	0	0	0	0
NZ_AP025864.1	0	11	0	0	0	0	0	0
NZ_AP025868.1	0	11	0	0	0	0	0	0
NZ_AP025872.1	0	11	0	0	0	0	0	0
NZ_AP025876.1	0	11	0	0	0	0	0	0
NZ_AP025880.1	0	11	0	0	0	0	0	0
NZ_AP025884.1	0	11	0	0	0	0	0	0
NZ_AP025888.1	0	11	0	0	0	0	0	0
NZ_AP025892.1	0	11	0	0	0	0	0	0
NZ_AP025896.1	0	11	0	0	0	0	0	0
NZ_AP025900.1	0	11	0	0	0	0	0	0
NZ_AP025904.1	0	11	0	0	0	0	0	0
NZ_AP025908.1	0	11	0	0	0	0	0	0
NZ_AP025912.1	0	11	0	0	0	0	0	0
NZ_AP025916.1	0	11	0	0	0	0	0	0
NZ_AP025920.1	0	11	0	0	0	0	0	0
NZ_AP025924.1	0	11	0	0	0	0	0	0
NZ_AP025928.1	0	11	0	0	0	0	0	0
NZ_AP025932.1	0	11	0	0	0	0	0	0
NZ_AP025933.1	0	0	0	0	0	0	1	0
NZ_AP026076.1	1	0	0	0	1	0	0	1
NZ_AP026077.1	2	0	0	0	1	0	1	3
NZ_AP026078.1	0	1	0	0	1	0	0	1
NZ_AP026079.1	1	0	0	0	1	0	0	0
NZ_AP026081.1	1	0	0	0	0	0	0	0
NZ_AP026083.1	1	0	0	0	0	0	0	0
NZ_AP026086.1	1	0	0	0	0	0	0	0
NZ_AP026088.1	1	0	0	0	0	0	0	0
NZ_AP026089.1	7	0	0	0	0	0	0	0
NZ_AP026091.1	1	0	0	0	0	0	0	0
NZ_AP026093.1	1	0	0	0	0	0	0	0
NZ_AP026094.1	0	12	0	0	1	0	0	0
NZ_AP026096.1	1	0	0	0	0	0	0	0
NZ_AP026100.1	1	0	0	0	0	0	0	0
NZ_AP026102.1	1	0	0	0	0	0	0	0
NZ_AP026103.1	7	0	0	0	0	0	0	0
NZ_AP026107.1	1	0	0	0	0	0	0	0
NZ_AP026109.1	1	0	0	0	0	0	0	0
NZ_AP026111.1	1	0	0	0	0	0	0	0
NZ_AP026115.1	1	0	0	0	0	0	0	0
NZ_AP026117.1	1	0	0	0	0	0	0	0
NZ_AP026119.1	1	0	0	0	0	0	0	0
NZ_AP026368.1	0	0	0	0	1	0	0	0
NZ_AP026376.1	2	12	0	0	0	0	0	0
NZ_AP026383.1	0	11	0	0	0	0	0	0
NZ_AP026384.1	0	12	0	0	0	0	0	0
NZ_AP026393.1	0	9	0	0	0	0	0	0
NZ_AP026394.1	0	10	0	0	0	0	0	0
NZ_AP026395.1	0	12	0	0	0	0	0	0
NZ_AP026396.1	0	12	0	0	0	0	0	0
NZ_AP026404.1	0	0	1	0	1	0	0	0
NZ_AP026408.1	0	10	0	0	0	0	0	0
NZ_AP026409.1	0	11	0	0	0	0	0	0
NZ_AP026410.1	0	0	0	0	1	0	0	0
NZ_AP026411.1	0	12	0	0	0	0	0	0
NZ_AP026413.1	0	0	1	0	0	0	0	0
NZ_AP026417.1	0	0	0	0	1	0	0	0
NZ_AP026421.1	0	10	0	0	0	0	0	0
NZ_AP026422.1	0	11	0	0	0	0	0	0
NZ_AP026423.1	0	12	0	0	0	0	0	0
NZ_AP026424.1	0	12	0	0	0	0	0	0
NZ_AP026426.1	0	12	0	0	0	1	0	0
NZ_AP026430.1	0	0	0	0	1	0	0	0
NZ_AP026526.1	2	11	0	0	0	0	0	0
NZ_AP026527.1	8	0	0	0	0	0	0	0
NZ_AP026554.1	2	11	0	0	0	0	0	0
NZ_AP026561.1	0	0	0	0	0	1	0	0
NZ_AP026563.1	1	0	0	0	1	0	0	0
NZ_AP026567.1	1	0	1	0	0	0	1	0
NZ_AP026568.1	0	0	0	0	0	0	1	0
NZ_AP026569.1	2	0	0	1	1	0	0	0
NZ_AP026570.1	0	0	0	0	1	0	0	0
NZ_AP026602.1	0	0	0	0	0	0	1	0
NZ_AP026656.1	0	0	0	0	1	0	1	0
NZ_AP026657.1	0	0	0	0	0	0	1	0
NZ_AP026658.1	1	0	0	0	0	0	0	0
NZ_AP026661.1	0	0	0	0	1	0	1	0
NZ_AP026662.1	0	0	0	0	0	0	1	0
NZ_AP026663.1	1	0	0	0	0	0	0	0
NZ_AP026667.1	0	0	0	0	0	0	1	0
NZ_AP026668.1	0	0	0	0	0	0	1	0
NZ_AP026669.1	1	0	0	0	0	0	0	0
NZ_AP026692.1	2	0	0	0	1	0	0	0
NZ_AP026693.1	0	0	0	0	1	0	0	0
NZ_AP026711.1	1	0	0	0	4	0	0	0
NZ_AP026713.1	0	0	0	0	2	0	0	0
NZ_AP026722.1	0	0	0	1	1	1	0	0
NZ_AP026723.1	1	0	0	1	0	0	0	0
NZ_AP026733.1	0	11	0	0	0	0	0	0
NZ_AP026734.1	2	11	0	0	0	0	0	0
NZ_AP026735.1	8	0	0	0	0	0	0	0
NZ_AP026737.1	1	0	0	0	0	0	0	0
NZ_AP026770.1	6	0	0	0	0	0	0	0
NZ_AP026771.1	5	0	0	0	0	0	0	0
NZ_AP026773.1	0	0	0	1	6	0	1	0
NZ_AP026774.1	0	0	0	0	0	0	1	0
NZ_AP026776.1	0	0	0	2	1	0	0	0
NZ_AP026782.1	1	11	0	0	0	0	0	0
NZ_AP026789.1	0	12	0	0	0	0	0	0
NZ_AP026790.1	7	0	0	0	0	0	0	0
NZ_AP026791.1	7	0	0	0	0	0	0	0
NZ_AP026795.1	0	12	0	0	1	0	0	0
NZ_AP026796.1	7	0	0	0	0	0	0	0
NZ_AP026797.1	7	0	0	0	0	0	0	0
NZ_AP026824.1	0	0	0	6	1	0	0	0
NZ_AP026828.1	0	12	0	0	0	0	0	0
NZ_AP026871.1	1	0	0	0	1	0	1	0
NZ_AP026872.1	0	0	0	2	1	0	0	0
NZ_AP026882.1	0	0	0	0	1	0	0	0
NZ_AP026887.1	0	2	0	0	0	0	0	0
NZ_AP026888.1	0	12	0	0	1	0	0	0
NZ_AP026889.1	0	0	1	0	0	0	0	0
NZ_AP026896.1	1	0	0	0	2	0	2	0
NZ_AP026903.1	0	11	0	0	0	0	0	0
NZ_AP026909.1	7	0	0	0	0	0	0	0
NZ_AP026938.1	0	1	0	0	0	0	0	0
NZ_AP026939.1	2	11	0	0	0	0	0	0
NZ_AP026941.1	0	11	0	0	0	1	0	0
NZ_AP026942.1	2	11	0	0	0	0	0	0
NZ_AP026949.1	0	11	0	0	1	0	0	0
NZ_AP026950.1	7	0	0	0	0	0	0	0
NZ_AP026951.1	7	0	0	0	0	0	0	0
NZ_AP026952.1	1	0	0	0	0	0	0	0
NZ_AP026962.1	0	11	0	0	0	0	0	0
NZ_AP026963.1	0	0	0	0	1	0	0	0
NZ_AP027044.1	2	0	0	0	1	0	7	0
NZ_AP027047.1	0	12	0	0	0	0	0	0
NZ_AP027048.1	1	0	1	0	0	0	2	0
NZ_AP027051.1	0	12	0	0	0	0	0	0
NZ_AP027054.1	0	12	0	0	0	0	0	0
NZ_AP027057.1	8	0	0	0	0	0	0	0
NZ_AP027060.1	1	0	0	0	0	0	1	0
NZ_AP027137.1	0	0	0	6	2	0	1	0
NZ_AP027138.1	0	0	0	0	1	0	0	0
NZ_AP027144.1	7	0	0	0	0	0	0	0
NZ_AP027145.1	7	0	0	0	0	0	2	0
NZ_AP027146.1	7	0	0	0	0	0	2	0
NZ_AP027150.1	7	0	0	0	0	0	1	0
NZ_AP027157.1	0	12	0	0	1	0	0	0
NZ_AP027158.1	1	0	15	0	0	0	0	0
NZ_AP027160.1	1	0	15	0	0	0	0	0
NZ_AP027166.1	1	0	15	0	0	0	0	0
NZ_AP027168.1	0	12	0	0	1	0	0	0
NZ_AP027171.1	0	12	0	0	1	0	0	0
NZ_AP027177.1	0	12	0	0	1	0	0	0
NZ_AP027186.1	0	12	0	0	1	0	0	0
NZ_AP027194.1	0	12	0	0	1	0	0	0
NZ_AP027199.1	0	12	0	0	0	0	0	0
NZ_AP027207.1	1	0	15	0	0	0	0	0
NZ_AP027213.1	1	0	15	0	0	0	0	0
NZ_AP027218.1	1	0	15	0	0	0	0	0
NZ_AP027219.1	1	0	15	0	0	0	0	0
NZ_AP027247.1	1	0	15	0	0	0	0	0
NZ_AP027255.1	1	0	15	0	0	0	0	0
NZ_AP027257.1	1	0	15	0	0	0	0	0
NZ_AP027259.1	1	0	15	0	0	0	0	0
NZ_AP027260.1	0	12	0	0	1	0	0	0
NZ_AP027264.1	0	12	0	0	0	0	0	0
NZ_AP027293.1	1	0	2	0	0	0	1	0
NZ_AP027295.1	1	0	1	0	1	0	1	0
NZ_AP027296.1	0	0	0	2	3	0	0	0
NZ_AP027300.1	1	0	0	5	1	0	0	0
NZ_AP027301.1	0	0	0	0	1	0	1	0
NZ_AP027303.1	0	0	0	6	1	0	0	0
NZ_AP027402.1	7	0	0	0	0	0	0	0
NZ_AP027403.1	0	12	0	0	1	0	0	0
NZ_AP027412.1	0	12	0	0	1	0	0	0
NZ_AP027413.1	7	0	0	0	0	0	0	0
NZ_AP027414.1	1	0	0	0	1	0	0	0
NZ_AP027416.1	0	11	0	0	1	0	0	0
NZ_AP027418.1	0	11	0	0	1	0	0	0
NZ_AP027420.1	0	12	0	0	1	0	0	0
NZ_AP027422.1	0	11	0	0	1	0	0	0
NZ_AP027425.1	0	12	0	0	0	0	0	0
NZ_AP027426.1	0	1	0	0	0	0	0	0
NZ_AP027427.1	8	0	0	0	0	0	0	0
NZ_AP027428.1	0	12	0	0	1	0	0	0
NZ_AP027430.1	1	0	15	0	0	0	0	0
NZ_AP027431.1	0	11	0	0	0	0	0	0
NZ_AP027433.1	0	12	0	0	1	0	0	0
NZ_AP027435.1	1	0	15	0	0	0	0	0
NZ_AP027437.1	0	12	0	0	1	0	0	0
NZ_AP027439.1	1	0	15	0	0	0	0	0
NZ_AP027441.1	7	0	0	0	0	0	0	0
NZ_AP027443.1	7	0	0	0	0	0	0	0
NZ_AP027444.1	0	12	0	0	1	0	0	0
NZ_AP027484.1	6	0	0	0	0	0	0	0
NZ_AP027485.1	0	2	0	0	0	0	0	0
NZ_AP027486.1	7	0	0	0	0	0	0	0
NZ_AP027488.1	0	11	0	0	0	0	0	0
NZ_AP027489.1	0	12	0	0	0	0	0	0
NZ_AP027495.1	0	12	0	0	0	0	0	0
NZ_AP027497.1	7	0	0	0	0	0	0	0
NZ_AP027502.1	7	0	0	0	0	0	0	0
NZ_AP027508.1	8	0	0	0	0	0	0	0
NZ_AP027513.1	0	1	0	0	0	0	0	0
NZ_AP027514.1	7	0	0	0	0	0	0	0
NZ_AP027517.1	8	0	0	0	0	0	0	0
NZ_AP027521.1	7	0	0	0	0	0	0	0
NZ_AP027524.1	8	0	0	0	0	0	0	0
NZ_AP027525.1	0	0	1	0	0	0	0	0
NZ_AP027533.1	0	12	0	0	1	0	0	0
NZ_AP027534.1	7	0	0	0	0	0	0	0
NZ_AP027538.1	0	1	0	0	0	0	0	0
NZ_AP027539.1	7	0	0	0	0	0	0	0
NZ_AP027546.1	0	12	0	0	1	0	0	0
NZ_AP027547.1	7	0	0	0	0	0	0	0
NZ_AP027552.1	8	0	0	0	0	0	0	0
NZ_AP027554.1	0	3	0	0	0	0	0	0
NZ_AP027555.1	1	0	15	0	0	0	0	0
NZ_AP027556.1	0	12	0	0	1	0	1	0
NZ_AP027557.1	7	0	0	0	0	0	0	0
NZ_AP027558.1	7	0	0	0	0	0	0	0
NZ_AP027561.1	1	0	0	0	0	0	0	0
NZ_AP027564.1	0	12	0	0	1	0	0	0
NZ_AP027565.1	7	0	0	0	0	0	0	0
NZ_AP027566.1	7	0	0	0	0	0	0	0
NZ_AP027571.1	0	12	0	0	0	0	0	0
NZ_AP027573.1	7	0	0	0	0	0	0	0
NZ_AP027577.1	0	1	0	0	0	0	0	0
NZ_AP027578.1	0	12	0	0	1	0	0	0
NZ_AP027579.1	0	12	0	0	1	0	0	0
NZ_AP027580.1	7	0	0	0	0	0	0	0
NZ_AP027581.1	7	0	0	0	0	0	0	0
NZ_AP027590.1	0	12	0	0	1	0	0	0
NZ_AP027591.1	7	0	0	0	0	0	0	0
NZ_AP027596.1	0	12	0	0	1	0	0	0
NZ_AP027597.1	0	12	0	0	0	0	0	0
NZ_AP027600.1	1	0	15	0	0	0	0	0
NZ_AP027601.1	0	12	0	0	0	0	0	0
NZ_AP027603.1	0	12	0	0	1	0	0	0
NZ_AP027613.1	7	0	0	0	0	0	0	0
NZ_AP027621.1	8	0	0	0	0	0	0	0
NZ_AP027624.1	7	0	0	0	0	0	0	0
NZ_AP027627.1	0	11	0	0	0	0	0	0
NZ_AP027628.1	0	2	0	0	0	0	0	0
NZ_AP027633.1	0	11	0	0	0	0	0	0
NZ_AP027635.1	0	1	0	0	0	0	0	0
NZ_AP027636.1	7	0	0	0	0	0	0	0
NZ_AP027638.1	0	11	0	0	0	0	0	0
NZ_AP027640.1	0	11	0	0	0	0	0	0
NZ_AP027641.1	7	0	0	0	0	0	0	0
NZ_AP027643.1	0	2	0	0	0	0	0	0
NZ_AP027644.1	7	0	0	0	0	0	0	0
NZ_AP027649.1	0	11	0	0	0	0	0	0
NZ_AP027653.1	0	12	0	0	0	0	0	0
NZ_AP027654.1	1	0	15	0	0	0	0	0
NZ_AP027655.1	7	0	0	0	0	0	0	0
NZ_AP027667.1	0	2	0	0	0	0	0	0
NZ_AP027668.1	7	0	0	0	0	0	0	0
NZ_AP027669.1	8	0	0	0	0	0	0	0
NZ_AP027674.1	0	12	0	0	0	0	0	0
NZ_AP027675.1	7	0	0	0	0	0	0	0
NZ_AP027677.1	0	11	0	0	0	0	0	0
NZ_AP027678.1	0	0	0	0	1	0	0	0
NZ_AP027680.1	0	11	0	0	0	0	0	0
NZ_AP027681.1	0	1	0	0	0	0	0	0
NZ_AP027682.1	7	0	0	0	0	0	0	0
NZ_AP027687.1	0	12	0	0	1	0	0	0
NZ_AP027689.1	8	0	0	0	0	0	0	0
NZ_AP027695.1	0	11	0	0	0	0	0	0
NZ_AP027698.1	0	2	0	0	0	0	0	0
NZ_AP027699.1	7	0	0	0	0	0	0	0
NZ_AP027706.1	7	0	0	0	0	0	0	0
NZ_AP027711.1	7	0	0	0	0	0	0	0
NZ_AP027714.1	0	2	0	0	0	0	0	0
NZ_AP027715.1	7	0	0	0	0	0	0	0
NZ_AP027730.1	0	0	0	0	1	0	0	0
NZ_AP027733.1	2	0	0	0	1	0	1	0
NZ_AP027750.1	7	0	0	0	0	0	0	0
NZ_AP027760.1	0	11	0	0	0	0	0	0
NZ_AP027761.1	0	2	0	0	0	0	0	0
NZ_AP027765.1	0	12	0	0	0	0	0	0
NZ_AP027766.1	6	0	0	0	0	0	0	0
NZ_AP027767.1	6	0	0	0	0	0	0	0
NZ_AP027777.1	7	0	0	0	0	0	0	0
NZ_AP027784.1	0	11	0	0	1	0	0	0
NZ_AP027785.1	0	12	0	0	0	0	0	0
NZ_AP027789.1	0	4	0	0	0	0	0	0
NZ_AP027791.1	1	0	1	0	1	0	0	0
NZ_AP027792.1	0	12	0	0	0	0	0	0
NZ_AP027793.1	1	0	15	0	0	0	0	0
NZ_AP027794.1	7	0	0	0	0	0	0	0
NZ_AP027801.1	0	0	0	0	1	0	0	0
NZ_AP027802.1	7	0	0	0	0	0	0	0
NZ_AP027814.1	0	12	0	0	0	0	0	0
NZ_AP027815.1	1	0	15	0	0	0	0	0
NZ_AP027817.1	7	0	0	0	0	0	0	0
NZ_AP027819.1	0	0	0	0	1	0	0	0
NZ_AP027823.1	8	0	0	0	0	0	0	0
NZ_AP027830.1	0	11	0	0	0	0	0	0
NZ_AP027831.1	1	0	1	0	0	0	0	0
NZ_AP027832.1	1	0	15	0	0	0	0	0
NZ_AP027833.1	5	0	0	0	0	0	0	0
NZ_AP027834.1	0	12	0	0	0	0	0	0
NZ_AP027835.1	8	0	0	0	0	0	0	0
NZ_AP027838.1	0	0	0	0	0	0	1	0
NZ_AP027845.1	0	1	0	0	0	0	0	0
NZ_AP027851.1	0	12	0	0	1	0	0	0
NZ_AP027852.1	7	0	0	0	0	0	0	0
NZ_AP027856.1	0	0	0	0	1	0	0	0
NZ_AP027858.1	7	0	0	0	0	0	0	0
NZ_AP027866.1	0	12	0	0	0	0	0	0
NZ_AP027867.1	0	2	0	0	0	0	0	0
NZ_AP027870.1	0	0	0	0	1	0	0	0
NZ_AP027874.1	0	1	0	0	0	0	0	0
NZ_AP027875.1	0	0	0	0	1	0	0	0
NZ_AP027876.1	8	0	0	0	0	0	0	0
NZ_AP027887.1	0	0	0	0	1	0	0	0
NZ_AP027890.1	0	0	0	0	1	0	0	0
NZ_AP027900.1	0	12	0	0	0	0	0	0
NZ_AP027901.1	7	0	0	0	0	0	0	0
NZ_AP027903.1	0	1	0	0	0	0	0	0
NZ_AP027905.1	0	0	0	0	1	0	0	0
NZ_AP027927.1	0	10	0	0	0	0	0	0
NZ_AP027928.1	1	0	15	0	0	0	0	0
NZ_AP027934.1	0	0	0	0	1	0	0	0
NZ_AP027947.1	0	11	0	0	0	0	0	0
NZ_AP027948.1	7	0	0	0	0	0	0	0
NZ_AP027954.1	0	0	0	0	1	0	0	0
NZ_AP027955.1	7	0	0	0	0	0	0	0
NZ_AP027959.1	7	0	0	0	0	0	0	0
NZ_AP027962.1	7	0	0	0	0	0	0	0
NZ_AP027964.1	0	0	0	0	1	0	0	0
NZ_AP027965.1	0	12	0	0	1	0	0	0
NZ_AP027972.1	0	8	0	0	0	0	0	0
NZ_AP027973.1	0	4	0	0	1	0	0	0
NZ_AP027974.1	7	0	0	0	0	0	0	0
NZ_AP027975.1	7	0	0	0	0	0	0	0
NZ_AP027979.1	0	8	0	0	0	0	0	0
NZ_AP027981.1	7	0	0	0	0	0	0	0
NZ_AP027982.1	7	0	0	0	0	0	0	0
NZ_AP028023.1	0	0	0	0	1	0	0	0
NZ_AP028042.1	0	12	0	0	1	0	0	0
NZ_AP028043.1	6	11	0	0	0	0	0	0
NZ_AP028048.1	6	11	0	0	0	0	0	0
NZ_AP028049.1	0	12	0	0	1	0	0	0
NZ_AP028051.1	0	12	0	0	1	0	0	0
NZ_AP028052.1	6	11	0	0	0	0	0	0
NZ_AP028060.1	2	0	0	1	1	0	0	0
NZ_AP028063.1	0	0	0	0	0	15	0	0
NZ_AP028064.1	2	0	0	0	0	0	0	0
NZ_AP028069.1	0	11	0	0	0	0	0	0
NZ_AP028095.1	0	0	0	0	1	0	0	0
NZ_AP028096.1	0	12	0	0	1	0	0	0
NZ_AP028130.1	0	11	0	0	0	0	0	0
NZ_AP028131.1	0	10	0	0	0	0	0	0
NZ_AP028147.1	0	0	0	0	6	0	0	0
NZ_AP028148.1	0	0	0	0	2	0	1	0
NZ_AP028154.1	0	0	0	0	1	0	0	0
NZ_AP028311.1	2	12	0	0	1	0	0	0
NZ_AP028312.1	1	0	15	0	0	0	0	0
NZ_AP028315.1	8	11	0	0	0	0	0	0
NZ_AP028316.1	2	11	0	0	0	0	0	0
NZ_AP028318.1	8	11	0	0	0	0	0	0
NZ_AP028319.1	2	11	0	0	0	0	0	0
NZ_AP028333.1	0	1	0	0	0	0	0	0
NZ_AP028339.1	0	1	0	0	0	0	1	0
NZ_AP028343.1	7	0	0	0	0	0	0	0
NZ_AP028347.1	7	0	0	0	0	0	0	0
NZ_AP028349.1	7	1	0	0	0	0	0	0
NZ_AP028356.1	7	0	0	0	0	0	0	0
NZ_AP028364.1	7	1	0	0	0	0	0	0
NZ_AP028366.1	0	1	0	0	0	0	0	0
NZ_AP028368.1	7	0	0	0	0	0	0	0
NZ_AP028372.1	7	1	0	0	0	0	0	0
NZ_AP028373.1	8	1	0	0	0	0	0	0
NZ_AP028375.1	7	1	0	0	0	0	0	0
NZ_AP028377.1	0	1	0	0	0	0	0	0
NZ_AP028379.1	7	1	0	0	0	0	0	0
NZ_AP028389.1	8	1	0	0	0	0	0	0
NZ_AP028391.1	7	0	0	0	0	0	0	0
NZ_AP028394.1	7	1	0	0	0	0	0	0
NZ_AP028397.1	7	1	0	0	0	0	0	0
NZ_AP028400.1	7	2	0	0	0	0	0	0
NZ_AP028403.1	8	1	0	0	0	0	0	0
NZ_AP028405.1	8	1	0	0	0	0	0	0
NZ_AP028406.1	7	1	0	0	0	0	0	0
NZ_AP028410.1	7	0	0	0	0	0	0	0
NZ_AP028411.1	8	1	0	0	0	0	0	0
NZ_AP028416.1	0	0	0	0	0	0	1	0
NZ_AP028417.1	1	0	0	0	0	0	1	0
NZ_AP028421.1	0	3	0	0	0	0	0	0
NZ_AP028805.1	2	11	0	0	0	0	0	0
