accession	stratum	offset	traY_bit	excA_bit	excA_aa
NZ_AP028817.1	order#1	1	950.8	289.5	220
NZ_AP028824.1	order#4+	1	950.8	289.5	220
NZ_AP028828.1	order#1	1	950.8	289.5	220
NZ_AP028833.1	order#1	1	950.8	289.5	220
NZ_AP028838.1	order#1	1	950.8	289.5	220
NZ_AP028843.1	order#1	1	950.8	289.5	220
NZ_AP028848.1	order#1	1	950.8	289.5	220
NZ_AP028854.1	order#1	1	950.8	289.5	220
NZ_AP028859.1	order#1	1	950.8	289.5	220
NZ_CP006641.1	order#1	1	883.5	276.8	216
NZ_CP007231.1	order#3	1	821.5	253.3	211
NZ_CP009052.1	order#1	1	895.5	283.0	217
NZ_CP009105.1	order#1	4	582.4	278.4	217
NZ_CP009107.1	order#1	1	888.1	268.2	215
NZ_CP009566.1	order#1	1	887.2	276.8	216
NZ_CP010130.1	order#1	1	877.3	233.6	204
NZ_CP010142.1	order#1	1	948.0	289.9	220
NZ_CP010233.1	order#1	1	877.8	233.6	204
NZ_CP010317.1	order#4+	1	950.8	289.5	220
NZ_CP010383.2	order#4+	1	798.7	173.3	210
NZ_CP010385.1	split_2	1	798.7	173.3	210
NZ_CP010831.1	order#1	1	877.8	233.6	204
NZ_CP012564.1	order#3	1	757.3	116.0	207
NZ_CP012569.1	order#3	1	757.3	116.0	207
NZ_CP012627.1	order#1	1	887.2	276.8	216
NZ_CP012923.1	order#1	1	950.8	289.5	220
NZ_CP012929.1	order#1	1	950.8	289.5	220
NZ_CP012936.1	order#1	1	950.8	289.5	220
NZ_CP013024.1	split_2	1	897.3	278.4	217
NZ_CP013221.1	order#1	1	908.9	296.8	220
NZ_CP013224.1	order#1	1	908.9	296.8	220
NZ_CP013340.1	order#3	1	756.5	112.9	207
NZ_CP014096.2	split_2	1	887.2	276.8	216
NZ_CP014622.1	order#1	1	877.3	233.6	204
NZ_CP014662.1	order#1	1	908.9	296.8	220
NZ_CP014966.1	order#1	1	950.8	289.5	220
NZ_CP014972.2	order#1	1	950.8	289.5	220
NZ_CP015141.1	order#1	1	894.6	256.3	216
NZ_CP015161.1	split_2	1	915.6	294.9	220
NZ_CP015502.1	order#3	1	757.3	116.0	207
NZ_CP015640.1	order#3	2	806.4	242.3	213
NZ_CP015916.1	order#1	1	950.8	289.5	220
NZ_CP015996.1	order#1	1	908.9	296.8	220
NZ_CP016387.1	order#1	1	887.2	276.8	216
NZ_CP016407.1	order#1	1	949.5	289.9	220
NZ_CP016409.1	order#1	1	949.5	289.9	220
NZ_CP016411.1	order#1	1	949.5	289.9	220
NZ_CP016413.1	order#1	1	949.5	289.9	220
NZ_CP016516.1	order#1	1	950.8	289.5	220
NZ_CP016520.1	order#1	1	887.2	276.8	216
NZ_CP016522.1	order#1	1	950.8	289.5	220
NZ_CP016533.1	order#1	1	908.9	296.8	220
NZ_CP016548.1	order#4+	1	897.3	281.0	217
NZ_CP016568.1	order#1	1	950.8	289.5	220
NZ_CP016572.1	order#1	1	950.8	289.5	220
NZ_CP016585.1	order#1	1	908.9	296.8	220
NZ_CP016865.1	order#1	1	950.8	289.5	220
NZ_CP018104.1	order#1	1	949.9	289.5	220
NZ_CP018110.1	order#1	1	949.9	289.5	220
NZ_CP018116.1	order#1	1	949.9	289.5	220
NZ_CP018122.1	order#1	1	949.9	289.5	220
NZ_CP018341.1	split_2	1	759.3	113.5	207
NZ_CP018625.1	order#1	1	908.9	296.8	220
NZ_CP018638.1	order#1	1	877.8	232.7	204
NZ_CP018916.1	order#3	1	805.4	234.4	212
NZ_CP018918.1	order#3	1	803.9	231.5	212
NZ_CP018920.1	order#3	1	799.0	235.5	212
NZ_CP018946.1	split_2	1	887.2	276.1	216
NZ_CP018975.1	order#1	1	948.0	289.9	220
NZ_CP018993.1	order#1	1	914.7	296.3	220
NZ_CP019011.1	split_2	1	895.5	283.0	217
NZ_CP019065.1	order#3	1	750.3	205.6	219
NZ_CP019173.1	order#1	1	887.2	276.8	216
NZ_CP019205.1	order#1	1	887.2	276.8	216
NZ_CP019207.1	split_2	1	887.2	276.8	216
NZ_CP019215.2	order#1	1	950.8	290.2	220
NZ_CP019248.1	order#1	1	950.3	289.9	220
NZ_CP019252.1	split_2	1	883.5	276.8	216
NZ_CP019253.1	order#1	1	882.2	268.0	215
NZ_CP019358.1	order#1	1	948.0	289.9	220
NZ_CP019691.1	order#1	1	887.2	276.8	216
NZ_CP019873.1	order#3	2	830.6	285.8	216
NZ_CP019874.1	split_2	1	820.5	284.6	215
NZ_CP019905.1	order#1	1	950.8	289.5	220
NZ_CP019954.1	order#4+	1	891.4	216.5	160
NZ_CP019996.1	order#1	1	916.9	296.3	220
NZ_CP020050.1	order#3	1	757.3	116.0	207
NZ_CP020511.1	order#1	1	948.0	289.9	220
NZ_CP020547.1	order#1	1	877.8	233.6	204
NZ_CP021208.1	split_2	2	520.6	289.9	220
NZ_CP021660.1	order#4+	3	522.8	251.7	212
NZ_CP021662.1	order#4+	1	771.0	267.0	212
NZ_CP021687.1	order#3	1	757.3	116.0	207
NZ_CP021720.1	order#3	1	757.3	116.0	207
NZ_CP021758.1	order#3	1	757.3	116.0	207
NZ_CP021841.1	order#1	1	951.2	289.9	220
NZ_CP021845.1	order#1	1	951.2	289.9	220
NZ_CP022064.1	order#1	1	950.8	289.5	220
NZ_CP022456.1	order#1	1	877.8	232.7	204
NZ_CP022458.1	order#1	1	895.5	285.1	217
NZ_CP022673.1	order#1	1	886.1	232.5	166
NZ_CP022734.1	order#1	1	877.8	233.6	204
NZ_CP023356.1	order#1	1	887.2	276.8	216
NZ_CP023362.1	order#1	1	951.2	289.9	220
NZ_CP023365.1	split_2	1	908.9	296.8	220
NZ_CP023370.1	order#1	1	951.2	289.9	220
NZ_CP023376.1	order#1	1	908.9	296.8	220
NZ_CP023382.1	order#1	1	908.9	296.8	220
NZ_CP023385.1	order#1	1	887.2	276.8	216
NZ_CP023387.1	order#1	1	886.1	236.1	166
NZ_CP023534.1	order#1	1	877.8	232.7	204
NZ_CP023542.1	order#1	1	888.1	268.2	215
NZ_CP023571.1	order#4+	1	798.7	173.3	210
NZ_CP023985.1	order#3	1	759.3	113.5	207
NZ_CP024093.1	order#1	1	885.6	276.8	216
NZ_CP024146.1	order#1	1	950.7	289.9	220
NZ_CP024152.1	order#1	1	916.9	296.3	220
NZ_CP024154.1	order#1	1	885.8	232.5	166
NZ_CP024226.1	order#1	1	950.6	289.1	220
NZ_CP024230.1	order#1	1	452.8	289.1	220
NZ_CP024234.1	order#4+	1	887.2	276.8	216
NZ_CP024247.1	order#1	2	465.5	283.0	217
NZ_CP024254.1	order#4+	1	895.5	283.0	217
NZ_CP024285.1	split_2	1	908.9	296.8	220
NZ_CP024292.1	order#1	1	887.2	276.8	216
NZ_CP024431.1	split_2	1	757.3	116.0	207
NZ_CP024461.1	split_2	1	759.3	113.5	207
NZ_CP024468.1	order#1	3	877.8	285.4	220
NZ_CP024481.1	order#1	1	948.0	289.5	220
NZ_CP024681.1	order#4+	1	808.9	169.7	210
NZ_CP024714.1	order#3	1	822.2	281.7	215
NZ_CP024822.1	order#1	1	950.3	289.9	220
NZ_CP024835.1	order#3	1	757.3	116.0	207
NZ_CP024839.1	order#3	1	757.3	116.0	207
NZ_CP024854.1	order#1	1	887.2	276.8	216
NZ_CP024918.1	order#1	1	886.9	276.8	216
NZ_CP025239.1	order#1	1	877.8	233.6	204
NZ_CP025255.1	order#4+	1	876.9	238.9	204
NZ_CP025279.1	order#1	1	950.8	289.5	220
NZ_CP025339.1	order#1	1	951.2	289.9	220
NZ_CP025455.1	order#4+	1	916.9	296.3	220
NZ_CP025625.1	order#1	1	886.1	234.0	166
NZ_CP025709.1	order#1	1	951.2	289.9	220
NZ_CP025751.1	order#1	1	877.8	233.6	204
NZ_CP026557.1	order#3	2	538.8	292.4	216
NZ_CP026563.1	order#3	2	830.3	285.7	216
NZ_CP026726.1	order#1	1	951.2	289.9	220
NZ_CP026770.1	order#1	1	886.1	232.5	166
NZ_CP026778.1	order#4+	2	657.8	267.4	219
NZ_CP026855.1	order#1	1	894.6	256.3	216
NZ_CP026941.2	order#1	1	885.1	276.8	216
NZ_CP027127.1	order#1	1	950.8	289.5	220
NZ_CP027135.1	order#1	1	887.2	276.8	216
NZ_CP027261.1	order#3	3	659.8	115.2	226
NZ_CP027324.1	order#1	1	887.9	252.8	216
NZ_CP027327.1	order#1	1	876.7	233.6	204
NZ_CP027333.1	order#1	2	887.2	127.2	86
NZ_CP027334.1	order#4+	1	897.9	268.5	215
NZ_CP027370.1	order#1	1	890.2	255.1	216
NZ_CP027372.1	order#1	1	893.3	254.6	216
NZ_CP027374.1	order#1	1	925.5	288.5	220
NZ_CP027383.1	order#4+	1	897.3	278.4	217
NZ_CP027395.1	split_2	2	474.6	232.7	204
NZ_CP027409.1	order#1	1	908.9	296.8	220
NZ_CP027415.1	order#1	1	950.8	289.5	220
NZ_CP027441.1	order#1	1	893.3	254.6	216
NZ_CP027451.1	order#1	1	893.3	254.6	216
NZ_CP027453.1	order#1	1	884.1	269.0	214
NZ_CP027463.1	order#1	1	894.2	263.0	215
NZ_CP027535.1	order#1	1	887.2	276.8	216
NZ_CP027585.1	order#1	1	896.0	254.6	216
NZ_CP027600.1	order#1	2	525.1	278.4	217
NZ_CP028120.1	order#1	1	885.0	273.9	214
NZ_CP028168.1	order#1	1	908.9	296.8	220
NZ_CP028178.1	order#3	1	756.5	112.9	207
NZ_CP028274.1	split_2	1	797.9	173.9	210
NZ_CP028312.1	split_2	1	908.9	296.8	220
NZ_CP028315.1	order#1	1	950.8	289.5	220
NZ_CP028352.1	order#3	1	731.8	185.0	221
NZ_CP028382.1	order#1	1	897.1	254.6	216
NZ_CP028485.1	order#1	1	949.5	289.9	220
NZ_CP028611.1	order#1	1	887.3	268.9	214
NZ_CP029058.1	order#1	1	885.1	276.8	216
NZ_CP029110.1	order#1	1	950.8	289.5	220
NZ_CP029382.1	order#3	1	759.3	113.5	207
NZ_CP029733.1	order#4+	1	810.2	169.7	210
NZ_CP029742.1	order#1	1	881.3	270.2	214
NZ_CP029837.1	order#1	1	950.3	289.5	220
NZ_CP029903.1	order#1	1	877.8	232.7	204
NZ_CP029975.1	split_2	1	950.8	289.5	220
NZ_CP029990.1	order#4+	1	877.5	239.4	204
NZ_CP030000.1	order#1	1	950.8	289.5	220
NZ_CP030003.1	order#1	1	927.3	288.5	220
NZ_CP030025.1	order#1	1	950.8	289.5	220
NZ_CP030079.1	order#4+	1	810.2	169.7	210
NZ_CP030155.1	split_2	1	887.2	276.8	216
NZ_CP030191.1	order#1	1	877.8	233.6	204
NZ_CP030204.1	order#4+	2	739.4	265.6	217
NZ_CP030218.1	order#4+	2	872.7	114.8	81
NZ_CP030232.1	order#1	1	887.2	276.8	216
NZ_CP030234.1	order#1	1	950.8	289.5	220
NZ_CP030282.1	order#1	1	887.2	276.8	216
NZ_CP030289.1	split_2	1	865.2	266.9	217
NZ_CP030307.1	order#1	1	951.6	290.2	220
NZ_CP030309.1	order#3	1	759.3	113.5	207
NZ_CP030340.1	order#1	1	877.3	234.2	204
NZ_CP030350.1	order#4+	1	798.7	173.3	210
NZ_CP030921.1	order#1	1	886.6	277.7	216
NZ_CP031111.1	split_2	1	915.6	296.3	220
NZ_CP031261.1	order#3	1	759.3	113.5	207
NZ_CP031572.1	order#4+	1	798.7	173.3	210
NZ_CP031615.1	order#1	1	877.8	233.6	204
NZ_CP031899.1	order#1	1	896.0	254.6	216
NZ_CP031903.1	split_2	1	877.8	232.7	204
NZ_CP031937.1	split_2	1	759.3	113.5	207
NZ_CP032188.1	split_2	1	757.3	116.0	207
NZ_CP032236.1	order#3	2	659.0	107.3	226
NZ_CP032243.1	order#3	1	759.3	113.5	207
NZ_CP032260.1	order#1	1	894.2	285.1	217
NZ_CP032264.1	order#1	1	950.8	289.5	220
NZ_CP032445.1	order#1	1	877.8	233.6	204
NZ_CP032495.1	order#1	1	877.8	233.6	204
NZ_CP032524.1	order#1	1	877.8	232.7	204
NZ_CP032880.1	order#1	1	891.2	283.1	217
NZ_CP032888.1	order#1	1	877.8	233.6	204
NZ_CP033633.1	split_2	1	884.1	270.2	214
NZ_CP033743.1	split_2	1	807.4	170.3	210
NZ_CP033775.1	order#3	1	759.3	113.5	207
NZ_CP033883.1	order#1	1	895.5	283.0	217
NZ_CP033957.1	order#3	1	759.3	113.5	207
NZ_CP033963.1	order#1	1	877.8	233.6	204
NZ_CP034126.1	order#3	1	759.3	113.5	207
NZ_CP034699.1	order#3	1	704.1	113.7	216
NZ_CP034804.1	split_2	1	887.2	276.8	216
NZ_CP035035.1	order#3	1	746.5	184.8	222
NZ_CP035205.1	order#3	1	759.3	113.5	207
NZ_CP035208.1	order#3	1	759.3	113.5	207
NZ_CP035213.1	order#3	1	759.3	113.5	207
NZ_CP035469.1	split_2	1	889.3	276.8	216
NZ_CP035721.1	split_2	1	889.3	276.8	216
NZ_CP035813.1	order#1	1	894.8	242.8	178
NZ_CP035830.1	split_2	1	950.6	289.1	220
NZ_CP035834.1	order#1	1	890.2	276.8	216
NZ_CP035840.1	order#1	1	950.6	289.1	220
NZ_CP035852.1	split_2	1	894.2	285.1	217
NZ_CP035854.1	order#1	1	950.6	289.1	220
NZ_CP035859.1	order#1	1	950.6	289.1	220
NZ_CP035862.1	order#1	1	884.8	232.3	166
NZ_CP035866.1	order#1	1	886.1	232.5	166
NZ_CP035871.1	order#1	1	895.5	283.0	217
NZ_CP035877.1	split_2	1	894.8	242.8	178
NZ_CP036203.1	order#1	1	905.1	295.0	220
NZ_CP036446.1	split_2	1	755.1	116.0	207
NZ_CP037942.1	split_2	1	897.9	268.5	215
NZ_CP037994.1	order#1	1	915.6	296.3	220
NZ_CP038347.1	order#1	1	885.5	276.8	216
NZ_CP038417.1	order#1	1	890.4	276.8	216
NZ_CP038468.1	split_2	1	810.2	169.7	210
NZ_CP038793.1	order#1	1	895.0	254.1	216
NZ_CP039299.1	order#1	1	950.8	290.2	220
NZ_CP039442.1	split_2	1	949.5	289.9	220
NZ_CP039444.1	order#1	1	949.5	289.9	220
NZ_CP039446.1	split_2	1	949.5	289.9	220
NZ_CP039475.1	order#1	1	950.8	288.7	220
NZ_CP039490.1	split_2	1	877.8	233.6	204
NZ_CP039604.1	split_2	1	950.8	289.5	220
NZ_CP039714.1	order#4+	1	887.2	276.8	216
NZ_CP040264.1	order#1	1	897.9	278.4	217
NZ_CP040270.1	order#1	1	948.0	289.9	220
NZ_CP040455.1	order#1	1	896.1	285.1	217
NZ_CP040536.1	order#1	1	877.8	233.6	204
NZ_CP040542.1	order#1	1	877.8	233.6	204
NZ_CP040548.1	order#1	1	877.8	233.6	204
NZ_CP041095.1	order#3	1	759.3	113.5	207
NZ_CP041376.1	split_2	1	759.3	113.5	207
NZ_CP041394.1	order#4+	1	877.8	233.6	204
NZ_CP041413.1	order#1	1	887.2	276.8	216
NZ_CP041441.1	order#1	1	877.8	233.6	204
NZ_CP041621.1	split_2	1	887.2	276.8	216
NZ_CP041679.1	order#1	1	882.4	276.8	216
NZ_CP041959.1	order#1	1	895.2	256.3	216
NZ_CP042248.1	order#1	1	877.3	234.2	204
NZ_CP042496.1	order#1	1	801.7	179.3	210
NZ_CP042885.1	order#4+	1	883.0	266.2	214
NZ_CP042886.1	order#1	1	877.8	232.7	204
NZ_CP042944.1	order#1	1	916.2	296.3	220
NZ_CP043035.1	order#1	1	887.4	266.2	215
NZ_CP043228.1	split_2	1	950.8	289.5	220
NZ_CP043263.1	order#1	1	889.2	274.2	216
NZ_CP043268.1	order#1	1	950.8	289.5	220
NZ_CP043285.1	order#1	1	882.2	232.4	166
NZ_CP043319.1	order#4+	1	798.7	173.3	210
NZ_CP043828.1	order#1	1	877.8	233.6	204
NZ_CP043943.1	order#1	1	950.8	289.5	220
NZ_CP043947.1	order#1	1	950.8	289.5	220
NZ_CP044137.1	order#1	1	908.9	257.2	178
NZ_CP044183.1	order#1	1	950.8	289.5	220
NZ_CP044960.1	order#1	2	832.9	290.2	220
NZ_CP045189.1	split_2	1	877.5	232.7	204
NZ_CP045210.1	order#1	1	896.0	254.6	216
NZ_CP045214.1	order#1	1	896.0	254.6	216
NZ_CP045244.1	split_2	1	730.3	185.6	221
NZ_CP045251.1	order#3	1	736.4	190.1	221
NZ_CP045467.1	order#1	1	951.2	289.9	220
NZ_CP045519.1	order#1	1	951.2	289.9	220
NZ_CP045523.1	order#1	1	877.8	232.7	204
NZ_CP045527.1	split_2	1	665.9	289.9	220
NZ_CP045557.1	order#4+	1	798.1	169.0	210
NZ_CP045742.1	order#4+	1	950.3	289.9	220
NZ_CP045756.1	split_2	1	877.8	233.6	204
NZ_CP045763.1	order#1	1	908.9	296.8	220
NZ_CP045838.1	order#4+	1	798.1	169.0	210
NZ_CP045841.1	order#4+	1	798.1	169.0	210
NZ_CP045951.1	order#1	1	950.3	287.2	220
NZ_CP046136.1	split_2	2	632.8	180.9	224
NZ_CP046284.1	order#1	1	890.4	277.4	216
NZ_CP046504.1	order#4+	1	810.2	169.7	210
NZ_CP047012.1	order#1	1	950.8	289.5	220
NZ_CP047195.1	order#3	1	759.3	113.5	207
NZ_CP047524.1	order#1	1	948.0	289.9	220
NZ_CP047539.1	order#1	1	948.0	289.9	220
NZ_CP047572.1	order#1	1	949.5	289.9	220
NZ_CP047578.1	order#1	1	949.5	289.9	220
NZ_CP047716.1	order#4+	1	798.7	173.3	210
NZ_CP047731.1	order#4+	1	798.7	173.3	210
NZ_CP047882.1	order#1	1	887.2	276.8	216
NZ_CP047968.1	order#4+	1	798.7	173.3	210
NZ_CP048361.1	order#1	1	877.8	233.6	204
NZ_CP048612.1	order#1	1	950.3	289.9	220
NZ_CP048824.1	order#1	1	877.8	233.6	204
NZ_CP049117.1	split_2	1	725.4	194.9	223
NZ_CP049120.1	order#1	1	887.2	275.1	216
NZ_CP049176.1	split_2	1	890.4	276.8	216
NZ_CP049178.1	order#1	1	890.4	276.8	216
NZ_CP049180.1	split_2	1	890.4	276.8	216
NZ_CP049350.1	split_2	2	523.5	289.5	220
NZ_CP049844.1	split_2	1	887.2	276.8	216
NZ_CP049846.1	order#1	1	895.5	283.0	217
NZ_CP050361.1	order#3	1	757.3	116.0	207
NZ_CP050373.1	order#3	1	757.3	116.0	207
NZ_CP050758.1	order#1	1	916.9	296.3	220
NZ_CP050812.1	order#4+	1	798.7	173.3	210
NZ_CP050857.1	order#3	1	726.2	203.1	218
NZ_CP051282.1	order#4+	2	581.4	233.6	204
NZ_CP051312.1	order#1	1	950.8	289.5	220
NZ_CP051314.1	split_2	1	935.4	289.5	220
NZ_CP051318.1	order#4+	1	877.8	232.7	204
NZ_CP051343.1	order#1	1	950.8	289.5	220
NZ_CP051351.1	split_2	1	908.9	296.8	220
NZ_CP051354.1	order#1	1	908.9	296.8	220
NZ_CP051371.1	order#1	1	908.9	296.8	220
NZ_CP051383.1	order#1	1	908.9	296.8	220
NZ_CP051405.1	order#1	1	950.8	289.5	220
NZ_CP051411.1	order#1	1	908.7	296.8	220
NZ_CP051420.1	split_2	1	877.8	233.6	204
NZ_CP051702.1	order#1	1	892.9	283.0	217
NZ_CP051713.1	order#1	1	894.6	256.3	216
NZ_CP051720.1	order#1	1	885.4	232.5	166
NZ_CP051745.1	order#1	1	951.2	289.9	220
NZ_CP052880.1	order#1	1	950.8	290.7	220
NZ_CP053081.1	order#1	1	950.3	289.9	220
NZ_CP053235.1	split_2	1	891.1	252.4	216
NZ_CP053253.1	order#1	1	888.9	275.0	216
NZ_CP053379.1	order#3	1	804.4	235.0	212
NZ_CP053560.1	order#1	1	885.1	276.8	216
NZ_CP053677.1	order#1	1	885.1	276.8	216
NZ_CP053678.1	order#1	1	885.1	276.8	216
NZ_CP053679.1	order#1	1	885.1	276.8	216
NZ_CP053733.1	split_2	1	885.9	270.3	214
NZ_CP053754.1	order#1	1	887.2	276.8	216
NZ_CP053786.1	order#1	1	885.1	276.8	216
NZ_CP053788.1	order#1	1	885.1	276.8	216
NZ_CP053867.1	order#1	1	908.9	296.8	220
NZ_CP053868.1	order#1	1	908.9	296.8	220
NZ_CP053872.1	order#1	1	908.9	296.8	220
NZ_CP053873.1	order#1	1	908.9	296.8	220
NZ_CP054216.1	order#1	1	941.0	285.4	220
NZ_CP054221.1	order#1	1	886.6	277.7	216
NZ_CP054354.1	order#1	1	894.2	285.1	217
NZ_CP054380.1	order#1	1	895.5	283.0	217
NZ_CP054413.1	order#1	1	888.9	275.0	216
NZ_CP054723.1	order#3	1	759.0	113.5	207
NZ_CP054729.1	order#3	1	759.0	113.5	207
NZ_CP054735.1	order#3	1	759.0	113.5	207
NZ_CP054741.1	order#3	1	759.0	113.5	207
NZ_CP054747.1	order#3	1	759.0	113.5	207
NZ_CP054753.1	order#3	1	759.0	113.5	207
NZ_CP054759.1	order#3	1	759.0	113.5	207
NZ_CP054765.1	order#3	1	759.0	113.5	207
NZ_CP054771.1	order#3	1	759.0	113.5	207
NZ_CP054777.1	order#3	1	759.0	113.5	207
NZ_CP054783.1	order#3	1	759.0	113.5	207
NZ_CP054943.1	order#1	1	948.0	289.9	220
NZ_CP055101.1	order#1	1	915.6	296.3	220
NZ_CP055111.1	order#1	1	916.9	296.3	220
NZ_CP055115.1	order#1	1	882.2	268.0	215
NZ_CP055196.1	order#1	1	883.5	276.8	216
NZ_CP055202.1	order#1	1	915.6	296.3	220
NZ_CP055221.1	split_2	1	759.3	113.5	207
NZ_CP055261.1	order#1	1	950.8	290.2	220
NZ_CP055297.1	order#3	1	759.3	113.5	207
NZ_CP055601.1	order#1	1	876.7	233.6	204
NZ_CP056076.1	order#1	1	439.0	281.0	217
NZ_CP056917.1	order#1	1	873.9	234.2	204
NZ_CP056937.1	order#1	1	873.9	234.2	204
NZ_CP056952.1	order#1	1	873.9	234.2	204
NZ_CP057212.1	order#1	1	873.1	233.7	204
NZ_CP057217.1	order#1	1	873.1	233.7	204
NZ_CP057245.1	order#1	1	873.1	234.2	204
NZ_CP057464.1	order#1	1	948.0	289.5	220
NZ_CP057562.1	order#1	1	878.2	233.6	204
NZ_CP057566.1	order#1	1	878.2	233.6	204
NZ_CP057659.1	order#1	1	887.2	276.8	216
NZ_CP057682.1	order#1	1	950.8	289.5	220
NZ_CP057897.1	order#1	1	873.9	234.2	204
NZ_CP057919.1	order#1	1	873.9	234.2	204
NZ_CP058058.1	order#1	1	908.9	296.8	220
NZ_CP058210.1	order#1	1	877.5	233.6	204
NZ_CP058225.1	split_2	1	894.5	263.0	215
NZ_CP058230.1	order#1	1	887.2	276.8	216
NZ_CP058304.1	order#1	1	950.8	290.2	220
NZ_CP058360.1	order#1	1	886.1	232.5	166
NZ_CP058363.1	split_2	1	886.1	232.5	166
NZ_CP058572.1	split_2	1	885.1	276.8	216
NZ_CP058573.1	split_2	1	895.5	283.0	217
NZ_CP058811.1	order#1	1	950.8	289.5	220
NZ_CP058876.1	order#1	1	877.8	233.6	204
NZ_CP058882.1	order#1	1	877.8	232.7	204
NZ_CP059004.1	order#1	1	886.1	232.5	166
NZ_CP059121.1	order#1	1	951.2	289.9	220
NZ_CP059484.1	split_2	1	520.6	169.7	205
NZ_CP059837.1	order#1	1	877.8	233.6	204
NZ_CP059909.1	order#1	1	885.1	276.8	216
NZ_CP059919.1	order#1	1	908.9	296.8	220
NZ_CP060277.1	split_2	1	801.7	235.6	212
NZ_CP060513.1	order#1	1	951.6	290.2	220
NZ_CP060593.1	order#3	1	760.8	128.7	217
NZ_CP060745.1	split_2	1	759.3	113.5	207
NZ_CP060749.1	order#1	1	882.2	268.0	215
NZ_CP060869.1	order#1	1	915.6	296.3	220
NZ_CP060875.1	order#1	1	910.1	296.3	220
NZ_CP060881.1	order#1	1	895.5	283.0	217
NZ_CP060887.1	order#1	1	948.0	289.9	220
NZ_CP060904.1	order#1	1	948.0	289.9	220
NZ_CP060910.1	order#1	1	948.0	289.9	220
NZ_CP060947.1	order#1	1	949.5	289.9	220
NZ_CP060951.1	order#1	1	949.5	289.9	220
NZ_CP060965.1	order#1	1	948.0	289.9	220
NZ_CP060981.1	order#1	1	950.3	289.9	220
NZ_CP060989.1	order#1	1	877.8	233.6	204
NZ_CP061760.1	order#1	1	896.0	254.5	220
NZ_CP062213.1	order#1	1	948.0	289.9	220
NZ_CP062812.1	order#1	1	885.1	276.8	216
NZ_CP062825.1	order#1	1	885.1	277.2	216
NZ_CP062862.1	order#1	1	885.1	276.8	216
NZ_CP062866.1	order#1	1	885.1	276.8	216
NZ_CP062869.1	order#1	1	885.1	276.8	216
NZ_CP062873.1	order#1	1	885.1	276.8	216
NZ_CP062877.1	order#1	1	885.1	276.8	216
NZ_CP062892.1	order#1	1	885.1	276.8	216
NZ_CP062903.1	order#1	1	885.1	276.8	216
NZ_CP062907.1	order#1	1	885.1	276.8	216
NZ_CP062913.1	order#1	1	885.1	276.8	216
NZ_CP062977.1	order#1	1	951.2	289.9	220
NZ_CP062980.1	order#1	1	908.9	296.8	220
NZ_CP063230.1	order#3	1	800.7	231.5	212
NZ_CP063290.1	order#1	1	951.2	289.9	220
NZ_CP063296.1	order#1	1	951.2	289.9	220
NZ_CP063355.1	order#3	1	802.7	235.0	212
NZ_CP063371.1	order#1	1	908.9	296.8	220
NZ_CP063464.1	order#4+	4	586.5	233.6	204
NZ_CP063494.1	order#1	1	894.8	253.1	216
NZ_CP063763.1	order#3	1	759.3	113.5	207
NZ_CP063836.1	order#3	1	759.3	113.5	207
NZ_CP063923.1	split_2	1	418.6	275.0	216
NZ_CP064107.1	split_2	1	895.2	256.3	216
NZ_CP064130.1	order#3	1	759.3	113.5	207
NZ_CP064215.1	order#3	1	759.3	113.5	207
NZ_CP064219.1	order#3	1	759.3	113.5	207
NZ_CP064225.1	order#3	1	759.3	113.5	207
NZ_CP064238.1	order#3	1	759.3	113.5	207
NZ_CP064244.1	split_2	1	759.3	113.5	207
NZ_CP064254.1	order#1	1	886.1	232.5	166
NZ_CP064261.1	order#3	1	759.3	113.5	207
NZ_CP064265.1	order#1	1	950.8	289.5	220
NZ_CP065063.1	order#1	1	951.2	289.9	220
NZ_CP065101.1	order#1	1	951.2	289.9	220
NZ_CP065109.1	order#1	1	951.2	289.9	220
NZ_CP065122.1	order#1	1	951.2	289.9	220
NZ_CP065126.1	order#1	1	951.2	289.9	220
NZ_CP065129.1	order#1	1	951.2	289.9	220
NZ_CP065468.1	order#1	1	951.2	289.9	220
NZ_CP065569.2	order#1	1	951.2	289.9	220
NZ_CP065573.1	order#1	1	916.9	296.3	220
NZ_CP065969.1	split_2	1	887.2	276.0	216
NZ_CP066010.1	order#1	1	908.9	296.8	220
NZ_CP066034.1	order#1	1	911.8	296.0	220
NZ_CP066103.1	order#4+	1	798.7	173.3	210
NZ_CP066110.1	order#4+	1	798.7	173.3	210
NZ_CP066154.1	order#3	1	759.3	113.5	207
NZ_CP066252.1	order#3	1	759.3	113.5	207
NZ_CP066257.1	order#3	1	759.3	113.5	207
NZ_CP066268.1	order#3	2	846.0	281.5	214
NZ_CP066272.1	order#3	2	842.8	260.4	215
NZ_CP066749.1	split_2	1	887.2	276.8	216
NZ_CP066754.1	order#1	1	885.5	276.8	216
NZ_CP066838.1	order#1	1	885.6	276.8	216
NZ_CP066907.1	order#3	1	759.3	113.5	207
NZ_CP067233.1	order#1	1	887.1	276.8	216
NZ_CP067382.1	order#3	1	759.3	113.5	207
NZ_CP068044.1	order#1	1	877.8	233.6	204
NZ_CP069173.1	order#1	1	882.2	268.0	215
NZ_CP069176.1	split_2	1	759.0	113.5	207
NZ_CP069204.1	order#3	1	757.3	116.0	207
NZ_CP069452.1	order#1	1	886.1	232.5	166
