element_id	role	tier	expected_organism	source	accver	length	organism	organism_ok	is_derivative	title
pLS20	positive	B	Bacillus subtilis	plsdb	NC_015148.1	65774		YES		Bacillus subtilis subsp. natto plasmid pLS20, complete sequence
pLS20	positive	B	Bacillus subtilis	ncbi	AB615352.1	65774	Bacillus subtilis subsp. natto	YES		Bacillus subtilis subsp. natto plasmid pLS20 DNA, complete sequence, strain: IFO 3335
pLS20	positive	B	Bacillus subtilis	ncbi	U26059.1	3136	Bacillus subtilis	YES		Bacillus subtilis plasmid pLS20 replication region and putative phosphatase gene, complete cds
pLS20	positive	B	Bacillus subtilis	ncbi	GQ337014.1	3491	Bacillus subtilis	YES		Bacillus subtilis strain IF03335 plasmid pLS20 Alp7A (alp7A) and Alp7R (alp7R) genes, complete cds
pCF10	positive	B	Enterococcus faecalis	plsdb	NC_006827.2	67673		YES		Enterococcus faecalis plasmid pCF10, complete sequence
pCF10	positive	B	Enterococcus faecalis	ncbi	AY855841.2	67673	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pCF10, complete sequence
pCF10	positive	B	Enterococcus faecalis	ncbi	AY288104.1	1786	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pCF10 putative relaxase (pcfG) gene, complete cds
pAD1	positive	B	Enterococcus faecalis	plsdb	NZ_CP046109.1	74657		YES		Enterococcus faecalis strain 133170041-3 plasmid pAD1, complete sequence
pAD1	positive	B	Enterococcus faecalis	ncbi	CP046109.1	74657	Enterococcus faecalis	YES		Enterococcus faecalis strain 133170041-3 plasmid pAD1, complete sequence
pAD1	positive	B	Enterococcus faecalis	ncbi	AF394225.1	1000	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pAD1 CylR1 (cylR1) and CylR2 (cylR2) genes, complete cds
pAD1	positive	B	Enterococcus faecalis	ncbi	AF343839.1	1892	Enterococcus faecalis OG1X	YES		Enterococcus faecalis strain OG1X plasmid pAD1 conjugation protein gene, complete cds; and unknown gene
pAD1	positive	B	Enterococcus faecalis	ncbi	U00681.1	1509	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pAD1 TraB (traB) gene, complete cds (traC) and (repA) genes, partial cds
pAD1	positive	B	Enterococcus faecalis	ncbi	AH011360.2	23020	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pAD1 putative ssb protein, putative DNA nuclease, putative transcription regulat
pAD1	positive	B	Enterococcus faecalis	ncbi	AB007844.1	2972	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pAD1 uvrC, uvrB, uvrA genes, complete cds
pAM373	negative	A	Enterococcus faecalis	plsdb	NC_002630.1	36804		YES		Enterococcus faecalis plasmid pAM373, complete sequence
pAM373	negative	A	Enterococcus faecalis	ncbi	AE002565.1	36804	Enterococcus faecalis	YES		Enterococcus faecalis plasmid pAM373, complete sequence
RSF1010	negative	A	NA	ncbi	NG_047464.1	1037	Escherichia coli	unasserted		Escherichia coli plasmid RSF1010 aph(6)-Id gene for aminoglycoside O-phosphotransferase APH(6)-Id, complete CD
RSF1010	negative	A	NA	ncbi	NG_047412.1	966	Escherichia coli	unasserted		Escherichia coli plasmid RSF1010 aph(3'')-Ib gene for aminoglycoside O-phosphotransferase APH(3'')-Ib, complet
RSF1010	negative	A	NA	ncbi	NC_001740.1	8684	Escherichia coli	unasserted		Escherichia coli plasmid RSF1010, complete sequence
RSF1010	negative	A	NA	ncbi	M28829.1	8684	Escherichia coli	unasserted		Escherichia coli plasmid RSF1010, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP118263.1	157890		YES		Agrobacterium vitis strain T60/94 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048576.1	222621		YES		Agrobacterium tumefaciens strain cl001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048526.1	203341		YES		Agrobacterium tumefaciens strain Sta004 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048596.1	177577		YES		Agrobacterium tumefaciens strain But001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048467.1	194792		YES		Agrobacterium tumefaciens strain Yub002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP118250.1	203380		NO		Rhizobium rhizogenes strain C16/80 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048587.1	177576		YES		Agrobacterium pusense strain CC001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048572.1	252582		YES		Agrobacterium tumefaciens strain Gle001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048531.1	177577		YES		Agrobacterium tumefaciens strain Sta003 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048495.1	184669		YES		Agrobacterium tumefaciens strain Tul001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048521.1	214233		YES		Agrobacterium tumefaciens strain Sta005 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048535.1	252582		YES		Agrobacterium tumefaciens strain Sta002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048567.1	209962		YES		Agrobacterium tumefaciens strain Gle002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048500.1	209936		YES		Agrobacterium tumefaciens strain Teh002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048516.1	209962		YES		Agrobacterium tumefaciens strain Sut001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048546.1	177579		YES		Agrobacterium tumefaciens strain SJ001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048480.1	177577		YES		Agrobacterium tumefaciens strain Yol001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048505.1	209960		YES		Agrobacterium tumefaciens strain Teh001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048561.1	252603		YES		Agrobacterium fabrum strain Kin001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048554.1	252603		YES		Agrobacterium tumefaciens strain Kin002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048476.1	177577		YES		Agrobacterium tumefaciens strain Yol002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048484.1	252582		YES		Agrobacterium tumefaciens strain Tul004 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048511.1	209960		YES		Agrobacterium tumefaciens strain Sut002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP048542.1	177577		YES		Agrobacterium tumefaciens strain SJ002 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	CP048550.1	170004		YES		Agrobacterium tumefaciens strain Kin003 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	CP048488.1	252582		YES		Agrobacterium tumefaciens strain Tul003 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	CP048472.1	177576		YES		Agrobacterium tumefaciens strain Yub001 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000035.1	189226		YES		Agrobacterium sp. strain EHA101 plasmid pTi_EHA101, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000034.1	182368		YES		Agrobacterium sp. strain C58PMP90 plasmid pTi_C58PMP90, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000036.1	180882		YES		Agrobacterium fabrum str. C58 substr. GV3101 plasmid pTi_GV3101, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000037.1	139561		YES		Agrobacterium sp. strain LBA4404 plasmid pTi_LBA4404, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000063.1	177558		YES		Agrobacterium fabrum strain CFBP6549 plasmid pTi_CFBP6549, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000060.1	218220		YES		Agrobacterium radiobacter strain CFBP2407 plasmid pTi_CFBP2407, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000056.1	159663		YES		Agrobacterium vitis strain Tun201 plasmid pTi_Tun201, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000051.1	216754		YES		Agrobacterium tumefaciens strain CFBP5503 plasmid pTi_CFBP5503, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000046.1	178205		YES		Agrobacterium tumefaciens strain CFBP2177 plasmid pTi_CFBP2177, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000026.1	228503		YES		Agrobacterium genomosp. 6 strain CFBP1873 plasmid pTi_CFBP1873, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000075.1	231210		YES		Agrobacterium vitis strain CFBP2681 plasmid pTi_CFBP2681, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000047.1	185402		YES		Agrobacterium tumefaciens strain CFBP2516 plasmid pTi_CFBP2516, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000061.1	194259		YES		Agrobacterium radiobacter strain CFBP2413 plasmid pTi_CFBP2413, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000054.1	218289		YES		Agrobacterium radiobacter strain Tun154 plasmid pTi_Tun154, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000053.1	217655		YES		Agrobacterium tumefaciens strain DC12-001 plasmid pTi_DC12-001, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000048.1	217843		NO		Rhizobium rhizogenes strain CFBP2746 plasmid pTi_CFBP2746, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000043.1	238155		NO		Rhizobium rhizogenes strain CFBP1905 plasmid pTi_CFBP1905, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000029.1	220031		YES		Agrobacterium genomosp. 6 strain CFBP5499 plasmid pTi_CFBP5499, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000071.1	211026		YES		Agrobacterium radiobacter strain Tun183 plasmid pTi_Tun183, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000055.1	217272		YES		Agrobacterium rubi strain Tun159 plasmid pTi_Tun159, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000040.1	214233		YES		Agrobacterium fabrum strain C58 plasmid pTi_C58, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000049.1	218205		NO		Rhizobium rhizogenes strain CFBP4423 plasmid pTi_CFBP4423, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000057.1	203533		YES		Agrobacterium fabrum strain CFBP5505 plasmid pTi_CFBP5505, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000052.1	217804		YES		Agrobacterium radiobacter strain CFBP7000 plasmid pTi_CFBP7000, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000074.1	215564		YES		Agrobacterium larrymoorei strain CFBP5481 plasmid pTi_CFBP5481, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000073.1	201992		YES		Agrobacterium radiobacter strain Tun188 plasmid pTi_Tun188, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000062.1	237718		YES		Agrobacterium tomkonis strain CFBP4424 plasmid pTi_CFBP4424, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000050.1	177135		YES		Agrobacterium radiobacter strain CFBP4442 plasmid pTi_CFBP4442, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000044.1	203551		YES		Agrobacterium fabrum strain CFBP1933 plasmid pTi_CFBP1933, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000030.1	191583		YES		Agrobacterium tumefaciens strain CFBP5767 plasmid pTi_CFBP5767, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000066.1	194466		YES	YES	Agrobacterium deltaense strain CFBP7129 plasmid pTi_CFBP7129, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000028.1	193011		YES		Agrobacterium tumefaciens strain CFBP2712 plasmid pTi_CFBP2712, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000065.1	183209		YES		Agrobacterium radiobacter strain CFBP7128 plasmid pTi_CFBP7128, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000041.1	206707		YES		Agrobacterium radiobacter strain CFBP296 plasmid pTi_CFBP296, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000031.1	204033		YES		Agrobacterium tumefaciens strain Tun198 plasmid pTi_Tun198, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000027.1	197348		NO		Rhizobium rhizogenes strain CFBP2692 plasmid pTi_CFBP2692, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000070.1	186980		YES		Agrobacterium radiobacter strain Tun178 plasmid pTi_Tun178, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000068.1	200539		YES	YES	Agrobacterium deltaense strain Tun151 plasmid pTi_Tun151, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000058.1	185662		NO		Rhizobium rhizogenes strain CFBP1317 plasmid pTi_CFBP1317, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000069.1	209570		YES	YES	Agrobacterium deltaense strain Tun176 plasmid pTi_Tun176, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000064.1	187163		YES		Agrobacterium radiobacter strain CFBP7126 plasmid pTi_CFBP7126, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000039.1	204399		YES	YES	Agrobacterium deltaense strain Tun180 plasmid pTi_Tun180, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000025.1	220031		YES		Agrobacterium genomosp. 6 strain AR125 plasmid pTi_AR125, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000059.1	186866		YES		Agrobacterium radiobacter strain CFBP1898 plasmid pTi_CFBP1898, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_KY000032.1	193028		YES		Agrobacterium fabrum strain CFBP2788 plasmid pTi_CFBP2788, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP042277.1	177577		YES		Agrobacterium tumefaciens strain 186 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	plsdb	NZ_CP011249.1	194264		YES		Agrobacterium tumefaciens strain Ach5 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	DQ058764.1	244978	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens Ti plasmid pTiBo542, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	AF242881.1	194140	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens octopine-type Ti plasmid, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	M77784.1	3268	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens octopine Ti plasmid transport protein (occQ, occM, occP, and occT) genes, complete c
Ti	candidate	B	Agrobacterium	ncbi	M65107.1	987	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens nopaline Ti plasmid pTiC58 NOCR (nocR) gene, complete cds
Ti	candidate	B	Agrobacterium	ncbi	U16142.1	1154	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens Ti plasmid DNA-binding protein VirG gene, complete cds, and VirB11 gene, partial cds
Ti	candidate	B	Agrobacterium	ncbi	U16786.1	1496	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens plasmid Ti plasmid pTiR10 TraM (traM) gene, complete cds
Ti	candidate	B	Agrobacterium	ncbi	AF534915.1	5887	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens octopine type Ti plasmid pTiB6S3TraC oph gene cluster, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	AF065242.2	38235	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens chrysopine-type Ti plasmid pTiChry5 right T-DNA and amadori opine catabolic locus, c
Ti	candidate	B	Agrobacterium	ncbi	D30626.1	966	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens nopaline type Ti plasmid AK6b gene, complete cds
Ti	candidate	B	Agrobacterium	ncbi	NZ_CP048488.1	252582	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens strain Tul003 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	NZ_CP007228.1	205997	Agrobacterium tumefaciens LBA4213 (Ach5)	YES		Agrobacterium tumefaciens LBA4213 (Ach5) plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	NZ_CP029048.1	192674	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens strain 183 plasmid pTi, complete sequence
Ti	candidate	B	Agrobacterium	ncbi	NZ_CP048472.1	177576	Agrobacterium tumefaciens	YES		Agrobacterium tumefaciens strain Yub001 plasmid pTi, complete sequence
