accession	mpf_class_call	entry_criterion	n_cds	n_fa_fata_profiles	n_FA	n_FATA	fa_subclass	profile_support	FA_profiles	FATA_profiles	virb4	tcpA	t4cp1	t4cp2	MOBB	MOBC	MOBF	MOBH	MOBP1	MOBP2	MOBP3	MOBQ	MOBT	MOBV	virb4_bit	relaxase_profiles	exclusion_family_hit	slot_status
LR962553.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	5	3	2	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC	26:25710..28241:+	none	none	29:30946..33204:+	none	30:33726..34511:+	none	none	none	none	none	none	none	none	91.1	MOBC		no_slot_defined
LR962555.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	74	7	3	4	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_cd419a;FATA_prgB;FATA_prgC;FATA_trsG	62:61123..63708:+	none	none	65:66419..68677:+	none	66:69198..69983:+	none	none	none	none	none	none	none	none	90.1	MOBC		no_slot_defined
LR962557.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	57	7	0	7	FATA	high		FATA_cd411;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgK;FATA_prgL	18:20348..22777:+	none	29:32359..34182:+	29:32359..34182:+	none	none	none	none	36:38779..40473:+	none	none	none	none	none	285.5	MOBP1		no_slot_defined
LR962562.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	267	9	0	9	FATA	high		FATA_cd411;FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	19:18517..20907:+	none	30:30485..32308:+	30:30485..32308:+	none	none	none	none	36:36055..37713:+	none	none	none	none	none	287.4	MOBP1		no_slot_defined
LR962563.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	5	3	2	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC	25:26183..28747:+	none	none	28:31452..33710:+	none	29:34232..35017:+	none	none	none	none	none	none	none	none	90.9	MOBC		no_slot_defined
LR962564.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	58	7	0	7	FATA	high		FATA_cd411;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgK;FATA_prgL	19:21924..24356:+	none	30:33938..35761:+	30:33938..35761:+	none	none	none	none	37:40358..42052:+	none	none	none	none	none	290.3	MOBP1		no_slot_defined
LR962566.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	93	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	18:19301..21691:+	none	27:27869..29698:+	27:27869..29698:+	none	none	none	none	31:32815..34500:+	none	none	none	none	none	290.6	MOBP1		no_slot_defined
LR962568.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	74	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	12:14059..16506:-	17:19232..20617:-	none	none	none	none	none	none	23:25006..26691:+	none	none	none	16:17849..19054:-	6:4260..5522:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
LR962570.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	52	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	22:26381..28936:+	none	19:21341..23872:+	19:21341..23872:+	none	none	none	none	31:34709..36769:+	31:34709..36769:+	none	none	none	none	146.9	MOBP1;MOBP2		no_slot_defined
LR962571.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	55	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	26:23368..25899:+	none	none	29:28601..30859:+	none	30:31381..32166:+	none	none	none	none	none	none	none	none	89.2	MOBC		no_slot_defined
LR962573.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	120	8	6	2	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419_1;FATA_cd419a	14:15471..17918:-	19:20644..22029:-	none	none	none	none	none	none	25:26418..28103:+	none	none	none	18:19261..20466:-	6:4257..5519:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
LR962575.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	93	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	18:19301..21691:+	none	27:27869..29698:+	27:27869..29698:+	none	none	none	none	31:32815..34500:+	none	none	none	none	none	290.6	MOBP1		no_slot_defined
LR962577.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	2	2	0	FA	minimal	FA_orf15;FA_orf17b		10:9567..12059:+	none	14:14751..16958:+	14:14751..16958:+	none	15:17321..18226:+	none	none	none	none	none	none	none	none	88.8	MOBC		no_slot_defined
LR962581.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	5	3	2	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC	23:24935..27499:+	none	none	26:30204..32462:+	none	27:33042..33770:+	none	none	none	none	none	none	none	none	90.9	MOBC		no_slot_defined
LR962583.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	57	7	0	7	FATA	high		FATA_cd411;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgK;FATA_prgL	18:20303..22735:+	none	29:32317..34140:+	29:32317..34140:+	none	none	none	none	36:38737..40431:+	none	none	none	none	none	292.3	MOBP1		no_slot_defined
LR962585.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	12:14059..16506:-	17:19232..20617:-	none	none	none	none	none	none	23:25006..26691:+	none	none	none	16:17849..19054:-	6:4260..5522:-	93.2	MOBP1;MOBT;MOBV		no_slot_defined
LR962588.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	82	2	1	1	unassigned	minimal	FA_orf14	FATA_trsG	24:23596..25542:+	none	20:18445..20787:+	20:18445..20787:+	none	none	none	none	30:29100..30347:+	30:29100..30347:+	none	none	none	none	178.3	MOBP1;MOBP2		no_slot_defined
LR962592.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	93	3	0	3	FATA	medium		FATA_cd419a;FATA_prgB;FATA_prgC	24:26041..27972:+	none	19:20685..22898:+	19:20685..22898:+	none	none	none	none	none	30:31752..32987:+	none	none	none	none	234.2	MOBP2		no_slot_defined
LR962594.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	42	3	1	2	FATA	medium	FA_orf15	FATA_prgC;FATA_trsG	18:17792..20311:+	none	none	20:22633..24783:+	none	22:25701..26480:+	none	none	none	none	none	none	none	none	89.1	MOBC		no_slot_defined
LR962596.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	132	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	121:103238..105628:+	none	0:1..1830:+	0:1..1830:+	none	none	none	none	4:4948..6264:+	none	none	none	none	none	288.8	MOBP1		no_slot_defined
LR962597.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	3	1	2	FATA	medium	FA_orf15	FATA_cd419a;FATA_trsG	19:18986..21505:+	none	none	21:23827..25977:+	none	23:26895..27674:+	none	none	none	none	none	none	none	none	88.0	MOBC		no_slot_defined
LR962599.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	144	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	64:64390..66336:-	none	68:69145..71490:-	68:69145..71490:-	none	none	none	none	58:59580..60827:-	58:59580..60827:-	none	none	none	none	174.7	MOBP1;MOBP2		no_slot_defined
LR962601.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	5	0	5	FATA	high		FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	17:15497..17881:+	none	23:23350..25161:+	23:23350..25161:+	none	none	none	none	35:36380..38089:+	none	none	none	none	none	276.7	MOBP1		no_slot_defined
LR962603.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	25:23483..26014:+	none	28:28726..30939:+	28:28726..30939:+	none	30:31796..32581:+	none	none	none	none	none	none	none	none	94.6	MOBC		no_slot_defined
LR962609.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	61	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	28:24524..27088:+	none	none	31:29793..32051:+	none	32:32631..33359:+	none	none	none	none	none	none	none	none	90.3	MOBC		no_slot_defined
LR962613.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	12:14056..16503:-	17:19229..20614:-	none	none	none	none	none	none	23:25003..26688:+	none	none	none	16:17846..19051:-	6:4257..5519:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
LR962614.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	71	4	2	2	unassigned	medium	FA_orf15;FA_orf17a	FATA_prgB;FATA_trsG	53:45674..48193:+	none	none	55:50515..52665:+	none	57:53583..54362:+	none	none	none	none	none	none	none	none	87.5	MOBC		no_slot_defined
LR962619.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	58	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	18:18910..21300:+	none	24:26046..27875:+	24:26046..27875:+	none	none	none	none	28:30993..32678:+	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962623.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	80	2	1	1	unassigned	minimal	FA_orf14	FATA_trsG	22:24527..26473:+	none	18:19376..21718:+	18:19376..21718:+	none	none	none	none	31:35301..36548:+	31:35301..36548:+	none	none	none	none	177.6	MOBP1;MOBP2		no_slot_defined
LR962630.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	12:14056..16503:-	17:19229..20614:-	none	none	none	none	none	none	23:25003..26688:+	none	none	none	16:17846..19051:-	6:4257..5519:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
LR962631.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	71	4	2	2	unassigned	medium	FA_orf15;FA_orf17a	FATA_prgB;FATA_trsG	49:36716..39235:-	none	none	47:32244..34394:-	none	45:30547..31326:-	none	none	none	none	none	none	none	none	87.5	MOBC		no_slot_defined
LR962635.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	58	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	18:18910..21300:+	none	24:26046..27875:+	24:26046..27875:+	none	none	none	none	28:30993..32678:+	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962637.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	62	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	12:14059..16506:-	17:19232..20617:-	none	none	none	none	none	none	23:25006..26703:+	none	none	none	16:17849..19054:-	6:4260..5522:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
LR962638.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	60	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	21:23797..26187:+	none	30:32386..34209:+	30:32386..34209:+	none	none	none	none	36:37959..39644:+	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962640.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	74	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	17:19119..21509:+	none	26:30512..32341:+	26:30512..32341:+	none	none	none	none	30:35459..37144:+	none	none	none	none	none	291.4	MOBP1		no_slot_defined
LR962641.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	66	8	0	8	FATA	high		FATA_prgC;FATA_prgF;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsJ;FATA_trsL	9:7179..9197:-	none	38:30602..32242:-	38:30602..32242:-	none	none	none	none	none	none	none	none	none	23:17783..19045:+	317.3	MOBV		no_slot_defined
LR962643.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	69	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:24215..26707:+	none	none	27:29412..31670:+	none	28:32250..32978:+	none	none	none	none	none	none	none	none	90.2	MOBC		no_slot_defined
LR962651.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	134	4	1	3	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgB;FATA_prgC	126:115866..118421:+	none	123:110826..113357:+	123:110826..113357:+	none	44:33456..33692:+	none	none	2:660..2720:+	2:660..2720:+	none	none	none	none	147.2	MOBC;MOBP1;MOBP2		no_slot_defined
LR962652.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	104	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	19:18493..20883:+	none	28:27083..28912:+	28:27083..28912:+	none	none	none	none	32:32030..33715:+	none	none	none	none	none	292.3	MOBP1		no_slot_defined
LR962655.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	24:25756..28311:+	none	20:19952..22483:+	20:19952..22483:+	none	none	none	none	33:34084..36144:+	33:34084..36144:+	none	none	none	none	147.5	MOBP1;MOBP2		no_slot_defined
LR962657.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	66	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	23:26461..29016:+	none	20:21421..23952:+	20:21421..23952:+	none	none	none	none	32:34789..36849:+	32:34789..36849:+	none	none	none	none	146.9	MOBP1;MOBP2		no_slot_defined
LR962659.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:22890..25454:+	none	27:28156..30369:+	27:28156..30369:+	none	29:31227..31946:+	none	none	none	none	none	none	none	none	89.8	MOBC		no_slot_defined
LR962660.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	58	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:22685..25249:+	none	none	27:27949..30207:+	none	28:30729..31514:+	none	none	none	none	none	none	none	none	90.5	MOBC		no_slot_defined
LR962661.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	56	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	19:20252..22642:+	none	25:27387..29216:+	25:27387..29216:+	none	none	none	none	29:32334..34019:+	none	none	none	none	none	289.4	MOBP1		no_slot_defined
LR962664.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	118	3	1	2	FATA	medium	FA_orf14	FATA_prgC;FATA_trsG	35:33313..35259:+	none	31:28136..30496:+	31:28136..30496:+	none	none	none	none	41:38811..40055:+	41:38811..40055:+	none	none	none	none	164.3	MOBP1;MOBP2		no_slot_defined
LR962665.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	68	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	18:20914..23304:-	none	9:12882..14711:-	9:12882..14711:-	none	none	none	none	5:8079..9764:-	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962667.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:23126..25690:+	none	none	27:28401..30659:+	none	28:31239..31967:+	none	none	none	none	none	none	none	none	90.0	MOBC		no_slot_defined
LR962673.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	96	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17b	FATA_trsG	55:42276..44840:-	none	none	52:37318..39576:-	none	51:36011..36796:-	none	none	none	none	none	none	none	87:69289..70551:+	90.5	MOBC;MOBV		no_slot_defined
LR962677.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	133	4	1	3	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgB;FATA_prgC	124:115207..117762:+	none	121:110167..112698:+	121:110167..112698:+	none	42:32797..33033:+	none	none	0:1..2061:+	0:1..2061:+	none	none	none	none	147.2	MOBC;MOBP1;MOBP2		no_slot_defined
LR962678.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	104	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	19:18493..20883:+	none	28:27083..28912:+	28:27083..28912:+	none	none	none	none	32:32030..33715:+	none	none	none	none	none	292.3	MOBP1		no_slot_defined
LR962685.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	23:26737..29292:+	none	19:20933..23464:+	19:20933..23464:+	none	none	none	none	33:35064..37124:+	33:35064..37124:+	none	none	none	none	146.4	MOBP1;MOBP2		no_slot_defined
LR962688.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:23126..25690:+	none	none	27:28401..30659:+	none	28:31239..31967:+	none	none	none	none	none	none	none	none	90.0	MOBC		no_slot_defined
LR962696.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	73	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	14:13602..15992:+	none	24:22190..24019:+	24:22190..24019:+	none	none	none	none	28:27137..28822:+	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962699.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:22705..25269:+	none	none	27:27974..30232:+	none	28:30754..31539:+	none	none	none	none	none	none	none	none	90.5	MOBC		no_slot_defined
LR962701.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	23:22126..24690:+	none	none	26:27401..29659:+	none	27:30181..30966:+	none	none	none	none	none	none	none	none	90.2	MOBC		no_slot_defined
LR962704.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	105	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	20:20133..22523:+	none	29:28723..30552:+	29:28723..30552:+	none	none	none	none	35:34735..36420:+	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962705.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	5	3	2	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgC;FATA_trsG	21:17462..20026:+	none	none	24:22737..24995:+	none	25:25517..26302:+	none	none	none	none	none	none	none	none	90.5	MOBC		no_slot_defined
LR962706.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	51	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	17:18170..20560:+	none	23:25304..27133:+	23:25304..27133:+	none	none	none	none	27:30251..31936:+	none	none	none	none	none	291.2	MOBP1		no_slot_defined
LR962709.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:22701..25265:+	none	none	27:27970..30228:+	none	28:30750..31535:+	none	none	none	none	none	none	none	none	89.8	MOBC		no_slot_defined
LR962715.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	98	3	3	0	FA	medium	FA_orf13;FA_orf15;FA_orf17b		69:60521..63085:-	none	none	66:55552..57810:-	none	65:54244..54972:-	none	none	76:66780..67742:-	none	none	none	none	none	90.3	MOBC;MOBP1		no_slot_defined
LR962718.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:22701..25265:+	none	none	27:27970..30228:+	none	28:30750..31535:+	none	none	none	none	none	none	none	none	90.2	MOBC		no_slot_defined
LR962719.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	25:23372..25903:+	none	none	28:28605..30863:+	none	29:31385..32170:+	none	none	none	none	none	none	none	none	89.2	MOBC		no_slot_defined
LR962727.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	89	8	0	8	FATA	high		FATA_cd419_1;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	12:12509..14899:+	none	21:21096..22925:+	21:21096..22925:+	none	none	none	none	25:26043..27728:+	none	none	none	none	none	290.9	MOBP1		no_slot_defined
LR962733.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	62	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	23:23098..25662:+	none	none	26:28373..30631:+	none	27:31153..31938:+	none	none	none	none	none	none	none	none	90.5	MOBC		no_slot_defined
LR962773.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	89	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:23041..25605:+	none	none	27:28307..30565:+	none	28:31145..31873:+	none	none	none	none	none	none	none	none	88.4	MOBC		no_slot_defined
LR962776.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	76	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419a	12:14059..16506:-	17:19232..20617:-	none	none	none	none	none	none	23:25006..26691:+	none	none	none	16:17849..19054:-	6:4260..5522:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
LR962778.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	62	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	21:26300..28855:+	none	18:21260..23791:+	18:21260..23791:+	none	none	none	none	30:34628..36688:+	30:34628..36688:+	none	none	none	none	146.9	MOBP1;MOBP2		no_slot_defined
LR962779.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	67	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	18:19765..22155:+	none	27:28355..30184:+	27:28355..30184:+	none	none	none	none	31:33301..34986:+	none	none	none	none	none	290.8	MOBP1		no_slot_defined
LR962783.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	17:18183..20573:+	none	26:26773..28602:+	26:26773..28602:+	none	none	none	none	30:31719..33404:+	none	none	none	none	none	290.8	MOBP1		no_slot_defined
LR962785.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	60	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	17:18388..20778:+	none	26:26977..28806:+	26:26977..28806:+	none	none	none	none	30:31924..33609:+	none	none	none	none	none	292.1	MOBP1		no_slot_defined
LR962789.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	119	3	3	0	FA	medium	FA_orf13;FA_orf15;FA_orf17b		97:79832..82396:-	none	44:34030..35673:-	94:74874..77132:-	none	93:73567..74352:-	none	none	none	none	none	none	none	40:30935..32254:+	90.5	MOBC;MOBV		no_slot_defined
LR962790.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	19:20145..22535:+	none	25:27280..29109:+	25:27280..29109:+	none	none	none	none	29:32227..33912:+	none	none	none	none	none	290.1	MOBP1		no_slot_defined
LR962793.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	62	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	23:23118..25682:+	none	none	26:28387..30645:+	none	27:31167..31952:+	none	none	none	none	none	none	none	none	90.2	MOBC		no_slot_defined
