accession	mpf_class	slot_anchor	slot_occupant_family	slot_occupant_coords	slot_occupant_aa	slot_family_bit	slot_status
NZ_CP032695.1	MPF_T	VirB5	Eex_IncN	929140..929373	77	70.8	eex_occupied
NZ_CP032697.1	MPF_T	VirB5		130076..130342	88		candidate
NZ_CP032705.1	MPF_T	VirB5	Eex_IncN	29357..29584	75	76.5	eex_occupied
NZ_CP032827.1	MPF_T	VirB5		144450..144719	89		candidate
NZ_CP032828.1	MPF_T	VirB5		109198..110502	434		candidate
NZ_CP032889.1	MPF_T	VirB5	Eex_IncN	38460..38717	85	67.6	eex_occupied
NZ_CP032919.1	MPF_T	VirB5		425059..425286	75		candidate
NZ_CP032923.1	MPF_T	VirB5	Eex_IncN	231405..231638	77	72.8	eex_occupied
NZ_CP032924.1	MPF_T	VirB5		177844..178047	67		candidate
NZ_CP032928.1	MPF_T	VirB5	Eex_IncN	206709..206939	76	66.0	eex_occupied
NZ_CP032987.1	MPF_T	VirB5		25499..27058	519		candidate
NZ_CP032990.1	MPF_T	VirB5	Eex_IncN	46188..46412	74	68.1	eex_occupied
NZ_CP032994.1	MPF_T	VirB5	Eex_IncN	43453..43737	94	71.8	eex_occupied
NZ_CP033025.1	MPF_T	VirB5		141476..141709	77		candidate
NZ_CP033029.1	MPF_T	VirB5		425142..425369	75		candidate
NZ_CP033033.1	MPF_T	VirB5		153912..154130	72		candidate
NZ_CP033057.1	MPF_T	VirB5	Eex_IncN	26057..26314	85	67.6	eex_occupied
NZ_CP033119.1	MPF_T	VirB5		37093..37554	153		candidate
NZ_CP033136.1	MPF_T	VirB5		51803..52750	315		candidate
NZ_CP033139.1	MPF_T	VirB5		14072..15019	315		candidate
NZ_CP033140.1	MPF_T	VirB5		29176..30123	315		candidate
NZ_CP033143.1	MPF_T	VirB5		90010..90957	315		candidate
NZ_CP033146.1	MPF_T	VirB5		44742..45308	188		candidate
NZ_CP033147.1	MPF_T	VirB5		49956..50903	315		candidate
NZ_CP033203.1	MPF_T	VirB5	Eex_IncN	18547..18846	99	45.2	eex_occupied
NZ_CP033229.1	MPF_T	VirB5		55897..56202	101		candidate
NZ_CP033254.2	MPF_T	VirB5	Eex_IncN	53446..53670	74	68.1	eex_occupied
NZ_CP033341.1	MPF_T	VirB5	Eex_IncN	53504..53758	84	68.6	eex_occupied
NZ_CP033349.2	MPF_T	VirB5		11332..12426	364		candidate
NZ_CP033354.2	MPF_T	VirB5	TrbK_RP4	32643..32816	57	26.1	eex_occupied
NZ_CP033355.2	MPF_T	VirB5	Eex_IncN	49676..49900	74	68.1	eex_occupied
NZ_CP033359.1	MPF_T	VirB5	Eex_IncN	36722..36949	75	70.7	eex_occupied
NZ_CP033363.1	MPF_T	VirB5		103765..103998	77		candidate
NZ_CP033369.1	MPF_T	VirB5		47699..48016	105		candidate
NZ_CP033399.1	MPF_T	VirB5	Eex_IncN	38297..38554	85	67.6	eex_occupied
NZ_CP033508.1	MPF_T	VirB5		47699..48016	105		candidate
NZ_CP033797.1	MPF_T	VirB5	Eex_IncN	47068..47322	84	62.1	eex_occupied
NZ_CP033830.1	MPF_T	VirB5	Eex_IncN	16365..16592	75	69.5	eex_occupied
NZ_CP033849.1	MPF_T	VirB5		20544..21638	364		candidate
NZ_CP033873.1	MPF_T	VirB5		4920..5168	82		candidate
NZ_CP033874.1	MPF_T	VirB5	Eex_IncN	22819..23049	76	44.8	eex_occupied
NZ_CP033879.1	MPF_T	VirB5		8667..9761	364		candidate
NZ_CP034033.1	MPF_T	VirB5		12726..14330	534		candidate
NZ_CP034061.1	MPF_T	VirB5	Eex_IncN	34599..34853	84	62.5	eex_occupied
NZ_CP034079.1	MPF_T	VirB5		38571..38813	80		candidate
NZ_CP034080.1	MPF_T	VirB5		29742..29984	80		candidate
NZ_CP034087.1	MPF_T	VirB5		47606..47779	57		candidate
NZ_CP034107.1	MPF_T	VirB5	Eex_IncN	91363..91647	94	54.6	eex_occupied
NZ_CP034109.1	MPF_T	VirB5	Eex_IncN	23171..23395	74	68.1	eex_occupied
NZ_CP034133.1	MPF_T	VirB5	Eex_IncN	40277..40534	85	67.6	eex_occupied
NZ_CP034284.1	MPF_T	VirB5	Eex_IncN	39243..39500	85	67.6	eex_occupied
NZ_CP034287.1	MPF_T	VirB5		78911..79858	315		candidate
NZ_CP034288.1	MPF_T	VirB5		55843..56790	315		candidate
NZ_CP034291.1	MPF_T	VirB5		17604..17825	73		candidate
NZ_CP034293.1	MPF_T	VirB5		25502..26449	315		candidate
NZ_CP034296.1	MPF_T	VirB5		84917..85138	73		candidate
NZ_CP034297.1	MPF_T	VirB5		11524..12471	315		candidate
NZ_CP034300.1	MPF_T	VirB5		76444..77391	315		candidate
NZ_CP034303.1	MPF_T	VirB5		33229..34176	315		candidate
NZ_CP034304.1	MPF_T	VirB5		12589..13536	315		candidate
NZ_CP034329.1	MPF_T	VirB5		62266..62772	168		candidate
NZ_CP034365.1	MPF_T	VirB5	Eex_IncN	9988..10248	86	67.7	eex_occupied
NZ_CP034403.1	MPF_T	VirB5	Eex_IncN	12660..12902	80	64.7	eex_occupied
NZ_CP034405.1	MPF_T	VirB5	Eex_IncN	46809..47063	84	62.5	eex_occupied
NZ_CP034431.1	MPF_T	VirB5		138207..138392	61		candidate
NZ_CP034567.1	MPF_T	VirB5		36346..36666	106		candidate
NZ_CP034568.1	MPF_T	VirB5		54262..54828	188		candidate
NZ_CP034571.1	MPF_T	VirB5		47435..48382	315		candidate
NZ_CP034591.1	MPF_T	VirB5	Eex_IncN	29792..30049	85	67.6	eex_occupied
NZ_CP034651.1	MPF_T	VirB5		40422..40634	70		candidate
NZ_CP034656.1	MPF_T	VirB5		4428..4781	117		candidate
NZ_CP034744.1	MPF_T	VirB5	Eex_IncN	18227..18484	85	67.6	eex_occupied
NZ_CP034781.1	MPF_T	VirB5		6857..7069	70		candidate
NZ_CP034798.1	MPF_T	VirB5	Eex_IncN	20022..20276	84	62.5	eex_occupied
NZ_CP034812.1	MPF_T	VirB5		84878..85576	232		candidate
NZ_CP034814.1	MPF_T	VirB5		16217..16873	218		candidate
NZ_CP034833.1	MPF_T	VirB5		12261..13355	364		candidate
NZ_CP034904.1	MPF_T	VirB5	Eex_IncN	65888..66445	185	47.2	eex_occupied
NZ_CP034911.1	MPF_T	VirB5	Eex_IncN	363437..363670	77	69.0	eex_occupied
NZ_CP034923.1	MPF_T	VirB5	Eex_IncN	27496..27924	142	46.5	eex_occupied
NZ_CP034957.1	MPF_T	VirB5	Eex_IncN	34629..34886	85	67.6	eex_occupied
NZ_CP034965.1	MPF_T	VirB5	Eex_IncN	38461..38718	85	67.6	eex_occupied
NZ_CP034999.1	MPF_T	VirB5	Eex_IncN	185133..185366	77	69.7	eex_occupied
NZ_CP035001.1	MPF_T	VirB5	Eex_IncN	483311..483544	77	40.3	eex_occupied
NZ_CP035038.1	MPF_T	VirB5	Eex_IncN	1477747..1477980	77	75.7	eex_occupied
NZ_CP035039.1	MPF_T	VirB5		491625..491822	65		candidate
NZ_CP035125.1	MPF_T	VirB5	Eex_IncN	22004..22261	85	67.6	eex_occupied
NZ_CP035195.1	MPF_T	VirB5		5460..7019	519		candidate
NZ_CP035200.1	MPF_T	VirB5	Eex_IncN	16861..17088	75	81.3	eex_occupied
NZ_CP035285.1	MPF_T	VirB5		74021..74602	193		candidate
NZ_CP035287.1	MPF_T	VirB5		384203..384490	95		candidate
NZ_CP035315.1	MPF_T	VirB5	Eex_IncN	17140..17400	86	67.8	eex_occupied
NZ_CP035316.1	MPF_T	VirB5	Eex_IncN	15338..15586	82	74.3	eex_occupied
NZ_CP035387.1	MPF_T	VirB5	Eex_IncN	18025..18252	75	69.5	eex_occupied
NZ_CP035423.1	MPF_T	VirB5	Eex_IncN	21..275	84	61.2	eex_occupied
NZ_CP035459.1	MPF_T	VirB5		27197..28225	342		candidate
NZ_CP035471.1	MPF_T	VirB5	Eex_IncN	21939..22181	80	64.3	eex_occupied
NZ_CP035507.1	MPF_T	VirB5		76355..77032	225		candidate
NZ_CP035508.1	MPF_T	VirB5		49438..50103	221		candidate
NZ_CP035512.1	MPF_T	VirB5		56459..56746	95		candidate
NZ_CP035515.1	MPF_T	VirB5		74603..75256	217		candidate
NZ_CP035754.1	MPF_T	VirB5		3215..4309	364		candidate
NZ_CP036179.1	MPF_T	VirB5	Eex_IncN	5822..6079	85	67.6	eex_occupied
NZ_CP036195.1	MPF_T	VirB5	Eex_IncN	8904..9161	85	67.6	eex_occupied
NZ_CP036205.1	MPF_T	VirB5	Eex_IncN	22990..23247	85	67.6	eex_occupied
NZ_CP036311.1	MPF_T	VirB5	Eex_IncN	79386..79670	94	54.6	eex_occupied
NZ_CP036312.1	MPF_T	VirB5	Eex_IncN	11253..11510	85	67.6	eex_occupied
NZ_CP036363.1	MPF_T	VirB5	Eex_IncN	20604..20831	75	69.5	eex_occupied
NZ_CP036368.1	MPF_T	VirB5	Eex_IncN	26292..26519	75	69.5	eex_occupied
NZ_CP036516.1	MPF_T	VirB5		118021..118209	62		candidate
NZ_CP037425.1	MPF_T	VirB5		13706..13867	53		candidate
NZ_CP037738.1	MPF_T	VirB5	Eex_IncN	23798..24055	85	69.7	eex_occupied
NZ_CP037748.1	MPF_T	VirB5		23009..24004	331		candidate
NZ_CP037868.1	MPF_T	VirB5		31583..31783	66		candidate
NZ_CP037880.1	MPF_T	VirB5	Eex_IncN	29246..29533	95	72.8	eex_occupied
NZ_CP037906.1	MPF_T	VirB5		12243..13337	364		candidate
NZ_CP037907.1	MPF_T	VirB5	Eex_IncN	18788..19036	82	74.3	eex_occupied
NZ_CP037908.1	MPF_T	VirB5	Eex_IncN	14868..15095	75	76.3	eex_occupied
NZ_CP037911.1	MPF_T	VirB5		101510..102604	364		candidate
NZ_CP037915.1	MPF_T	VirB5		71752..72024	90		candidate
NZ_CP037965.1	MPF_T	VirB5	Eex_IncN	3743..4000	85	67.6	eex_occupied
NZ_CP037995.1	MPF_T	VirB5	Eex_IncN	44126..44386	86	67.8	eex_occupied
NZ_CP038019.1	MPF_T	VirB5		22659..24308	549		candidate
NZ_CP038024.1	MPF_T	VirB5		35384..36232	282		candidate
NZ_CP038181.1	MPF_T	VirB5		3488..4582	364		candidate
NZ_CP038196.1	MPF_T	VirB5		218376..218666	96		candidate
NZ_CP038205.1	MPF_T	VirB5		414527..414814	95		candidate
NZ_CP038206.1	MPF_T	VirB5		335904..336191	95		candidate
NZ_CP038240.1	MPF_T	VirB5		96923..97150	75		candidate
NZ_CP038272.1	MPF_T	VirB5	TrbK_RP4	21143..21334	63	31.5	eex_occupied
NZ_CP038280.1	MPF_T	VirB5	Eex_IncN	61838..62095	85	67.6	eex_occupied
NZ_CP038334.1	MPF_T	VirB5	Eex_IncN	52394..52648	84	62.5	eex_occupied
NZ_CP038340.1	MPF_T	VirB5	Eex_IncN	17452..17676	74	67.6	eex_occupied
NZ_CP038361.1	MPF_T	VirB5	Eex_IncN	6825..7079	84	68.6	eex_occupied
NZ_CP038381.1	MPF_T	VirB5	Eex_IncN	40476..40730	84	68.6	eex_occupied
NZ_CP038624.1	MPF_T	VirB5		22969..23964	331		candidate
NZ_CP038640.1	MPF_T	VirB5	TrbK_RP4	45471..45698	75	104.6	eex_occupied
NZ_CP039300.1	MPF_T	VirB5	Eex_IncN	10724..10972	82	74.3	eex_occupied
NZ_CP039328.1	MPF_T	VirB5	Eex_IncN	67987..68271	94	54.6	eex_occupied
NZ_CP039600.1	MPF_T	VirB5	Eex_IncN	21554..21781	75	74.3	eex_occupied
NZ_CP039643.1	MPF_T	VirB5		67681..68937	418		candidate
NZ_CP039644.1	MPF_T	VirB5	Eex_IncN	170551..170952	133	45.6	eex_occupied
NZ_CP039693.1	MPF_T	VirB5		212980..213153	57		candidate
NZ_CP039696.1	MPF_T	VirB5	Eex_IncN	67910..68146	78	38.9	eex_occupied
NZ_CP039811.1	MPF_T	VirB5	Eex_IncN	50625..50882	85	67.6	eex_occupied
NZ_CP039821.1	MPF_T	VirB5	Eex_IncN	16775..17002	75	69.5	eex_occupied
NZ_CP039890.1	MPF_T	VirB5		214062..214289	75		candidate
NZ_CP039891.1	MPF_T	VirB5		151941..152174	77		candidate
NZ_CP039892.1	MPF_T	VirB5		59402..59629	75		candidate
NZ_CP039899.1	MPF_T	VirB5		214062..214289	75		candidate
NZ_CP039900.1	MPF_T	VirB5		151941..152174	77		candidate
NZ_CP039905.1	MPF_T	VirB5	Eex_IncN	10854..11084	76	68.5	eex_occupied
NZ_CP039909.1	MPF_T	VirB5	Eex_IncN	205712..205942	76	68.5	eex_occupied
NZ_CP039924.1	MPF_T	VirB5		466601..467728	375		candidate
NZ_CP039926.1	MPF_T	VirB5		149530..149748	72		candidate
NZ_CP040091.1	MPF_T	VirB5	Eex_IncN	40385..40645	86	67.8	eex_occupied
NZ_CP040110.1	MPF_T	VirB5		7832..8443	203		candidate
NZ_CP040242.1	MPF_T	VirB5	Eex_IncN	18315..18578	87	63.9	eex_occupied
NZ_CP040399.1	MPF_T	VirB5	Eex_IncN	17018..17275	85	67.6	eex_occupied
NZ_CP040574.1	MPF_T	VirB5	Eex_IncN	66598..66882	94	54.6	eex_occupied
NZ_CP040594.1	MPF_T	VirB5		26802..27896	364		candidate
NZ_CP040603.1	MPF_T	VirB5	Eex_IncN	18256..18555	99	45.2	eex_occupied
NZ_CP040609.1	MPF_T	VirB5		32979..33971	330		candidate
NZ_CP040642.1	MPF_T	VirB5	Eex_IncN	424924..425157	77	74.9	eex_occupied
NZ_CP040725.1	MPF_T	VirB5		26193..27287	364		candidate
NZ_CP040754.1	MPF_T	VirB5		114297..114950	217		candidate
NZ_CP040761.1	MPF_T	VirB5		92593..93291	232		candidate
NZ_CP040800.1	MPF_T	VirB5	Eex_IncN	7189..7425	78	65.7	eex_occupied
NZ_CP040809.1	MPF_T	VirB5	Eex_IncN	38795..39079	94	54.6	eex_occupied
NZ_CP040810.1	MPF_T	VirB5	Eex_IncN	62547..62831	94	54.6	eex_occupied
NZ_CP040823.1	MPF_T	VirB5		33026..33679	217		candidate
NZ_CP040859.1	MPF_T	VirB5	Eex_IncN	5105..5332	75	69.5	eex_occupied
NZ_CP040892.1	MPF_T	VirB5	Eex_IncN	30912..31169	85	69.7	eex_occupied
NZ_CP040895.1	MPF_T	VirB5	Eex_IncN	62196..62423	75	69.5	eex_occupied
NZ_CP040928.1	MPF_T	VirB5	Eex_IncN	128488..128772	94	54.6	eex_occupied
NZ_CP040929.1	MPF_T	VirB5	Eex_IncN	13313..13573	86	67.8	eex_occupied
NZ_CP041018.1	MPF_T	VirB5	Eex_IncN	11554..11766	70	35.4	eex_occupied
NZ_CP041044.1	MPF_T	VirB5		49402..49764	120		candidate
NZ_CP041048.1	MPF_T	VirB5	Eex_IncN	146173..146430	85	67.6	eex_occupied
NZ_CP041104.1	MPF_T	VirB5	Eex_IncN	4361..4588	75	81.3	eex_occupied
NZ_CP041105.1	MPF_T	VirB5		7154..8248	364		candidate
NZ_CP041112.1	MPF_T	VirB5	Eex_IncN	21384..21668	94	54.6	eex_occupied
NZ_CP041113.1	MPF_T	VirB5		55153..56184	343		candidate
NZ_CP041152.1	MPF_T	VirB5		2686..4368	560		candidate
NZ_CP041229.1	MPF_T	VirB5		31931..32392	153		candidate
NZ_CP041239.1	MPF_T	VirB5		426016..426216	66		candidate
NZ_CP041240.1	MPF_T	VirB5		444935..446125	396		candidate
NZ_CP041241.1	MPF_T	VirB5	Eex_IncN	1245968..1246201	77	68.9	eex_occupied
NZ_CP041251.1	MPF_T	VirB5	Eex_IncN	3625..3843	72	61.8	eex_occupied
NZ_CP041290.1	MPF_T	VirB5		5580..6428	282		candidate
NZ_CP041618.1	MPF_T	VirB5		22565..23572	335		candidate
NZ_CP041720.1	MPF_T	VirB5		29980..30225	81		candidate
NZ_CP041756.1	MPF_T	VirB5		21355..21708	117		candidate
NZ_CP041780.1	MPF_T	VirB5		101376..102311	311		candidate
NZ_CP041921.1	MPF_T	VirB5	Eex_IncN	26851..27105	84	62.5	eex_occupied
NZ_CP041931.1	MPF_T	VirB5	Eex_IncN	48921..49178	85	67.6	eex_occupied
NZ_CP041947.1	MPF_T	VirB5	Eex_IncN	35888..36145	85	67.6	eex_occupied
NZ_CP041956.1	MPF_T	VirB5	Eex_IncN	62850..63107	85	67.6	eex_occupied
NZ_CP042168.1	MPF_T	VirB5		4298..4618	106		candidate
NZ_CP042181.1	MPF_T	VirB5		107339..107551	70		candidate
NZ_CP042249.1	MPF_T	VirB5	Eex_IncN	34064..34318	84	62.5	eex_occupied
NZ_CP042276.1	MPF_T	VirB5	Eex_IncN	76947..77180	77	73.9	eex_occupied
NZ_CP042322.1	MPF_T	VirB5		10650..11363	237		candidate
NZ_CP042339.1	MPF_T	VirB5	Eex_IncN	18836..19093	85	67.6	eex_occupied
NZ_CP042479.1	MPF_T	VirB5		87077..87403	108		candidate
NZ_CP042518.1	MPF_T	VirB5		87077..87403	108		candidate
NZ_CP042533.1	MPF_T	VirB5	Eex_IncN	24092..24319	75	69.5	eex_occupied
NZ_CP042548.1	MPF_T	VirB5	Eex_IncN	30077..30319	80	64.7	eex_occupied
NZ_CP042805.1	MPF_T	VirB5		40732..40938	68		candidate
NZ_CP042825.1	MPF_T	VirB5		367790..368989	399		candidate
NZ_CP042888.1	MPF_T	VirB5	Eex_IncN	51095..51319	74	67.6	eex_occupied
NZ_CP042900.1	MPF_T	VirB5	Eex_IncN	45279..45563	94	54.6	eex_occupied
NZ_CP042902.1	MPF_T	VirB5	Eex_IncN	52482..52766	94	54.6	eex_occupied
NZ_CP042935.2	MPF_T	VirB5	Eex_IncN	23607..23864	85	67.6	eex_occupied
NZ_CP042965.1	MPF_T	VirB5		25662..27206	514		candidate
NZ_CP042970.1	MPF_T	VirB5		21546..22640	364		candidate
NZ_CP042976.1	MPF_T	VirB5	Eex_IncN	31359..31781	140	76.6	eex_occupied
NZ_CP043007.1	MPF_T	VirB5	Eex_IncN	39234..39518	94	54.6	eex_occupied
NZ_CP043036.1	MPF_T	VirB5	Eex_IncN	54740..54964	74	67.6	eex_occupied
NZ_CP043050.1	MPF_T	VirB5	Eex_IncN	5726..5983	85	67.6	eex_occupied
NZ_CP043182.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043184.1	MPF_T	VirB5	Eex_IncN	19030..19257	75	70.7	eex_occupied
NZ_CP043186.1	MPF_T	VirB5	Eex_IncN	19031..19258	75	70.7	eex_occupied
NZ_CP043188.1	MPF_T	VirB5	Eex_IncN	19031..19258	75	70.7	eex_occupied
NZ_CP043194.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043196.1	MPF_T	VirB5	Eex_IncN	23760..23996	78	68.5	eex_occupied
NZ_CP043198.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043200.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043202.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043204.1	MPF_T	VirB5	Eex_IncN	57311..57547	78	68.5	eex_occupied
NZ_CP043206.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043208.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043210.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043212.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043216.1	MPF_T	VirB5	Eex_IncN	5622..5906	94	71.8	eex_occupied
NZ_CP043220.1	MPF_T	VirB5	Eex_IncN	57893..58129	78	68.5	eex_occupied
NZ_CP043224.1	MPF_T	VirB5	Eex_IncN	18846..19073	75	70.7	eex_occupied
NZ_CP043281.1	MPF_T	VirB5	Eex_IncN	20704..20961	85	67.6	eex_occupied
NZ_CP043287.1	MPF_T	VirB5	Eex_IncN	38461..38718	85	67.6	eex_occupied
NZ_CP043333.1	MPF_T	VirB5	Eex_IncN	28627..28884	85	67.6	eex_occupied
NZ_CP043335.1	MPF_T	VirB5	Eex_IncN	19442..19699	85	67.6	eex_occupied
NZ_CP043355.1	MPF_T	VirB5	Eex_IncN	42885..43112	75	69.5	eex_occupied
NZ_CP043384.1	MPF_T	VirB5		15320..16285	321		candidate
NZ_CP043423.1	MPF_T	VirB5		61226..62173	315		candidate
NZ_CP043477.1	MPF_T	VirB5	TrbK_RP4	20935..21174	79	97.3	eex_occupied
NZ_CP043513.1	MPF_T	VirB5	Eex_IncN	43127..43384	85	72.0	eex_occupied
NZ_CP043516.1	MPF_T	VirB5	Eex_IncN	9398..9640	80	64.7	eex_occupied
NZ_CP043565.1	MPF_T	VirB5		12681..12896	71		candidate
NZ_CP043582.1	MPF_T	VirB5	Eex_IncN	1802..2059	85	67.6	eex_occupied
NZ_CP043586.1	MPF_T	VirB5	Eex_IncN	52985..53242	85	67.6	eex_occupied
NZ_CP043591.1	MPF_T	VirB5	Eex_IncN	35257..35514	85	67.6	eex_occupied
NZ_CP043620.1	MPF_T	VirB5		48384..49049	221		candidate
NZ_CP043640.1	MPF_T	VirB5		12100..13104	334		candidate
NZ_CP043764.1	MPF_T	VirB5		19428..20420	330		candidate
NZ_CP043813.1	MPF_T	VirB5		32938..34545	535		candidate
NZ_CP043817.1	MPF_T	VirB5		3669..5297	542		candidate
NZ_CP043826.1	MPF_T	VirB5		14614..15225	203		candidate
NZ_CP043856.1	MPF_T	VirB5	Eex_IncN	21579..21821	80	64.7	eex_occupied
NZ_CP043872.1	MPF_T	VirB5					unresolved
NZ_CP043903.1	MPF_T	VirB5		249199..250851	550		candidate
NZ_CP043964.1	MPF_T	VirB5	Eex_IncN	190209..190442	77	72.8	eex_occupied
NZ_CP044110.1	MPF_T	VirB5		37451..37777	108		candidate
NZ_CP044111.1	MPF_T	VirB5		15089..15415	108		candidate
NZ_CP044138.1	MPF_T	VirB5		32472..32945	157		candidate
NZ_CP044153.1	MPF_T	VirB5	Eex_IncN	19651..19959	102	69.3	eex_occupied
NZ_CP044159.1	MPF_T	VirB5	Eex_IncN	27983..28210	75	69.5	eex_occupied
NZ_CP044168.1	MPF_T	VirB5		90..1088	332		candidate
NZ_CP044170.1	MPF_T	VirB5		3439..4437	332		candidate
NZ_CP044172.1	MPF_T	VirB5	Eex_IncN	19135..19413	92	57.1	eex_occupied
NZ_CP044182.1	MPF_T	VirB5	Eex_IncN	14167..14451	94	71.8	eex_occupied
NZ_CP044187.1	MPF_T	VirB5	Eex_IncN	15264..15491	75	69.5	eex_occupied
NZ_CP044223.1	MPF_T	VirB5	TrbK_RP4	29801..30028	75	105.5	eex_occupied
NZ_CP044261.1	MPF_T	VirB5		40016..40567	183		candidate
NZ_CP044263.1	MPF_T	VirB5	Eex_IncN	3786..4055	89	60.8	eex_occupied
NZ_CP044329.1	MPF_T	VirB5	Eex_IncN	98560..98841	93	52.1	eex_occupied
NZ_CP044332.1	MPF_T	VirB5		87702..88085	127		candidate
NZ_CP044333.1	MPF_T	VirB5	Eex_IncN	43484..43765	93	50.0	eex_occupied
NZ_CP044353.1	MPF_T	VirB5	Eex_IncN	1800..2114	104	65.7	eex_occupied
NZ_CP044405.1	MPF_T	VirB5	Eex_IncN	24274..24498	74	71.0	eex_occupied
NZ_CP044406.1	MPF_T	VirB5		7317..8396	359		candidate
NZ_CP044465.1	MPF_T	VirB5		11954..12901	315		candidate
NZ_CP044485.1	MPF_T	VirB5		10453..11301	282		candidate
NZ_CP044544.1	MPF_T	VirB5		56735..56920	61		candidate
NZ_CP044551.1	MPF_T	VirB5	Eex_IncN	93811..94119	102	76.8	eex_occupied
NZ_CP044973.1	MPF_T	VirB5		236055..236375	106		candidate
NZ_CP044974.1	MPF_T	VirB5	Eex_IncN	91740..92048	102	76.8	eex_occupied
NZ_CP044976.1	MPF_T	VirB5		236055..236375	106		candidate
NZ_CP044977.1	MPF_T	VirB5	Eex_IncN	94291..94599	102	76.8	eex_occupied
NZ_CP045009.1	MPF_T	VirB5		40779..41783	334		candidate
NZ_CP045022.1	MPF_T	VirB5	Eex_IncN	15814..16041	75	69.5	eex_occupied
NZ_CP045046.1	MPF_T	VirB5		29446..30444	332		candidate
NZ_CP045053.1	MPF_T	VirB5	Eex_IncN	7968..8195	75	84.3	eex_occupied
NZ_CP045055.1	MPF_T	VirB5	Eex_IncN	25234..25488	84	63.9	eex_occupied
NZ_CP045057.1	MPF_T	VirB5	Eex_IncN	7968..8195	75	84.3	eex_occupied
NZ_CP045060.1	MPF_T	VirB5	Eex_IncN	7968..8195	75	84.3	eex_occupied
NZ_CP045062.1	MPF_T	VirB5	Eex_IncN	25233..25487	84	63.9	eex_occupied
NZ_CP045133.1	MPF_T	VirB5		14158..14619	153		candidate
NZ_CP045195.1	MPF_T	VirB5	Eex_IncN	15964..16221	85	67.6	eex_occupied
NZ_CP045197.1	MPF_T	VirB5		32554..33015	153		candidate
NZ_CP045218.1	MPF_T	VirB5	Eex_IncN	24077..24334	85	69.7	eex_occupied
NZ_CP045219.1	MPF_T	VirB5	Eex_IncN	22183..22425	80	80.1	eex_occupied
NZ_CP045255.1	MPF_T	VirB5		19520..19723	67		candidate
NZ_CP045320.1	MPF_T	VirB5		59443..60096	217		candidate
NZ_CP045321.1	MPF_T	VirB5		41719..42372	217		candidate
NZ_CP045330.1	MPF_T	VirB5		3932..4174	80		candidate
NZ_CP045331.1	MPF_T	VirB5		7..1161	384		candidate
NZ_CP045334.1	MPF_T	VirB5		79227..79469	80		candidate
NZ_CP045336.1	MPF_T	VirB5		29509..30663	384		candidate
NZ_CP045346.1	MPF_T	VirB5		3932..4174	80		candidate
NZ_CP045347.1	MPF_T	VirB5		52311..53465	384		candidate
NZ_CP045362.1	MPF_T	VirB5		52724..53386	220		candidate
NZ_CP045363.1	MPF_T	VirB5		31964..32401	145		candidate
NZ_CP045373.1	MPF_T	VirB5		98758..99177	139		candidate
NZ_CP045375.1	MPF_T	VirB5		71695..72348	217		candidate
NZ_CP045378.1	MPF_T	VirB5		44410..44835	141		candidate
NZ_CP045382.1	MPF_T	VirB5		56223..56465	80		candidate
NZ_CP045386.1	MPF_T	VirB5		37460..37960	166		candidate
NZ_CP045387.1	MPF_T	VirB5		37209..37634	141		candidate
NZ_CP045388.1	MPF_T	VirB5		66231..66656	141		candidate
NZ_CP045390.1	MPF_T	VirB5		52720..53382	220		candidate
NZ_CP045391.1	MPF_T	VirB5					unresolved
NZ_CP045394.1	MPF_T	VirB5		67547..68200	217		candidate
NZ_CP045405.1	MPF_T	VirB5		47160..47813	217		candidate
NZ_CP045407.1	MPF_T	VirB5		52515..52955	146		candidate
NZ_CP045408.1	MPF_T	VirB5		13435..14088	217		candidate
NZ_CP045411.1	MPF_T	VirB5		66260..66913	217		candidate
NZ_CP045460.1	MPF_T	VirB5		27416..28510	364		candidate
NZ_CP045463.1	MPF_T	VirB5		13845..14243	132		candidate
NZ_CP045494.1	MPF_T	VirB5		71595..71813	72		candidate
NZ_CP045495.1	MPF_T	VirB5		60350..60559	69		candidate
NZ_CP045497.1	MPF_T	VirB5		273532..274575	347		candidate
NZ_CP045499.1	MPF_T	VirB5		108873..110063	396		candidate
NZ_CP045512.1	MPF_T	VirB5		13845..14243	132		candidate
NZ_CP045521.1	MPF_T	VirB5	Eex_IncN	56665..56889	74	68.1	eex_occupied
NZ_CP045557.1	MPF_T	VirB5		101927..102886	319		candidate
NZ_CP045558.1	MPF_T	VirB5	Eex_IncN	12107..12391	94	54.6	eex_occupied
NZ_CP045619.1	MPF_T	VirB5		71160..71366	68		candidate
